id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw27Pts,gw28Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
19,Bukayo,Saka,MID,ARS,169,^^^,"Saka (MID, ^^^)",6.8,12.2,8.8628,16.248466666666666,0.0,16.248466666666666,16.24847,15,0,15,2,17.7256,0,0,0,0,?
6,Kai,Havertz,MID,ARS,89,^^^,"Havertz (MID, ^^^)",3.6,8.2,5.3572,9.821533333333333,0.0,9.821533333333333,9.82153,15,0,15,2,10.7144,0,0,0,0,?
14,Martin,Ødegaard,MID,ARS,116,^^^,"Ødegaard (MID, ^^^)",5.0,7.0,5.764,10.567333333333334,0.0,10.567333333333334,10.56733,15,0,15,2,11.528,0,0,0,0,?
26,Leandro,Trossard,MID,ARS,84,^,"Trossard (MID, ^)",3.8,7.0,5.0224,9.207733333333334,0.0,9.207733333333334,9.20773,15,0,15,2,10.0448,0,0,0,0,?
540,Declan,Rice,MID,ARS,104,^^^,"Rice (MID, ^^^)",4.0,6.8,5.0696,9.294266666666667,0.0,9.294266666666667,9.29427,15,0,15,2,10.1392,0,0,0,0,?
10,Jakub,Kiwior,DEF,ARS,41,^^^,"Kiwior (DEF, ^^^)",2.9,6.5,4.2752,7.837866666666667,7.837866666666667,0.0,7.83787,15,15,0,2,8.5504,0,0,0,0,?
12,Gabriel,Martinelli Silva,MID,ARS,96,~,"Martinelli (MID, ~)",4.0,5.5,4.573,8.383833333333335,0.0,8.383833333333335,8.38383,15,0,15,2,9.146,0,0,0,0,?
20,William,Saliba,DEF,ARS,104,^^,"Saliba (DEF, ^^)",4.0,5.2,4.4584,8.173733333333335,8.173733333333335,0.0,8.17373,15,15,0,2,8.9168,0,0,0,0,?
5,Gabriel,dos Santos Magalhães,DEF,ARS,96,^,"Gabriel (DEF, ^)",4.0,4.8,4.3056,7.8936,7.8936,0.0,7.8936,15,15,0,2,8.6112,0,0,0,0,?
29,Benjamin,White,DEF,ARS,95,^^,"White (DEF, ^^)",3.8,4.5,4.0674,7.456900000000001,7.456900000000001,0.0,7.4569,15,15,0,2,8.1348,0,0,0,0,?
113,David,Raya Martin,GKP,ARS,81,~,"Raya (GKP, ~)",3.9,4.0,3.9382,7.220033333333333,7.220033333333333,0.0,7.22003,15,15,0,2,7.8764,0,0,0,0,?
9,Jorge Luiz,Frello Filho,MID,ARS,25,v,"Jorginho (MID, v)",1.6,1.2,1.4472,2.6532,0.0,2.6532,2.6532,15,0,15,2,2.8944,0,0,0,0,?
578,Reiss,Nelson,MID,ARS,12,^,"Nelson (MID, ^)",0.9,1.0,0.9382,1.7200333333333333,0.0,1.7200333333333333,1.72003,15,0,15,2,1.8764,0,0,0,0,?
13,Eddie,Nketiah,FWD,ARS,68,v,"Nketiah (FWD, v)",2.8,0.8,2.036,3.732666666666667,0.0,3.732666666666667,3.73267,15,0,15,2,4.072,0,0,0,0,?
3,Mohamed,Elneny,MID,ARS,6,vv,"M.Elneny (MID, vv)",2.0,0.5,1.427,2.6161666666666665,0.0,2.6161666666666665,2.61617,15,0,15,2,2.854,0,0,0,0,?
22,Emile,Smith Rowe,MID,ARS,17,v,"Smith Rowe (MID, v)",1.7,0.5,1.2416,2.276266666666667,0.0,2.276266666666667,2.27627,15,0,15,2,2.4832,0,0,0,0,?
2,Cédric,Alves Soares,DEF,ARS,2,^^^,"Cédric (DEF, ^^^)",1.0,0.5,0.809,1.4831666666666667,1.4831666666666667,0.0,1.48317,15,15,0,2,1.618,0,0,0,0,?
31,Oleksandr,Zinchenko,DEF,ARS,85,vv,"Zinchenko (DEF, vv)",4.0,0.2,2.5484,4.672066666666667,4.672066666666667,0.0,4.67207,15,15,0,2,5.0968,0,0,0,0,?
772,Ethan,Nwaneri,MID,ARS,1,^^^,"Nwaneri (MID, ^^^)",1.0,0.2,0.6944,1.2730666666666668,0.0,1.2730666666666668,1.27307,15,0,15,2,1.3888,0,0,0,0,?
8,Gabriel,Fernando de Jesus,FWD,ARS,63,vv,"G.Jesus (FWD, vv)",3.7,0.0,2.2866,4.1921,0.0,4.1921,4.1921,15,0,15,2,4.5732,0,0,0,0,?
17,Aaron,Ramsdale,GKP,ARS,17,vv,"Ramsdale (GKP, vv)",3.4,0.0,2.1012,3.8522,3.8522,0.0,3.8522,15,15,0,2,4.2024,0,0,0,0,?
25,Takehiro,Tomiyasu,DEF,ARS,39,vv,"Tomiyasu (DEF, vv)",3.0,0.0,1.854,3.399,3.399,0.0,3.399,15,15,0,2,3.708,0,0,0,0,?
4,Fábio,Ferreira Vieira,MID,ARS,21,vv,"Fábio Vieira (MID, vv)",2.6,0.0,1.6068,2.9458,0.0,2.9458,2.9458,15,0,15,2,3.2136,0,0,0,0,?
15,Thomas,Partey,MID,ARS,7,vv,"Thomas (MID, vv)",1.8,0.0,1.1124,2.0394,0.0,2.0394,2.0394,15,0,15,2,2.2248,0,0,0,0,?
1,Folarin,Balogun,FWD,ARS,0,?,"Balogun (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
11,Marcus,Oliveira Alencar,MID,ARS,0,?,"Marquinhos (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
16,Nicolas,Pépé,MID,ARS,0,?,"Pepe (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
18,Rúnar Alex,Rúnarsson,GKP,ARS,0,?,"Rúnarsson (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
24,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
30,Granit,Xhaka,MID,ARS,0,?,"Xhaka (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
585,Jurriën,Timber,DEF,ARS,0,?,"J.Timber (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
646,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
735,Charles,Sagoe,MID,ARS,0,?,"Sagoe (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
736,Reuell,Walters,DEF,ARS,0,?,"Walters (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
737,Bradley,Ibrahim,MID,ARS,0,?,"Ibrahim (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
764,Myles,Lewis-Skelly,MID,ARS,0,?,"Lewis-Skelly (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
815,Mauro,Bandeira,MID,ARS,0,?,"Bandeira (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,15,2,0.0,0,0,0,0,?
817,James,Sweet,DEF,ARS,0,?,"Sweet (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0,2,0.0,0,0,0,0,?
60,Ollie,Watkins,FWD,AVL,170,~,"Watkins (FWD, ~)",6.5,10.5,8.028,11.596,0.0,12.042000000000002,11.819,8,0,9,2,16.056,0,0,0,0,?
43,Douglas Luiz,Soares de Paulo,MID,AVL,130,^^^,"Douglas Luiz (MID, ^^^)",5.2,8.0,6.2696,9.056088888888889,0.0,9.404399999999999,9.23024,8,0,9,2,12.5392,0,0,0,0,?
34,Leon,Bailey,MID,AVL,107,^,"Bailey (MID, ^)",4.5,6.5,5.264,7.603555555555555,0.0,7.896000000000001,7.74978,8,0,9,2,10.528,0,0,0,0,?
50,John,McGinn,MID,AVL,99,~,"McGinn (MID, ~)",3.8,4.2,3.9528,5.7096,0.0,5.9292,5.8194,8,0,9,2,7.9056,0,0,0,0,?
58,Youri,Tielemans,MID,AVL,47,~,"Tielemans (MID, ~)",2.1,4.0,2.8258,4.081711111111111,0.0,4.2387,4.16021,8,0,9,2,5.6516,0,0,0,0,?
32,Alexandre,Moreno Lopera,DEF,AVL,36,vv,"Alex Moreno (DEF, vv)",2.8,3.8,3.182,4.596222222222222,4.065888888888889,0.0,4.33106,8,5,0,2,6.364,0,0,0,0,?
49,Emiliano,Martínez Romero,GKP,AVL,85,v,"Martinez (GKP, v)",3.4,3.2,3.3236,4.800755555555555,4.246822222222223,0.0,4.52379,8,5,0,2,6.6472,0,0,0,0,?
55,Jacob,Ramsey,MID,AVL,28,^^^,"J.Ramsey (MID, ^^^)",1.9,2.5,2.1292,3.075511111111111,0.0,3.1938,3.13466,8,0,9,2,4.2584,0,0,0,0,?
699,Clément,Lenglet,DEF,AVL,23,vv,"Lenglet (DEF, vv)",2.6,2.2,2.4472,3.5348444444444445,3.126977777777778,0.0,3.33091,8,5,0,2,4.8944,0,0,0,0,?
41,Diego Carlos,Santos Silva,DEF,AVL,38,vv,"Diego Carlos (DEF, vv)",2.2,1.8,2.0472,2.957066666666667,2.615866666666667,0.0,2.78647,8,5,0,2,4.0944,0,0,0,0,?
47,Boubacar,Kamara,MID,AVL,40,vv,"Kamara (MID, vv)",2.0,1.2,1.6944,2.4474666666666662,0.0,2.5416,2.49453,8,0,9,2,3.3888,0,0,0,0,?
36,Matty,Cash,DEF,AVL,56,v,"Cash (DEF, v)",2.4,1.0,1.8652,2.6941777777777776,2.383311111111111,0.0,2.53874,8,5,0,2,3.7304,0,0,0,0,?
599,Moussa,Diaby,MID,AVL,93,vv,"Diaby (MID, vv)",3.6,0.8,2.5304,3.6550222222222226,0.0,3.7956000000000003,3.72531,8,0,9,2,5.0608,0,0,0,0,?
584,Pau,Torres,DEF,AVL,64,v,"Pau (DEF, v)",3.2,0.8,2.2832,3.2979555555555553,2.917422222222222,0.0,3.10769,8,5,0,2,4.5664,0,0,0,0,?
42,Lucas,Digne,DEF,AVL,59,v,"Digne (DEF, v)",2.8,0.8,2.036,2.940888888888889,2.6015555555555556,0.0,2.77122,8,5,0,2,4.072,0,0,0,0,?
672,Nicolò,Zaniolo,MID,AVL,20,~,"Zaniolo (MID, ~)",1.2,0.5,0.9326,1.3470888888888888,0.0,1.3988999999999998,1.37299,8,0,9,2,1.8652,0,0,0,0,?
46,Tim,Iroegbunam,MID,AVL,3,v,"Iroegbunam (MID, v)",1.0,0.5,0.809,1.1685555555555556,0.0,1.2135,1.19103,8,0,9,2,1.618,0,0,0,0,?
803,Morgan,Rogers,MID,AVL,2,vv,"Rogers (MID, vv)",1.0,0.5,0.809,1.1685555555555556,0.0,1.2135,1.19103,8,0,9,2,1.618,0,0,0,0,?
48,Ezri,Konsa Ngoyo,DEF,AVL,59,vv,"Konsa (DEF, vv)",2.6,0.2,1.6832,2.431288888888889,2.1507555555555555,0.0,2.29102,8,5,0,2,3.3664,0,0,0,0,?
37,Calum,Chambers,DEF,AVL,1,^^^,"Chambers (DEF, ^^^)",1.0,0.2,0.6944,1.0030222222222223,0.887288888888889,0.0,0.94516,8,5,0,2,1.3888,0,0,0,0,?
40,Leander,Dendoncker,MID,AVL,20,vv,"Dendoncker (MID, vv)",2.5,0.0,1.545,2.2316666666666665,0.0,2.3175,2.27458,8,0,9,2,3.09,0,0,0,0,?
53,Robin,Olsen,GKP,AVL,2,vv,"Olsen (GKP, vv)",2.0,0.0,1.236,1.7853333333333334,1.5793333333333335,0.0,1.68233,8,5,0,2,2.472,0,0,0,0,?
44,Jhon,Durán,FWD,AVL,24,vv,"Duran (FWD, vv)",1.7,0.0,1.0506,1.5175333333333332,0.0,1.5758999999999999,1.54672,8,0,9,2,2.1012,0,0,0,0,?
38,Philippe,Coutinho Correia,MID,AVL,2,vv,"Coutinho (MID, vv)",1.0,0.0,0.618,0.8926666666666667,0.0,0.927,0.90983,8,0,9,2,1.236,0,0,0,0,?
59,Bertrand,Traoré,MID,AVL,2,vv,"Bertrand Traoré (MID, vv)",1.0,0.0,0.618,0.8926666666666667,0.0,0.927,0.90983,8,0,9,2,1.236,0,0,0,0,?
54,Jaden,Philogene-Bidace,MID,AVL,1,vv,"Philogene (MID, vv)",1.0,0.0,0.618,0.8926666666666667,0.0,0.927,0.90983,8,0,9,2,1.236,0,0,0,0,?
35,Emiliano,Buendía Stati,MID,AVL,0,?,"Buendia (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
39,Keinan,Davis,FWD,AVL,0,?,"Davis (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
45,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
51,Tyrone,Mings,DEF,AVL,0,?,"Mings (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
56,Morgan,Sanson,MID,AVL,0,?,"Sanson (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
57,Viljami,Sinisalo,GKP,AVL,0,?,"Sinisalo (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
61,Wesley,Moraes Ferreira da Silva,FWD,AVL,0,?,"Wesley (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
618,Omari,Kellyman,MID,AVL,0,?,"Kellyman (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
670,Filip,Marschall,GKP,AVL,0,?,"Marschall (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
686,Oliwier,Zych,GKP,AVL,0,?,"Zych (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
765,Sam,Proctor,GKP,AVL,0,?,"Proctor (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
767,Tommi,O'Reilly,MID,AVL,0,?,"O'Reilly (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,9,2,0.0,0,0,0,0,?
778,James,Wright,GKP,AVL,0,?,"Wright (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
793,Kaine,Kesler-Hayden,DEF,AVL,0,?,"Kesler-Hayden (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
818,Joe,Gauci,GKP,AVL,0,?,"Gauci (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0,2,0.0,0,0,0,0,?
134,Pascal,Groß,MID,BHA,123,^^,"Gross (MID, ^^)",5.1,9.0,6.5898,8.420300000000001,0.0,9.5186,8.96945,5,0,8,2,13.1796,0,0,0,0,?
129,Lewis,Dunk,DEF,BHA,60,^^^,"Dunk (DEF, ^^^)",2.7,7.8,4.6482,5.9393666666666665,5.4229,0.0,5.68113,5,3,0,2,9.2964,0,0,0,0,?
125,Facundo,Buonanotte,MID,BHA,42,~,"Buonanotte (MID, ~)",2.3,4.5,3.1404,4.012733333333333,0.0,4.536133333333334,4.27443,5,0,8,2,6.2808,0,0,0,0,?
122,Simon,Adingra,MID,BHA,73,^^^,"Adingra (MID, ^^^)",3.8,4.2,3.9528,5.0508,0.0,5.7096,5.3802,5,0,8,2,7.9056,0,0,0,0,?
154,Danny,Welbeck,FWD,BHA,51,^^,"Welbeck (FWD, ^^)",2.8,4.0,3.2584,4.163511111111111,0.0,4.7065777777777775,4.43504,5,0,8,2,6.5168,0,0,0,0,?
139,Tariq,Lamptey,DEF,BHA,24,~,"Lamptey (DEF, ~)",2.2,3.2,2.582,3.2992222222222223,3.0123333333333333,0.0,3.15578,5,3,0,2,5.164,0,0,0,0,?
143,Kaoru,Mitoma,MID,BHA,74,^,"Mitoma (MID, ^)",3.9,2.8,3.4798,4.446411111111111,0.0,5.026377777777778,4.73639,5,0,8,2,6.9596,0,0,0,0,?
152,Bart,Verbruggen,GKP,BHA,30,~,"Verbruggen (GKP, ~)",2.5,2.5,2.5,3.1944444444444446,2.916666666666667,0.0,3.05556,5,3,0,2,5.0,0,0,0,0,?
150,Jan Paul,van Hecke,DEF,BHA,45,~,"Van Hecke (DEF, ~)",2.1,2.5,2.2528,2.878577777777778,2.6282666666666668,0.0,2.75342,5,3,0,2,4.5056,0,0,0,0,?
135,João Pedro,Junqueira de Jesus,FWD,BHA,83,vv,"João Pedro (FWD, vv)",3.6,2.0,2.9888,3.8190222222222223,0.0,4.317155555555555,4.06809,5,0,8,2,5.9776,0,0,0,0,?
621,Jack,Hinshelwood,MID,BHA,42,vv,"Hinshelwood (MID, vv)",3.5,1.8,2.8506,3.6424333333333334,0.0,4.117533333333333,3.87998,5,0,8,2,5.7012,0,0,0,0,?
700,Anssumane,Fati Vieira,MID,BHA,28,~,"Ansu Fati (MID, ~)",2.2,1.8,2.0472,2.615866666666667,0.0,2.957066666666667,2.78647,5,0,8,2,4.0944,0,0,0,0,?
132,Evan,Ferguson,FWD,BHA,65,v,"Ferguson (FWD, v)",2.7,1.5,2.2416,2.8642666666666665,0.0,3.2378666666666667,3.05107,5,0,8,2,4.4832,0,0,0,0,?
133,Billy,Gilmour,MID,BHA,54,v,"Gilmour (MID, v)",2.2,1.2,1.818,2.3230000000000004,0.0,2.6260000000000003,2.4745,5,0,8,2,3.636,0,0,0,0,?
606,Igor Julio,dos Santos de Paulo,DEF,BHA,16,~,"Igor (DEF, ~)",1.1,1.0,1.0618,1.3567444444444445,1.2387666666666668,0.0,1.29776,5,3,0,2,2.1236,0,0,0,0,?
131,Pervis,Estupiñán,DEF,BHA,48,vv,"Estupiñan (DEF, vv)",3.4,0.8,2.4068,3.075355555555556,2.8079333333333336,0.0,2.94164,5,3,0,2,4.8136,0,0,0,0,?
138,Adam,Lallana,MID,BHA,22,~,"Lallana (MID, ~)",1.2,0.8,1.0472,1.3380888888888887,0.0,1.512622222222222,1.42536,5,0,8,2,2.0944,0,0,0,0,?
148,Jason,Steele,GKP,BHA,40,vv,"Steele (GKP, vv)",2.9,0.5,1.9832,2.5340888888888893,2.3137333333333334,0.0,2.42391,5,3,0,2,3.9664,0,0,0,0,?
151,Joël,Veltman,DEF,BHA,22,~,"Veltman (DEF, ~)",1.2,0.5,0.9326,1.1916555555555555,1.0880333333333332,0.0,1.13984,5,3,0,2,1.8652,0,0,0,0,?
690,Carlos,Baleba,MID,BHA,15,v,"Baleba (MID, v)",1.0,0.5,0.809,1.0337222222222222,0.0,1.1685555555555556,1.10114,5,0,8,2,1.618,0,0,0,0,?
130,Julio,Enciso,MID,BHA,9,vv,"Enciso (MID, vv)",3.0,0.2,1.9304,2.466622222222222,0.0,2.7883555555555555,2.62749,5,0,8,2,3.8608,0,0,0,0,?
153,Adam,Webster,DEF,BHA,12,v,"Webster (DEF, v)",1.3,0.2,0.8798,1.124188888888889,1.0264333333333335,0.0,1.07531,5,3,0,2,1.7596,0,0,0,0,?
742,Benicio,Baker-Boaitey,MID,BHA,4,v,"Baker-Boaitey (MID, v)",1.0,0.2,0.6944,0.8872888888888889,0.0,1.0030222222222223,0.94516,5,0,8,2,1.3888,0,0,0,0,?
144,Jakub,Moder,MID,BHA,6,v,"Moder (MID, v)",0.9,0.2,0.6326,0.8083222222222223,0.0,0.9137555555555557,0.86104,5,0,8,2,1.2652,0,0,0,0,?
140,Solly,March,MID,BHA,39,vv,"March (MID, vv)",5.6,0.0,3.4608,4.422133333333333,0.0,4.9989333333333335,4.71053,5,0,8,2,6.9216,0,0,0,0,?
142,James,Milner,MID,BHA,28,vv,"Milner (MID, vv)",1.9,0.0,1.1742,1.5003666666666666,0.0,1.6960666666666664,1.59822,5,0,8,2,2.3484,0,0,0,0,?
128,Mahmoud,Dahoud,MID,BHA,14,vv,"Dahoud (MID, vv)",1.6,0.0,0.9888,1.2634666666666667,0.0,1.4282666666666666,1.34587,5,0,8,2,1.9776,0,0,0,0,?
123,Steven,Alzate,MID,BHA,0,?,"Alzate (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
124,Yasin,Ayari,MID,BHA,0,?,"Ayari (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
127,Aaron,Connolly,FWD,BHA,0,?,"Connolly (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
136,Michał,Karbownik,DEF,BHA,0,?,"Karbownik (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
137,Kacper,Kozłowski,MID,BHA,0,?,"Kozłowski (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
141,Tom,McGill,GKP,BHA,0,?,"McGill (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
146,Jeremy,Sarmiento Morante,MID,BHA,0,?,"Sarmiento (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
147,Kjell,Scherpen,GKP,BHA,0,?,"Scherpen (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
149,Deniz,Undav,FWD,BHA,0,?,"Undav (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
155,Andi,Zeqiri,FWD,BHA,0,?,"Zeqiri (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
741,Mark,O’Mahony,FWD,BHA,0,?,"O’Mahony (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
746,Ben,Jackson,DEF,BHA,0,?,"Jackson (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
747,Joshua,Duffus,MID,BHA,0,?,"Duffus (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
753,Leigh,Kavanagh,DEF,BHA,0,?,"Kavanagh (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
755,Luca,Barrington,MID,BHA,0,?,"Barrington (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
786,Cameron,Peupion,MID,BHA,0,?,"Peupion (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8,2,0.0,0,0,0,0,?
816,Valentín,Barco,DEF,BHA,0,?,"Barco (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,2,0.0,0,0,0,0,?
85,Dominic,Solanke,FWD,BOU,128,~,"Solanke (FWD, ~)",5.1,5.6,5.291,8.52438888888889,0.0,9.406222222222222,8.96531,2,0,5,3,15.873,0,0,0,0,?
82,Antoine,Semenyo,FWD,BOU,61,^^,"Semenyo (FWD, ^^)",2.9,2.8,2.8618,4.610677777777778,0.0,5.087644444444445,4.84916,2,0,5,3,8.5854,0,0,0,0,?
