home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
0,-3,-1,BRE,CHE,1,0,3
-1,4,0,EVE,WHU,0,1,-4
-1,-3,-2,FUL,BHA,2,1,3
0,-1,1,NEW,WOL,-1,0,1
-5,-7,-5,NFO,LIV,5,5,7
2,5,4,TOT,CRY,-4,-2,-5
-5,-7,-7,LUT,AVL,7,5,7
-1,-2,-1,BUR,BOU,1,1,2
1,4,2,MCI,MUN,-2,-1,-4
-9,-9,-9,SHU,ARS,9,9,9
-3,6,4,MUN,EVE,-4,3,-6
2,1,1,BOU,SHU,-1,-2,-1
0,3,2,CRY,LUT,-2,0,-3
1,2,0,WOL,FUL,0,-1,-2
6,6,6,ARS,BRE,-6,-6,-6
2,0,1,AVL,TOT,-1,-2,0
5,2,3,BHA,NFO,-3,-5,-2
4,2,2,WHU,BUR,-2,-4,-2
0,0,1,LIV,MCI,-1,0,0
2,-3,-2,CHE,NEW,2,-2,3
1,-1,0,BOU,LUT,0,-1,1
