fpl_rank,fpl_tier,team,fpl_pts/match,fpl_form,fpl_xPts,fplAdv_nxtGWs
1,1,ARS,55.30769,76.6,63.44135,15
4,2,AVL,46.57692,53.2,49.10694,8
2,1,LIV,52.76923,52.3,52.58998,6
5,3,BHA,41.11538,53.7,45.9227,5
6,3,TOT,45.88,39.5,43.44284,3
8,4,NEW,45.11538,37.0,42.0153,3
7,4,MUN,40.23077,47.6,43.04582,2
16,8,WHU,39.80769,26.0,34.53315,2
17,9,BOU,37.32,30.0,34.52376,2
3,2,MCI,50.65385,54.7,52.19948,1
9,5,WOL,40.23077,42.6,41.13582,-1
12,6,CHE,40.2,35.5,38.4046,-1
10,5,FUL,41.03846,40.6,40.87097,-2
14,7,CRY,36.96154,38.2,37.43463,-2
19,10,BUR,30.42308,25.2,28.42786,-3
15,8,EVE,38.26923,32.4,36.02718,-4
13,7,BRE,38.80769,36.1,37.77335,-7
11,6,NFO,36.61538,42.3,38.7869,-8
18,9,LUT,34.68,32.7,33.92364,-9
20,10,SHU,25.26923,24.3,24.89898,-10
