att_rank,def_rank,diff=(def-att)_rank,team,att_xPts,def_xPts,avg_(att-def)_xPts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
18,4,-14,EVE,19.63583,16.39135,3.2444799999999994,-7,7,-14,2,-7.0,0,3
10,5,-5,MUN,26.76398,16.28183,10.48215,-7,5,-12,2,-6.0,0,3
17,10,-7,CRY,22.1528,15.28183,6.87097,-5,1,-6,2,-3.0,0,3
4,2,-2,MCI,31.67657,20.5229,11.153670000000002,1,4,-3,2,-1.5,0,3
12,16,4,WHU,22.04417,12.48898,9.555190000000001,0,3,-3,2,-1.5,0,3
5,8,3,TOT,29.18428,14.25856,14.925720000000002,2,3,-1,2,-0.5,1,2
9,7,-2,WOL,24.15958,16.97623,7.183349999999997,2,2,0,2,0.0,1,2
1,1,0,ARS,40.31318,23.12817,17.185010000000002,15,15,0,2,0.0,1,2
15,18,3,LUT,23.34596,10.57768,12.76828,-7,-8,1,3,0.33333,1,2
20,20,0,SHU,17.41086,7.48812,9.92274,-10,-11,1,2,0.5,1,2
11,11,0,FUL,26.39134,14.47963,11.91171,-3,-4,1,2,0.5,2,1
2,3,1,LIV,33.45245,19.13754,14.314909999999998,7,5,2,2,1.0,2,1
16,17,1,BOU,22.67424,11.84952,10.824720000000001,5,1,4,3,1.33333,2,1
19,19,0,BUR,19.06283,9.36503,9.6978,-3,-6,3,2,1.5,2,1
13,14,1,BRE,23.53482,14.23854,9.29628,-6,-9,3,2,1.5,2,1
3,6,3,AVL,33.70455,15.40238,18.302169999999997,9,5,4,2,2.0,3,0
14,15,1,NFO,25.11628,13.67063,11.44565,-7,-12,5,2,2.5,3,0
6,9,3,BHA,31.60525,14.31746,17.28779,8,3,5,2,2.5,3,0
7,12,5,NEW,26.51018,15.50512,11.005059999999999,3,-3,6,2,3.0,3,0
8,13,5,CHE,25.34828,13.05632,12.29196,5,-3,8,2,4.0,3,0
