team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
ARS,15.0,1,2,"Saka (MID, ^^^) ==> (8.8628, 16.24847)","Saliba (DEF, ^^) ==> (4.4584, 8.17373)","Gabriel (DEF, ^) ==> (4.3056, 7.8936)"
AVL,7.33,3,0,"Watkins (FWD, ~) ==> (8.028, 11.819)","Douglas Luiz (MID, ^^^) ==> (6.2696, 9.23024)","Bailey (MID, ^) ==> (5.264, 7.74978)"
LIV,6.0,2,1,"Bradley (DEF, vv) ==> (6.9776, 9.10964)","Luis Díaz (MID, ^) ==> (5.3134, 7.23213)","Diogo J. (MID, v) ==> (4.7562, 6.47372)"
BHA,5.33,3,0,"Gross (MID, ^^) ==> (6.5898, 8.96945)","Adingra (MID, ^^^) ==> (3.9528, 5.3802)","Mitoma (MID, ^) ==> (3.4798, 4.73639)"
TOT,2.67,1,2,"Richarlison (MID, vv) ==> (5.5112, 6.27664)","Udogie (DEF, vv) ==> (3.382, 3.94567)","Vicario (GKP, ~) ==> (2.7416, 3.19853)"
BOU,2.67,2,1,"Solanke (FWD, ~) ==> (5.291, 8.96531)","Neto (GKP, ~) ==> (3.1416, 4.9742)","Semenyo (FWD, ^^) ==> (2.8618, 4.84916)"
MCI,2.0,0,3,"Ederson M. (GKP, ^^^) ==> (4.0112, 4.56831)","Aké (DEF, ^^) ==> (3.7382, 4.25739)","Akanji (DEF, ^^^) ==> (3.4854, 3.96948)"
WHU,1.67,0,3,"Areola (GKP, v) ==> (2.9742, 3.38728)","Emerson (DEF, ^^^) ==> (2.9528, 3.36291)","Coufal (DEF, ~) ==> (2.1888, 2.4928)"
NEW,1.0,3,0,"Gordon (MID, ~) ==> (4.4944, 5.24347)","Bruno G. (MID, ^^) ==> (4.3314, 5.0533)","Longstaff (MID, v) ==> (3.7494, 4.3743)"
WOL,1.0,1,2,"Neto (MID, v) ==> (5.091, 5.23242)","José Sá (GKP, ~) ==> (2.9854, 3.06833)","Kilman (DEF, ~) ==> (2.891, 2.97131)"
CHE,0.33,3,0,"Palmer (MID, ~) ==> (5.5618, 6.17978)","Gallagher (MID, ^^^) ==> (3.8876, 4.31956)","Sterling (MID, ~) ==> (3.8798, 4.31089)"
MUN,0.0,0,3,"Maguire (DEF, ^) ==> (3.691, 4.40869)","Onana (GKP, ~) ==> (3.5382, 4.22618)","Dalot (DEF, ~) ==> (3.2764, 3.91348)"
EVE,-1.33,0,3,"Branthwaite (DEF, ~) ==> (3.9494, 4.27852)","Pickford (GKP, v) ==> (3.2416, 3.51173)","Mykolenko (DEF, v) ==> (3.045, 3.29875)"
CRY,-2.0,0,3,"Andersen (DEF, ~) ==> (3.1236, 3.03683)","Johnstone (GKP, ^) ==> (3.0652, 2.98006)","C.Richards (DEF, ^^^) ==> (2.7168, 2.64133)"
FUL,-3.0,2,1,"Muniz (FWD, ^^^) ==> (4.8954, 4.21548)","De Cordova-Reid (MID, ^^) ==> (3.5056, 3.01871)","Robinson (DEF, ~) ==> (3.0056, 2.50467)"
BUR,-4.0,2,1,"D.D.Fofana (FWD, vv) ==> (4.2, 3.5)","Odobert (MID, v) ==> (2.909, 2.42417)","Trafford (GKP, ~) ==> (2.2944, 1.7208)"
BRE,-7.33,2,1,"Toney (FWD, v) ==> (4.809, 3.07242)","Maupay (FWD, ~) ==> (3.3056, 2.11191)","Flekken (GKP, ~) ==> (3.3202, 1.84456)"
LUT,-8.0,1,2,"Morris (FWD, ~) ==> (4.955, 5.23028)","Doughty (DEF, vv) ==> (2.3742, 2.44015)","Kaminski (GKP, ~) ==> (2.309, 2.37314)"
NFO,-9.0,3,0,"Hudson-Odoi (MID, ^^) ==> (5.4044, 3.15257)","Awoniyi (FWD, ~) ==> (3.9854, 2.32482)","Elanga (MID, ^^) ==> (3.9528, 2.3058)"
SHU,-10.33,1,2,"Vini Souza (MID, ^^^) ==> (3.255, 1.44667)","Foderingham (GKP, ~) ==> (1.9944, 0.831)","Bogle (DEF, ~) ==> (1.3562, 0.56508)"
