att_rank,att_tier,team,"avg_CS/match-log(avg_GA/match,MP)",avg_att_pts/match,avg_GF/match,attAdv_nxtGWs
4,2,LIV,0.28571,29.71429,2.28571,8
6,3,ARS,0.51995,31.57143,2.07143,6
1,1,MCI,0.23511,32.92857,2.57143,5
10,5,BRE,0.09857,27.0,1.57143,4
11,6,WOL,-0.14828,21.92857,1.35714,4
3,2,NEW,0.42857,30.21429,2.28571,3
7,4,TOT,0.15056,28.64286,2.0,3
2,1,AVL,0.00771,30.35714,2.35714,2
5,3,BHA,-0.23457,30.07143,2.14286,1
16,8,BUR,-0.24182,21.57143,1.07143,0
9,5,WHU,-0.13281,26.0,1.71429,-1
12,6,MUN,0.28357,23.57143,1.14286,-1
13,7,FUL,-0.02028,23.28571,1.14286,-1
15,8,NFO,0.04302,21.42857,1.14286,-1
18,9,CRY,0.24142,21.0,1.0,-1
8,4,CHE,0.04302,25.42857,1.78571,-2
14,7,BOU,-0.14593,22.14286,1.14286,-4
17,9,EVE,0.07914,20.07143,1.07143,-8
20,10,SHU,-0.38821,14.57143,0.78571,-8
19,10,LUT,-0.23457,17.71429,0.92857,-9
