team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
ARS,8.0,1,2,"Saka (MID, ?) ==> (6.8, 6.23333)","Zinchenko (DEF, ?) ==> (5.66667, 5.66667)","Saliba (DEF, ?) ==> (4.7, 4.7)"
LIV,8.0,2,1,"Salah (MID, ?) ==> (7.6, 7.17778)","Alexander-Arnold (DEF, ?) ==> (5.76667, 5.4463)","Darwin (FWD, ?) ==> (3.76667, 3.55741)"
NEW,6.0,0,3,"Trippier (DEF, ?) ==> (5.5, 5.04167)","Pope (GKP, ?) ==> (4.1, 3.75833)","Lascelles (DEF, ?) ==> (4.1, 3.75833)"
BRE,1.67,3,0,"Mbeumo (MID, ?) ==> (4.86667, 3.24445)","Wissa (FWD, ?) ==> (3.13333, 2.08889)","Maupay (FWD, ?) ==> (2.96667, 1.97778)"
CRY,1.67,0,3,"Andersen (DEF, ?) ==> (3.43333, 2.28889)","Johnstone (GKP, ?) ==> (2.96667, 1.97778)","Mitchell (DEF, ?) ==> (2.96667, 1.97778)"
TOT,1.67,2,1,"Son (MID, ?) ==> (5.8, 3.54444)","Kulusevski (MID, ?) ==> (4.8, 2.93333)","Pedro Porro (DEF, ?) ==> (3.36667, 1.87037)"
MCI,1.33,3,0,"Haaland (FWD, ?) ==> (8.6, 5.73333)","J.Alvarez (FWD, ?) ==> (4.8, 3.2)","Foden (MID, ?) ==> (4.56667, 3.04445)"
WOL,1.33,3,0,"Cunha (FWD, ?) ==> (4.3, 2.62778)","Hee Chan (MID, ?) ==> (4.16667, 2.5463)","Sarabia (MID, ?) ==> (3.33333, 2.03704)"
MUN,0.67,0,3,"Dalot (DEF, ?) ==> (4.9, 2.85833)","Onana (GKP, ?) ==> (4.83333, 2.81944)","Lindelof (DEF, ?) ==> (4.8, 2.8)"
NFO,0.33,1,2,"Toffolo (DEF, ?) ==> (4.03333, 2.24074)","Gibbs-White (MID, ?) ==> (4.1, 2.05)","Aina (DEF, ?) ==> (3.53333, 1.96296)"
FUL,-0.33,1,2,"Willian (MID, ?) ==> (4.46667, 1.98519)","Leno (GKP, ?) ==> (2.96667, 1.48334)","Tete (DEF, ?) ==> (2.9, 1.45)"
CHE,-0.67,1,2,"Sterling (MID, ?) ==> (4.86667, 2.02778)","Sanchez (GKP, ?) ==> (2.73333, 1.36666)","Colwill (DEF, ?) ==> (2.73333, 1.36666)"
BUR,-1.33,2,1,"Brownhill (MID, ?) ==> (3.83333, 1.91666)","Rodriguez (FWD, ?) ==> (3.7, 1.85)","Taylor (DEF, ?) ==> (2.86667, 1.11482)"
AVL,-1.33,3,0,"Watkins (FWD, ?) ==> (6.6, 3.48333)","Diaby (MID, ?) ==> (4.4, 2.32222)","Douglas Luiz (MID, ?) ==> (4.33333, 2.28704)"
WHU,-1.67,2,1,"Bowen (MID, ?) ==> (5.03333, 2.23704)","Kudus (MID, ?) ==> (4.9, 2.17778)","Areola (GKP, ?) ==> (2.9, 1.12778)"
BHA,-1.67,3,0,"João Pedro (FWD, ?) ==> (4.2, 1.98333)","Gross (MID, ?) ==> (4.13333, 1.95185)","Adingra (MID, ?) ==> (3.46667, 1.63704)"
BOU,-1.67,0,3,"Neto (GKP, ?) ==> (3.66667, 1.73148)","Kelly (DEF, ?) ==> (2.36667, 1.11759)","Zabarnyi (DEF, ?) ==> (2.06667, 0.97593)"
EVE,-6.0,0,3,"Mykolenko (DEF, ?) ==> (5.03333, 1.11852)","Tarkowski (DEF, ?) ==> (3.3, 0.73333)","Branthwaite (DEF, ?) ==> (3.03333, 0.67407)"
SHU,-8.0,2,1,"Archer (FWD, ?) ==> (2.56667, 0.14259)","Hamer (MID, ?) ==> (2.43333, 0.13518)","Foderingham (GKP, ?) ==> (2.3, 0.12778)"
LUT,-8.0,1,2,"Mengi (DEF, ?) ==> (2.56667, 0.21389)","Kaminski (GKP, ?) ==> (2.3, 0.19167)","Morris (FWD, ?) ==> (3.4, 0.0)"
