team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,9,"Saka (MID, ?) ==> (6.8, 6.8)","Zinchenko (DEF, ?) ==> (5.667, 5.667)","Ødegaard (MID, ?) ==> (5.1, 5.1)","Saliba (DEF, ?) ==> (4.7, 4.7)","Trossard (MID, ?) ==> (4.667, 4.667)"
LIV,8,"Salah (MID, ?) ==> (7.6, 7.178)","Alexander-Arnold (DEF, ?) ==> (5.767, 5.446)","Tsimikas (DEF, ?) ==> (5.167, 4.88)","A.Becker (GKP, ?) ==> (4.333, 4.093)","Diogo J. (MID, ?) ==> (3.467, 3.274)"
NEW,7,"Gordon (MID, ?) ==> (6.833, 6.074)","Trippier (DEF, ?) ==> (5.5, 4.889)","Isak (FWD, ?) ==> (4.7, 4.178)","Pope (GKP, ?) ==> (4.1, 3.644)","Lascelles (DEF, ?) ==> (4.1, 3.644)"
BRE,2,"Mbeumo (MID, ?) ==> (4.867, 2.974)","Mee (DEF, ?) ==> (4.233, 2.587)","Wissa (FWD, ?) ==> (3.133, 1.915)","Maupay (FWD, ?) ==> (2.967, 1.813)","Flekken (GKP, ?) ==> (2.9, 1.772)"
CRY,2,"Edouard (FWD, ?) ==> (4.833, 2.954)","Olise (MID, ?) ==> (4.3, 2.628)","Eze (MID, ?) ==> (3.167, 1.935)","Lerma (MID, ?) ==> (2.967, 1.813)","J.Ayew (MID, ?) ==> (2.5, 1.528)"
MCI,1,"Haaland (FWD, ?) ==> (8.6, 4.778)","J.Alvarez (FWD, ?) ==> (4.8, 2.667)","Foden (MID, ?) ==> (4.567, 2.537)","Bernardo (MID, ?) ==> (4.233, 2.352)","Rodrigo (MID, ?) ==> (3.667, 2.037)"
MUN,1,"Dalot (DEF, ?) ==> (4.9, 2.722)","Onana (GKP, ?) ==> (4.833, 2.685)","Lindelof (DEF, ?) ==> (4.8, 2.667)","Rashford (MID, ?) ==> (3.767, 2.093)","Maguire (DEF, ?) ==> (3.633, 2.019)"
TOT,1,"Son (MID, ?) ==> (5.8, 3.222)","Kulusevski (MID, ?) ==> (4.8, 2.667)","Lo Celso (MID, ?) ==> (4.167, 2.315)","Pedro Porro (DEF, ?) ==> (3.367, 1.87)","Johnson (MID, ?) ==> (3.2, 1.778)"
NFO,1,"Gibbs-White (MID, ?) ==> (4.1, 2.278)","Toffolo (DEF, ?) ==> (4.033, 2.241)","Elanga (MID, ?) ==> (3.767, 2.093)","Aina (DEF, ?) ==> (3.533, 1.963)","Odysseas (GKP, ?) ==> (3.0, 1.667)"
BUR,0,"Brownhill (MID, ?) ==> (3.833, 1.917)","Rodriguez (FWD, ?) ==> (3.7, 1.85)","Koleosho (MID, ?) ==> (3.633, 1.817)","Amdouni (FWD, ?) ==> (3.533, 1.767)","Taylor (DEF, ?) ==> (2.867, 1.433)"
WOL,0,"Bentley (GKP, ?) ==> (6.233, 3.117)","Cunha (FWD, ?) ==> (4.3, 2.15)","Hee Chan (MID, ?) ==> (4.167, 2.083)","Sarabia (MID, ?) ==> (3.333, 1.667)","Lemina (MID, ?) ==> (3.033, 1.517)"
AVL,-1,"Watkins (FWD, ?) ==> (6.6, 2.933)","Diaby (MID, ?) ==> (4.4, 1.956)","Douglas Luiz (MID, ?) ==> (4.333, 1.926)","McGinn (MID, ?) ==> (3.867, 1.719)","Bailey (MID, ?) ==> (3.6, 1.6)"
