def_rank,def_tier,team,avg_GF/match,avg_def_pts/match,"avg_CS/match-log(avg_GA/match,MP)",defAdv_nxtGWs
1,1,ARS,2.07143,22.42857,0.51995,9
2,1,NEW,2.28571,22.42857,0.42857,8
3,2,LIV,2.28571,20.71429,0.28571,8
5,3,CRY,1.0,18.71429,0.24142,4
4,2,MUN,1.14286,20.14286,0.28357,2
7,4,TOT,2.0,17.78571,0.15056,1
10,5,CHE,1.78571,15.92857,0.04302,1
11,6,NFO,1.14286,15.92857,0.04302,1
13,7,FUL,1.14286,13.5,-0.02028,1
15,8,BOU,1.14286,11.35714,-0.14593,1
16,8,WOL,1.35714,11.35714,-0.14828,0
8,4,BRE,1.57143,15.71429,0.09857,-1
6,3,MCI,2.57143,18.64286,0.23511,-2
9,5,EVE,1.07143,14.78571,0.07914,-3
14,7,WHU,1.71429,12.71429,-0.13281,-3
18,9,BHA,2.14286,8.92857,-0.23457,-4
19,10,BUR,1.07143,9.07143,-0.24182,-4
12,6,AVL,2.35714,15.28571,0.00771,-5
17,9,LUT,0.92857,12.28571,-0.23457,-6
20,10,SHU,0.78571,8.0,-0.38821,-8
