fpl_rank,fpl_tier,team,fpl_avg_xPts,fpl_med_xPts,avg_GD/match,med_GD/match,fpl_avg_potential,fpl_med_potential,fplAdv_nxtGWs
1,1,LIV,28.26424525148822,24.190983005625053,1.4285714285714286,1.0,1.716321403915296,1.471572826979167,8
3,2,ARS,13.444157705482326,11.090169943749475,1.0,1.0,1.0683200140729392,1.194486780034304,7
6,3,NEW,16.117462966165732,15.285218258752415,0.5454545454545454,0.5,0.7652415129600689,0.8275274064501399,7
2,1,NFO,22.678626819746455,25.44833721937705,0.5,1.0,0.8664103337823277,1.498166238172138,4
7,4,AVL,4.426023142473346,8.645898033750315,-0.045454545454545456,0.0,0.054409964843156564,0.2314179537310363,3
8,4,FUL,8.875845020569223,5.5,0.18181818181818182,0.0,0.32682728210532996,0.16488128565165136,2
10,5,BHA,10.162433733523635,6.600813061875578,0.22727272727272727,0.0,0.3895961329827116,0.18816380546687558,2
11,6,CRY,9.132970825287554,11.53192935437831,-0.13636363636363635,0.0,0.08095233313603091,0.2924583644463712,2
16,8,TOT,-0.08914210309797888,-5.836881039375368,0.45454545454545453,-1.0,0.3549047727444458,-0.9862688375201576,2
4,2,CHE,5.118833420367725,5.208203932499369,0.7727272727272727,0.5,0.7149443796533914,0.6143955915395027,1
5,3,MCI,24.110314134833352,21.396674438754097,0.6818181818181818,0.5,1.0398872220413446,0.9567865009822119,-1
12,6,MUN,-8.746825300142726,-7.173762078750736,-0.22727272727272727,0.0,-0.3643369675364923,-0.1031725074830571,-2
14,7,EVE,-20.37444851553786,-18.79586137687852,-0.47619047619047616,0.0,-0.8037884170829889,-0.34898332369300605,-2
15,8,BRE,-0.7979170581815125,-9.909830056250525,0.045454545454545456,0.0,0.01706774666853158,-0.16104114941094202,-2
19,10,LEI,-29.425680528922847,-30.79586137687852,-1.1363636363636365,-1.0,-1.5141597165607603,-1.5141586077900682,-2
13,7,WHU,-22.925223710855516,-22.18847050625473,-0.7272727272727273,0.0,-1.0553358433861089,-0.4207380039596671,-3
9,5,BOU,11.134341279489549,8.701626123751156,0.45454545454545453,0.0,0.5893606527512193,0.23259661921179786,-4
18,9,WOL,-20.683948378809507,-28.31308230375284,-0.8636363636363636,-1.0,-1.1161931007875585,-1.4616471006359366,-7
20,10,SOU,-28.230175395852573,-24.062305898749056,-1.5909090909090908,-1.0,-1.8481091084264323,-1.371741930247988,-7
17,9,IPS,-21.763817817983377,-20.892609129376208,-1.0454545454545454,-1.0,-1.282320597876453,-1.3047019119158323,-8
