att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
20,6,-14,EVE,15.899186938124423,11.045084971874736,4.8541019662496865,-5,1,-6,1,-6.0,0,3
7,10,3,BHA,26.52786404500042,11.0,15.52786404500042,-1,5,-6,1,-6.0,0,3
17,1,-16,CRY,21.982779073125684,19.201626123751154,2.7811529493745297,0,5,-5,1,-5.0,0,3
11,17,6,BRE,25.881966011250107,9.045084971874736,16.83688103937537,-5,0,-5,1,-5.0,0,3
12,3,-9,NFO,30.538507163126525,18.31966011250105,12.218847050625474,-1,3,-4,1,-4.0,0,3
9,9,0,BOU,27.454915028125264,11.690983005625053,15.76393202250021,-3,1,-4,1,-4.0,1,2
18,16,-2,IPS,19.190983005625053,6.97213595499958,12.218847050625474,-8,-7,-1,1,-1.0,1,2
1,2,1,LIV,32.42705098312484,18.81966011250105,13.607390870623792,7,8,-1,1,-1.0,1,2
8,7,-1,NEW,29.10081306187558,15.128677106875998,13.972135954999583,6,6,0,1,0.0,1,2
19,20,1,SOU,16.02786404500042,9.545084971874736,6.482779073125684,-6,-6,0,1,0.0,1,2
4,4,0,ARS,28.954915028125264,10.97213595499958,17.982779073125684,7,6,1,1,1.0,2,1
13,14,1,MUN,23.0,9.427050983124843,13.572949016875157,-4,-5,1,1,1.0,2,1
3,5,2,FUL,28.881966011250103,11.23606797749979,17.645898033750314,5,4,1,1,1.0,2,1
15,18,3,WOL,19.135254915624213,8.618033988749895,10.517220926874318,-6,-7,1,1,1.0,2,1
10,11,1,CHE,24.73606797749979,10.072949016875157,14.663118960624633,-1,-3,2,1,2.0,2,1
6,8,2,MCI,32.72949016875158,14.937694101250946,17.791796067500634,3,1,2,1,2.0,3,0
16,15,-1,WHU,19.399186938124423,6.899186938124422,12.5,-1,-5,4,1,4.0,3,0
5,13,8,AVL,27.5,12.145898033750315,15.354101966249685,5,1,4,1,4.0,3,0
14,19,5,LEI,19.517220926874316,6.1909830056250525,13.326237921249263,-1,-9,8,1,8.0,3,0
2,12,10,TOT,27.854101966249683,7.354101966249685,20.5,9,1,8,1,8.0,3,0
