att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
3,2,MCI,29.99165167196,2.42857142857,1.10900024528,8
2,1,TOT,33.95720981821,2.0,1.20251402103,6
6,3,ARS,29.54831944893,2.14285714286,0.86900639828,5
12,6,LEI,22.71655226054,1.28571428571,-0.38980410494,4
5,3,LIV,32.41264911714,1.85714285714,0.9529562741,3
13,7,NEW,22.7267799625,1.14285714286,-0.48708995708,2
14,7,EVE,22.509288015,1.0,-0.60667807391,2
1,1,CHE,37.16447406375,2.28571428571,1.71320011484,0
4,2,BHA,32.78438742643,1.85714285714,0.98936334828,0
9,5,AVL,27.78438742643,1.71428571429,0.40138894714,0
8,4,FUL,30.56689547893,1.42857142857,0.47732542871,-1
10,5,WHU,26.61615461482,1.42857142857,0.09040023939,-1
18,9,MUN,17.91358880411,0.71428571429,-1.25334384351,-1
17,9,IPS,21.21373319964,0.85714285714,-0.83184883805,-2
7,4,BRE,29.24441630554,1.85714285714,0.64266786932,-3
15,8,WOL,20.04925913589,1.28571428571,-0.65103179177,-3
11,6,BOU,24.35316227929,1.14285714286,-0.32780634231,-4
19,10,SOU,16.53809174696,0.57142857143,-1.48634394095,-4
16,8,NFO,20.73700766446,1.0,-0.78025055911,-5
20,10,CRY,14.03068310589,0.71428571429,-1.63362543475,-6
