id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,form,avg_pts/fixture,avg_pts/fixture_played,MeanAbsDev(form),MeanAbsDev(avg_pts/fixture),MeanAbsDev(avg_pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw8Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
138,Mark,O’Mahony,FWD,BHA,~,"O’Mahony (FWD, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
139,Odeluga,Offiah,DEF,BHA,~,"Offiah (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2,0.0,0,0.0,0.0,1,0,0,0.0,~
140,Cameron,Peupion,MID,BHA,~,"Peupion (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
143,Deniz,Undav,FWD,BHA,~,"Undav (FWD, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
601,Andrew,Moran,MID,BHA,~,"Moran (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
615,Carl,Rushworth,GKP,BHA,~,"Rushworth (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2,0.0,0,0.0,0.0,1,0,0,0.0,~
629,Matt,O'Riley,MID,BHA,~,"O'Riley (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
663,Imari,Samuels,DEF,BHA,~,"Samuels (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2,0.0,0,0.0,0.0,1,0,0,0.0,~
64,Lewis,Cook,MID,BOU,~,"Cook (MID, ~)",24,7,0,4.333333333333333,3.42857142857,3.4285714285714284,3.77777777778,2.89795918367,2.89795918367,3.98774503744,-6,1.8148148148133332,0,0.0,-4,2.654320987653333,2.23456790123,1,3,3,0.7654320987699998,~
617,Francisco Evanilson,de Lima Barbosa,FWD,BOU,~,"Evanilson (FWD, ~)",17,6,1,4.333333333333333,2.42857142857,2.833333333333333,3.11111111111,1.87755102041,2.05555555556,3.60577902619,-6,2.25925925926,0,0.0,-4,2.950617283951111,2.60493827161,1,5,5,2.39506172839,2↑
78,Antoine,Semenyo,MID,BOU,~,"Semenyo (MID, ~)",31,7,0,3.6666666666666665,4.42857142857,4.428571428571429,2.22222222222,2.36734693878,2.36734693878,3.95768838952,-6,2.1851851851866666,0,0.0,-4,2.67901234568,2.43209876543,1,2,2,-0.43209876543000014,~
74,Dango,Ouattara,MID,BOU,~,"O.Dango (MID, ~)",17,6,1,3.333333333333333,2.42857142857,2.833333333333333,3.11111111111,2.04081632653,2.11111111111,2.98774503744,-6,1.2592592592600005,0,0.0,-4,1.9506172839511116,1.60493827161,1,3,3,1.39506172839,1↑
83,Marcus,Tavernier,MID,BOU,~,"Tavernier (MID, ~)",24,7,0,2.6666666666666665,3.42857142857,3.4285714285714284,0.88888888889,1.75510204082,1.75510204082,2.95768838952,-6,2.074074074073333,0,0.0,-4,2.271604938271111,2.17283950617,1,3,3,0.8271604938300001,~
152,Kepa,Arrizabalaga,GKP,BOU,1↑,"Arrizabalaga (GKP, 1↑)",11,4,3,2.6666666666666665,1.57142857143,2.75,0.88888888889,1.34693877551,0.75,2.24832294006,-6,2.074074074073333,-5,2.172839506172222,0,0.0,2.12345679012,1,6,6,3.87654320988,3↑
81,Adam,Smith,DEF,BOU,~,"Smith (DEF, ~)",14,7,0,1.6666666666666667,2.0,2.0,0.44444444444,0.85714285714,0.85714285714,1.79398867042,-6,1.3703703703733334,-5,1.4197530864222223,0,0.0,1.3950617284,1,1,1,-0.3950617284,~
63,Ryan,Christie,MID,BOU,~,"Christie (MID, ~)",12,7,0,1.6666666666666667,1.71428571429,1.7142857142857142,0.44444444444,0.40816326531,0.40816326531,1.68485552435,-6,1.3703703703733334,0,0.0,-4,1.4691358024711112,1.41975308642,1,6,6,4.58024691358,4↑
85,Illia,Zabarnyi,DEF,BOU,1↑,"Zabarnyi (DEF, 1↑)",12,7,0,1.6666666666666667,1.71428571429,1.7142857142857142,0.44444444444,0.40816326531,0.40816326531,1.68485552435,-6,1.3703703703733334,-5,1.4197530864222223,0,0.0,1.3950617284,1,6,6,4.6049382716,4↑
70,Milos,Kerkez,DEF,BOU,1↑,"Kerkez (DEF, 1↑)",10,7,0,1.3333333333333333,1.42857142857,1.4285714285714286,0.44444444444,0.48979591837,0.48979591837,1.36971104869,-6,1.03703703704,-5,1.0864197530888888,0,0.0,1.06172839506,1,7,7,5.93827160494,4↑
80,Luis,Sinisterra,MID,BOU,~,"Sinisterra (MID, ~)",18,7,0,1.0,2.57142857143,2.571428571428572,0.0,2.40816326531,2.40816326531,1.60023230339,-6,1.0,0,0.0,-4,1.0,1.0,1,1,1,0.0,~
77,Alex,Scott,MID,BOU,~,"Scott (MID, ~)",8,7,0,1.0,1.14285714286,1.1428571428571428,0.0,0.24489795918,0.24489795918,1.05456657304,-6,1.0,0,0.0,-4,1.0,1.0,1,3,3,2.0,2↑
79,Marcos,Senesi,DEF,BOU,~,"Senesi (DEF, ~)",6,5,2,1.0,0.85714285714,1.2,0.66666666667,0.48979591837,0.32,0.94543342696,-6,0.5555555555533334,-5,0.6296296296277778,0,0.0,0.59259259259,1,9,9,8.40740740741,5↑
65,Enes,Ünal,FWD,BOU,~,"Enes Ünal (FWD, ~)",4,4,3,1.0,0.57142857143,1.0,0.0,0.48979591837,0.0,0.83630028089,-6,1.0,0,0.0,-4,1.0,1.0,1,1,1,0.0,~
71,Justin,Kluivert,MID,BOU,~,"Kluivert (MID, ~)",12,7,0,0.6666666666666666,1.71428571429,1.7142857142857142,0.44444444444,1.38775510204,1.38775510204,1.0668215356,-6,0.3703703703733333,0,0.0,-4,0.4691358024711111,0.41975308642,1,11,11,10.58024691358,5↑
592,Julián,Araujo Zúñiga,DEF,BOU,~,"J.Araujo (DEF, ~)",6,5,2,0.3333333333333333,0.85714285714,1.2,0.44444444444,0.48979591837,0.32,0.5334107678,-6,0.03703703704,-5,0.0864197530888888,0,0.0,0.06172839506,1,1,1,0.93827160494,~
62,David,Brooks,MID,BOU,~,"Brooks (MID, ~)",1,1,6,0.3333333333333333,0.14285714286,1.0,0.44444444444,0.24489795918,0.0,0.26057790262,-6,0.03703703704,0,0.0,-4,0.1358024691377777,0.08641975309,1,0,0,-0.08641975309,~
580,Dean,Huijsen,DEF,BOU,~,"Huijsen (DEF, ~)",3,3,4,0.0,0.42857142857,1.0,0.0,0.61224489796,0.66666666667,0.16369971911,-6,0.0,-5,0.0,0,0.0,0.0,1,0,0,0.0,~
69,Daniel,Jebbison,FWD,BOU,~,"Jebbison (FWD, ~)",2,2,5,0.0,0.28571428571,1.0,0.0,0.40816326531,0.0,0.10913314607,-6,0.0,0,0.0,-4,0.0,0.0,1,0,0,0.0,~
