def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
7,4,NFO,14.37549705714,0.85714285714,0.32476479016,6
5,3,CRY,18.39866266732,1.42857142857,0.41854853566,5
3,2,ARS,19.96472731393,0.85714285714,0.96674261019,4
12,6,LEI,16.23230922964,1.71428571429,-0.0144364759,4
2,1,MUN,22.28532711339,1.14285714286,1.04912811038,3
10,5,MCI,14.46190825304,1.14285714286,0.15053185394,3
13,7,EVE,14.39866266732,2.14285714286,-0.50128589932,2
6,3,AVL,16.90983005625,1.28571428571,0.33962058696,1
8,4,TOT,15.93216483411,1.14285714286,0.31940521778,1
15,8,BRE,11.72490058857,1.85714285714,-0.62423554515,1
1,1,LIV,29.93028546018,0.28571428571,2.47970075393,0
4,2,NEW,17.65706542268,1.0,0.60960599323,0
9,5,FUL,14.67564145268,1.14285714286,0.17508120461,0
17,9,BHA,8.20914361946,1.42857142857,-0.75181749418,-2
18,9,IPS,8.83552593625,2.0,-1.04818756836,-2
11,6,CHE,14.39219371321,1.14285714286,0.14252445645,-3
19,10,SOU,9.35316227929,2.14285714286,-1.08081102017,-4
16,8,BOU,8.96096856607,1.42857142857,-0.66546303782,-5
14,7,WHU,10.73700766446,1.57142857143,-0.55354661196,-6
20,10,WOL,8.46002887911,3.0,-1.73587046041,-8
