att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
20,5,-15,CRY,14.03068310589,18.39866266732,-4.367979561429999,-6,5,-11,1,-11.0,0,3
16,7,-9,NFO,20.73700766446,14.37549705714,6.361510607319998,-5,6,-11,1,-11.0,0,3
18,2,-16,MUN,17.91358880411,22.28532711339,-4.371738309280001,-1,3,-4,1,-4.0,0,3
7,15,8,BRE,29.24441630554,11.72490058857,17.519515716969998,-3,1,-4,1,-4.0,0,3
9,6,-3,AVL,27.78438742643,16.90983005625,10.87455737018,0,1,-1,1,-1.0,0,3
8,9,1,FUL,30.56689547893,14.67564145268,15.89125402625,-1,0,-1,1,-1.0,1,2
14,13,-1,EVE,22.509288015,14.39866266732,8.11062534768,2,2,0,1,0.0,1,2
12,12,0,LEI,22.71655226054,16.23230922964,6.4842430309,4,4,0,1,0.0,1,2
19,19,0,SOU,16.53809174696,9.35316227929,7.184929467669999,-4,-4,0,1,0.0,1,2
17,18,1,IPS,21.21373319964,8.83552593625,12.37820726339,-2,-2,0,1,0.0,1,2
6,3,-3,ARS,29.54831944893,19.96472731393,9.583592135,5,4,1,1,1.0,2,1
11,16,5,BOU,24.35316227929,8.96096856607,15.392193713220001,-4,-5,1,1,1.0,2,1
13,4,-9,NEW,22.7267799625,17.65706542268,5.069714539820001,2,0,2,1,2.0,2,1
4,17,13,BHA,32.78438742643,8.20914361946,24.57524380697,0,-2,2,1,2.0,2,1
5,1,-4,LIV,32.41264911714,29.93028546018,2.4823636569600005,3,0,3,1,3.0,2,1
1,11,10,CHE,37.16447406375,14.39219371321,22.77228035054,0,-3,3,1,3.0,3,0
10,14,4,WHU,26.61615461482,10.73700766446,15.879146950360001,-1,-6,5,1,5.0,3,0
15,20,5,WOL,20.04925913589,8.46002887911,11.58923025678,-3,-8,5,1,5.0,3,0
2,8,6,TOT,33.95720981821,15.93216483411,18.025044984100003,6,1,5,1,5.0,3,0
3,10,7,MCI,29.99165167196,14.46190825304,15.529743418919999,8,3,5,1,5.0,3,0
