id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw33Pts,gw34Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
19,Gabriel,Martinelli Silva,MID,ARS,189,~,"Martinelli (MID, ~)",5.9,8.0,6.6,2,13.2,1,1,2,0.15152,vv
28,Gabriel,Fernando de Jesus,FWD,ARS,99,~,"Jesus (FWD, ~)",5.0,7.0,5.667,2,11.334,2,7,9,0.79407,~
7,Martin,Ødegaard,MID,ARS,178,^,"Ødegaard (MID, ^)",5.7,6.2,5.867,2,11.734,2,15,17,1.44878,^
10,Benjamin,White,DEF,ARS,139,~,"White (DEF, ~)",4.3,4.5,4.367,2,8.734,0,2,2,0.22899,vv
13,Bukayo,Saka,MID,ARS,185,~,"Saka (MID, ~)",5.8,3.8,5.133,2,10.266,2,2,4,0.38964,v
3,Granit,Xhaka,MID,ARS,118,v,"Xhaka (MID, v)",3.8,3.0,3.533,2,7.066,1,13,14,1.98132,^^
111,Leandro,Trossard,MID,ARS,135,v,"Trossard (MID, v)",4.5,2.0,3.667,2,7.334,4,1,5,0.68176,~
15,Aaron,Ramsdale,GKP,ARS,119,v,"Ramsdale (GKP, v)",3.7,1.8,3.067,2,6.134,1,3,4,0.6521,~
6,Thomas,Partey,MID,ARS,78,v,"Partey (MID, v)",2.9,1.5,2.433,2,4.866,1,1,2,0.41102,v
23,Reiss,Nelson,MID,ARS,37,v,"Nelson (MID, v)",6.2,1.2,4.533,2,9.066,1,1,2,0.2206,vv
16,Gabriel,dos Santos Magalhães,DEF,ARS,129,v,"Gabriel (DEF, v)",4.0,1.2,3.067,2,6.134,0,2,2,0.32605,vv
5,Rob,Holding,DEF,ARS,14,~,"Holding (DEF, ~)",1.2,1.2,1.2,2,2.4,6,1,7,2.91667,^^^
313,Oleksandr,Zinchenko,DEF,ARS,91,v,"Zinchenko (DEF, v)",3.8,0.8,2.8,2,5.6,0,2,2,0.35714,vv
25,Fábio,Ferreira Vieira,MID,ARS,38,~,"Fábio Vieira (MID, ~)",1.9,0.8,1.533,2,3.066,0,0,0,0.0,vv
8,Kieran,Tierney,DEF,ARS,32,v,"Tierney (DEF, v)",1.5,0.8,1.267,2,2.534,0,1,1,0.39463,v
130,Jorge Luiz,Frello Filho,MID,ARS,64,v,"Jorginho (MID, v)",2.5,0.5,1.833,2,3.666,1,2,3,0.81833,~
11,Eddie,Nketiah,FWD,ARS,59,v,"Nketiah (FWD, v)",2.4,0.5,1.767,2,3.534,1,0,1,0.28297,vv
12,Emile,Smith Rowe,MID,ARS,12,v,"Smith Rowe (MID, v)",1.3,0.2,0.933,2,1.866,1,0,1,0.53591,v
710,Jakub,Kiwior,DEF,ARS,2,v,"Kiwior (DEF, v)",1.0,0.2,0.733,2,1.466,0,2,2,1.36426,~
26,William,Saliba,DEF,ARS,117,v,"Saliba (DEF, v)",4.3,0.0,2.867,2,5.734,0,0,0,0.0,vv
14,Takehiro,Tomiyasu,DEF,ARS,32,v,"Tomiyasu (DEF, v)",1.5,0.0,1.0,2,2.0,0,0,0,0.0,vv
4,Mohamed,Elneny,MID,ARS,6,v,"Elneny (MID, v)",1.2,0.0,0.8,2,1.6,0,0,0,0.0,vv
27,Marcus,Oliveira Alencar,MID,ARS,1,v,"Marquinhos (MID, v)",1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
630,Ethan,Nwaneri,MID,ARS,1,v,"Nwaneri (MID, v)",1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
9,Nicolas,Pépé,MID,ARS,0,?,"Pépé (MID, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
17,Nuno,Varela Tavares,DEF,ARS,0,?,"Tavares (DEF, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
20,Pablo,Marí Villar,DEF,ARS,0,?,"Pablo Marí (DEF, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
22,Lucas,Torreira di Pascua,MID,ARS,0,?,"Torreira (MID, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
24,Matt,Turner,GKP,ARS,0,?,"Turner (GKP, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
607,Matthew,Smith,MID,ARS,0,?,"Smith (MID, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
631,Lino,Sousa,DEF,ARS,0,?,"Sousa (DEF, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
655,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
668,Amario,Cozier-Duberry,MID,ARS,0,?,"Cozier-Duberry (MID, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
685,Nathan,Butler-Oyedeji,FWD,ARS,0,?,"Butler-Oyedeji (FWD, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
751,Reuell,Walters,DEF,ARS,0,?,"Walters (DEF, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
40,Ollie,Watkins,FWD,AVL,157,~,"Watkins (FWD, ~)",5.1,8.4,6.2,2,12.4,2,2,4,0.32258,vv
31,Emiliano,Martínez Romero,GKP,AVL,118,~,"Martínez (GKP, ~)",3.9,6.0,4.6,2,9.2,5,3,8,0.86957,~
47,Jacob,Ramsey,MID,AVL,103,^,"Ramsey (MID, ^)",3.6,5.8,4.333,2,8.666,3,2,5,0.57697,v
694,Alexandre,Moreno Lopera,DEF,AVL,58,~,"Álex Moreno (DEF, ~)",4.1,5.0,4.4,2,8.8,7,2,9,1.02273,~
39,Tyrone,Mings,DEF,AVL,108,~,"Mings (DEF, ~)",3.7,4.8,4.067,2,8.134,15,2,17,2.08999,^^^
538,Ashley,Young,DEF,AVL,77,~,"Young (DEF, ~)",3.2,4.6,3.667,2,7.334,5,2,7,0.95446,~
46,Douglas Luiz,Soares de Paulo,MID,AVL,110,~,"Douglas Luiz (MID, ~)",3.5,4.4,3.8,2,7.6,3,2,5,0.65789,~
44,Ezri,Konsa Ngoyo,DEF,AVL,93,~,"Konsa (DEF, ~)",2.9,4.2,3.333,2,6.666,8,2,10,1.50015,^
42,Emiliano,Buendía Stati,MID,AVL,105,~,"Buendía (MID, ~)",3.3,4.0,3.533,2,7.066,3,2,5,0.70761,~
37,John,McGinn,MID,AVL,76,~,"McGinn (MID, ~)",2.7,3.6,3.0,2,6.0,6,2,8,1.33333,~
34,Bertrand,Traoré,MID,AVL,18,v,"Traoré (MID, v)",3.6,3.2,3.467,2,6.934,0,1,1,0.14422,vv
479,Leander,Dendoncker,MID,AVL,31,^,"Dendoncker (MID, ^)",1.5,1.4,1.467,2,2.934,3,2,5,1.70416,^^
45,Leon,Bailey,MID,AVL,90,v,"Bailey (MID, v)",3.1,0.8,2.333,2,4.666,0,0,0,0.0,vv
32,Calum,Chambers,DEF,AVL,11,~,"Chambers (DEF, ~)",0.9,0.6,0.8,2,1.6,1,1,2,1.25,~
33,Lucas,Digne,DEF,AVL,45,v,"Digne (DEF, v)",2.0,0.4,1.467,2,2.934,1,1,2,0.68166,~
35,Robin,Olsen,GKP,AVL,10,v,"Olsen (GKP, v)",2.5,0.2,1.733,2,3.466,0,0,0,0.0,vv
711,Jhon,Durán,FWD,AVL,7,v,"Durán (FWD, v)",0.9,0.2,0.667,2,1.334,0,1,1,0.74963,~
43,Matty,Cash,DEF,AVL,53,v,"Cash (DEF, v)",2.3,0.0,1.533,2,3.066,0,0,0,0.0,vv
53,Boubacar,Kamara,MID,AVL,38,v,"Kamara (MID, v)",1.9,0.0,1.267,2,2.534,0,0,0,0.0,vv
29,Philippe,Coutinho Correia,MID,AVL,32,v,"Coutinho (MID, v)",1.6,0.0,1.067,2,2.134,0,0,0,0.0,vv
50,Diego Carlos,Santos Silva,DEF,AVL,3,v,"Diego Carlos (DEF, v)",1.5,0.0,1.0,2,2.0,0,0,0,0.0,vv
54,Cameron,Archer,FWD,AVL,6,v,"Archer (FWD, v)",1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
36,Morgan,Sanson,MID,AVL,2,v,"Sanson (MID, v)",1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
525,Ludwig,Augustinsson,DEF,AVL,2,v,"Augustinsson (DEF, v)",0.7,0.0,0.467,2,0.934,0,0,0,0.0,vv
38,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
41,Marvelous,Nakamba,MID,AVL,0,?,"Nakamba (MID, ?)",0.0,0.0,0.0,2,0.0,0,0,0,,?
