team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,6.0,3,0,"M.Salah (MID, ?) ==> (5.0, 4.33333)","Gravenberch (MID, ?) ==> (2.0, 3.55556)","Wirtz (MID, ?) ==> (2.0, 2.52725)"
CHE,5.25,2,1,"Caicedo (MID, ?) ==> (4.0, 3.33333)","Chalobah (DEF, ?) ==> (6.0, 3.0)","Enzo (MID, ?) ==> (3.0, 2.66667)"
CRY,4.5,0,3,"Mitchell (DEF, ?) ==> (6.0, 3.66667)","Muñoz (DEF, ?) ==> (5.0, 3.66667)","Henderson (GKP, ?) ==> (3.0, 3.61111)"
ARS,4.25,2,1,"Gabriel (DEF, ?) ==> (9.0, 8.16667)","Rice (MID, ?) ==> (6.0, 4.66667)","Zubimendi (MID, ?) ==> (3.0, 3.55556)"
BOU,4.25,2,1,"Semenyo (MID, ?) ==> (5.0, 3.5)","Petrović (GKP, ?) ==> (3.0, 3.27778)","Adams (MID, ?) ==> (3.0, 2.5)"
MCI,3.75,1,2,"Haaland (FWD, ?) ==> (9.0, 10.55556)","O’Reilly (DEF, ?) ==> (5.0, 3.63769)","Donnarumma (GKP, ?) ==> (2.0, 3.22222)"
SUN,3.25,0,3,"Roefs (GKP, ?) ==> (4.0, 4.33333)","Mukiele (DEF, ?) ==> (4.0, 2.5)","Hume (DEF, ?) ==> (2.0, 2.0)"
AVL,3.25,0,3,"Digne (DEF, ?) ==> (5.0, 3.21602)","Martinez (GKP, ?) ==> (2.0, 2.61111)","Cash (DEF, ?) ==> (2.0, 2.38889)"
MUN,2.75,2,1,"B.Fernandes (MID, ?) ==> (4.0, 2.66667)","Amad (MID, ?) ==> (3.0, 2.66667)","Shaw (DEF, ?) ==> (2.0, 1.77778)"
BHA,2.25,3,0,"Minteh (MID, ?) ==> (4.0, 2.77778)","Wieffer (MID, ?) ==> (3.0, 2.63769)","Ayari (MID, ?) ==> (2.0, 2.38889)"
BRE,-2.25,3,0,"Thiago (FWD, ?) ==> (5.0, 5.66667)","Schade (MID, ?) ==> (3.0, 1.77778)","Henderson (MID, ?) ==> (2.0, 1.65999)"
EVE,-2.75,1,2,"Gana (MID, ?) ==> (2.0, 2.0)","Pickford (GKP, ?) ==> (2.0, 1.83333)","O'Brien (DEF, ?) ==> (2.0, 1.16667)"
FUL,-3.25,0,3,"Leno (GKP, ?) ==> (2.0, 2.27778)","Andersen (DEF, ?) ==> (3.0, 1.27778)","Tete (DEF, ?) ==> (2.0, 1.27778)"
LEE,-3.25,1,2,"Perri (GKP, ?) ==> (0.0, 2.0)","Longstaff (MID, ?) ==> (2.0, 1.55556)","Gudmundsson (DEF, ?) ==> (1.0, 1.0)"
NEW,-3.75,1,2,"Pope (GKP, ?) ==> (4.0, 1.72222)","Trippier (DEF, ?) ==> (1.0, 1.61111)","Bruno G. (MID, ?) ==> (3.0, 1.55556)"
TOT,-4.25,2,1,"Kudus (MID, ?) ==> (3.0, 1.61111)","Romero (DEF, ?) ==> (2.0, 1.44444)","Xavi (MID, ?) ==> (2.0, 1.08178)"
WHU,-4.25,1,2,"Bowen (FWD, ?) ==> (2.0, 2.0)","Areola (GKP, ?) ==> (2.0, 2.0)","Wan-Bissaka (DEF, ?) ==> (1.0, 0.72807)"
WOL,-4.5,0,3,"Johnstone (GKP, ?) ==> (2.0, 1.88889)","H.Bueno (DEF, ?) ==> (1.0, 1.35991)","S.Bueno (DEF, ?) ==> (1.0, 1.22222)"
BUR,-5.25,3,0,"Anthony (MID, ?) ==> (2.0, 1.35991)","Cullen (MID, ?) ==> (4.0, 1.0)","Florentino (MID, ?) ==> (2.0, 1.0)"
NFO,-6.0,3,0,"Gibbs-White (MID, ?) ==> (2.0, 1.95239)","Ndoye (MID, ?) ==> (2.0, 1.10968)","Anderson (MID, ?) ==> (4.0, 0.88889)"
