team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,8,"M.Salah (MID, ?) ==> (5.0, 4.667)","Gravenberch (MID, ?) ==> (2.0, 3.778)","Szoboszlai (MID, ?) ==> (2.0, 2.889)","Wirtz (MID, ?) ==> (2.0, 2.638)","Ekitiké (FWD, ?) ==> (2.0, 2.474)"
ARS,6,"Gabriel (DEF, ?) ==> (9.0, 9.0)","J.Timber (DEF, ?) ==> (6.0, 8.667)","Calafiori (DEF, ?) ==> (6.0, 8.311)","Raya (GKP, ?) ==> (6.0, 6.333)","Rice (MID, ?) ==> (6.0, 5.0)"
CHE,6,"Chalobah (DEF, ?) ==> (6.0, 3.333)","Sánchez (GKP, ?) ==> (3.0, 3.167)","Gusto (DEF, ?) ==> (2.0, 2.86)","Cucurella (DEF, ?) ==> (6.0, 2.833)","Neto (MID, ?) ==> (3.0, 2.438)"
SUN,5,"Roefs (GKP, ?) ==> (4.0, 4.5)","Mukiele (DEF, ?) ==> (4.0, 2.611)","Xhaka (MID, ?) ==> (4.0, 2.556)","Sadiki (MID, ?) ==> (2.0, 2.556)","Isidor (FWD, ?) ==> (2.0, 2.2)"
AVL,5,"Digne (DEF, ?) ==> (5.0, 3.549)","Martinez (GKP, ?) ==> (2.0, 2.722)","Cash (DEF, ?) ==> (2.0, 2.611)","McGinn (MID, ?) ==> (3.0, 2.18)","Pau (DEF, ?) ==> (1.0, 2.18)"
MCI,4,"Haaland (FWD, ?) ==> (9.0, 10.778)","O’Reilly (DEF, ?) ==> (5.0, 3.638)","Donnarumma (GKP, ?) ==> (2.0, 3.222)","Matheus N. (DEF, ?) ==> (2.0, 2.889)","Gvardiol (DEF, ?) ==> (2.0, 2.889)"
MUN,4,"B.Fernandes (MID, ?) ==> (4.0, 2.889)","Amad (MID, ?) ==> (3.0, 2.889)","Mbeumo (MID, ?) ==> (3.0, 2.444)","Casemiro (MID, ?) ==> (3.0, 2.341)","Cunha (MID, ?) ==> (2.0, 2.237)"
BOU,4,"Semenyo (MID, ?) ==> (5.0, 3.333)","Petrović (GKP, ?) ==> (3.0, 3.278)","Adams (MID, ?) ==> (3.0, 2.444)","Tavernier (MID, ?) ==> (3.0, 2.327)","Scott (MID, ?) ==> (3.0, 1.934)"
CRY,4,"Sarr (MID, ?) ==> (3.0, 3.333)","Henderson (GKP, ?) ==> (3.0, 3.056)","Mitchell (DEF, ?) ==> (6.0, 2.833)","Muñoz (DEF, ?) ==> (5.0, 2.833)","Lacroix (DEF, ?) ==> (4.0, 2.389)"
BHA,2,"Minteh (MID, ?) ==> (4.0, 2.444)","Verbruggen (GKP, ?) ==> (2.0, 2.389)","Wieffer (MID, ?) ==> (3.0, 2.304)","Welbeck (FWD, ?) ==> (2.0, 2.015)","Van Hecke (DEF, ?) ==> (3.0, 1.944)"
