team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
CHE,6,"Caicedo (MID, ?) ==> (4.0, 3.333)","Enzo (MID, ?) ==> (3.0, 2.667)","Neto (MID, ?) ==> (3.0, 2.438)","João Pedro (FWD, ?) ==> (2.0, 2.0)","Garnacho (MID, ?) ==> (1.0, 1.1)"
LIV,6,"M.Salah (MID, ?) ==> (5.0, 4.0)","Gravenberch (MID, ?) ==> (2.0, 3.333)","Wirtz (MID, ?) ==> (2.0, 2.416)","Ekitiké (FWD, ?) ==> (2.0, 2.251)","Mac Allister (MID, ?) ==> (2.0, 2.066)"
BHA,5,"Minteh (MID, ?) ==> (4.0, 3.111)","Wieffer (MID, ?) ==> (3.0, 2.971)","Ayari (MID, ?) ==> (2.0, 2.556)","Welbeck (FWD, ?) ==> (2.0, 2.349)","Gomez (MID, ?) ==> (1.0, 1.324)"
BOU,5,"Semenyo (MID, ?) ==> (5.0, 3.667)","Adams (MID, ?) ==> (3.0, 2.556)","Tavernier (MID, ?) ==> (3.0, 2.438)","Scott (MID, ?) ==> (3.0, 2.045)","Kroupi.Jr (FWD, ?) ==> (1.0, 0.978)"
ARS,4,"Rice (MID, ?) ==> (6.0, 4.333)","Zubimendi (MID, ?) ==> (3.0, 3.444)","Eze (MID, ?) ==> (3.0, 3.173)","Saka (MID, ?) ==> (3.0, 2.879)","Trossard (MID, ?) ==> (3.0, 2.66)"
MCI,3,"Haaland (FWD, ?) ==> (9.0, 10.333)","Foden (MID, ?) ==> (3.0, 2.667)","N.Gonzalez (MID, ?) ==> (2.0, 1.978)","Doku (MID, ?) ==> (2.0, 1.804)","Bernardo (MID, ?) ==> (2.0, 1.804)"
MUN,2,"B.Fernandes (MID, ?) ==> (4.0, 2.444)","Amad (MID, ?) ==> (3.0, 2.444)","Mbeumo (MID, ?) ==> (3.0, 2.222)","Cunha (MID, ?) ==> (2.0, 2.015)","Casemiro (MID, ?) ==> (3.0, 1.897)"
CRY,1,"Sarr (MID, ?) ==> (3.0, 2.333)","Mateta (FWD, ?) ==> (2.0, 2.0)","Kamada (MID, ?) ==> (3.0, 1.926)","Wharton (MID, ?) ==> (2.0, 1.756)","Lerma (MID, ?) ==> (1.0, 0.496)"
BRE,0,"Thiago (FWD, ?) ==> (5.0, 6.0)","Schade (MID, ?) ==> (3.0, 2.0)","Henderson (MID, ?) ==> (2.0, 1.771)","Damsgaard (MID, ?) ==> (2.0, 1.728)","O.Dango (MID, ?) ==> (2.0, 1.645)"
AVL,0,"Rogers (MID, ?) ==> (3.0, 2.0)","Watkins (FWD, ?) ==> (2.0, 1.883)","Kamara (MID, ?) ==> (2.0, 1.793)","McGinn (MID, ?) ==> (3.0, 1.624)","Onana (MID, ?) ==> (1.0, 1.434)"
TOT,-1,"Kudus (MID, ?) ==> (3.0, 1.889)","J.Palhinha (MID, ?) ==> (4.0, 1.667)","P.M.Sarr (MID, ?) ==> (3.0, 1.443)","Xavi (MID, ?) ==> (2.0, 1.36)","Johnson (MID, ?) ==> (1.0, 0.568)"
SUN,-1,"Xhaka (MID, ?) ==> (4.0, 1.889)","Sadiki (MID, ?) ==> (2.0, 1.889)","Isidor (FWD, ?) ==> (2.0, 1.534)","E.Le Fée (MID, ?) ==> (2.0, 1.534)","Traoré (MID, ?) ==> (0.0, 0.598)"
EVE,-1,"Gana (MID, ?) ==> (2.0, 2.0)","Dewsbury-Hall (MID, ?) ==> (2.0, 2.0)","Garner (MID, ?) ==> (3.0, 1.889)","Grealish (MID, ?) ==> (2.0, 1.889)","Ndiaye (MID, ?) ==> (5.0, 1.778)"
NFO,-2,"Gibbs-White (MID, ?) ==> (2.0, 1.952)","Anderson (MID, ?) ==> (4.0, 1.556)","Ndoye (MID, ?) ==> (2.0, 1.443)","Igor Jesus (FWD, ?) ==> (1.0, 0.549)","Yates (MID, ?) ==> (1.0, 0.407)"
BUR,-3,"Anthony (MID, ?) ==> (2.0, 1.527)","Cullen (MID, ?) ==> (4.0, 1.333)","Florentino (MID, ?) ==> (2.0, 1.333)","Hannibal (MID, ?) ==> (1.0, 0.119)","Flemming (FWD, ?) ==> (1.0, 0.083)"
LEE,-3,"Longstaff (MID, ?) ==> (2.0, 1.667)","Ampadu (MID, ?) ==> (2.0, 1.667)","Calvert-Lewin (FWD, ?) ==> (2.0, 1.527)","Aaronson (MID, ?) ==> (2.0, 1.291)","Okafor (MID, ?) ==> (2.0, 0.822)"
NEW,-4,"Bruno G. (MID, ?) ==> (3.0, 1.556)","Tonali (MID, ?) ==> (3.0, 1.556)","Joelinton (MID, ?) ==> (2.0, 1.221)","Woltemade (FWD, ?) ==> (2.0, 0.6)","J.Murphy (MID, ?) ==> (3.0, 0.51)"
FUL,-4,"Berge (MID, ?) ==> (2.0, 2.0)","Sessegnon (MID, ?) ==> (3.0, 1.556)","Iwobi (MID, ?) ==> (2.0, 1.438)","Raúl (FWD, ?) ==> (1.0, 0.154)","Kevin (MID, ?) ==> (1.0, 0.077)"
WHU,-4,"Bowen (FWD, ?) ==> (2.0, 2.0)","M.Fernandes (MID, ?) ==> (2.0, 1.262)","Summerville (MID, ?) ==> (2.0, 1.262)","Wilson (FWD, ?) ==> (1.0, 0.104)","Souček (MID, ?) ==> (2.0, -0.311)"
WOL,-9,"Strand Larsen (FWD, ?) ==> (2.0, 1.707)","Gomes (MID, ?) ==> (2.0, 1.0)","Bellegarde (MID, ?) ==> (1.0, 0.768)","André (MID, ?) ==> (2.0, 0.508)","Munetsi (MID, ?) ==> (4.0, 0.0)"
