att_rank,att_tier,team,att_avg_xPts,att_med_xPts,avg_GF/match,med_GF/match,att_avg_potential,att_med_potential,attAdv_nxtGWs
6,3,CHE,30.145898033750314,29.381966011250103,1.9090909090909092,2.0,1.1808831291269102,0.9493289031564326,6
8,4,LIV,28.22882029272661,28.236067977499786,1.6363636363636365,1.0,0.5643291422022608,-0.10174113516605632,6
4,2,BHA,31.68509042397784,30.0,1.5454545454545454,2.0,0.7353735738766206,0.9942970111740885,5
5,3,BOU,28.146354851817648,28.090169943749473,1.5454545454545454,2.0,0.40998687604510486,0.855337915355125,5
1,1,ARS,33.160850221364,33.76393202250021,1.8181818181818181,2.0,1.3113483806338848,1.2681604310345609,4
2,1,MCI,30.093793786136064,33.3819660112501,2.090909090909091,2.0,1.4696112836193482,1.240368611874588,3
7,4,MUN,31.58359213500126,30.29179606750063,1.7272727272727273,2.0,1.0195599467927783,1.0155280717939474,2
17,9,CRY,20.337109448409034,18.090169943749473,1.2727272727272727,1.0,-0.7483518641185457,-0.8399559372675547,1
9,5,BRE,27.793836397727592,30.437694101250948,1.5454545454545454,1.0,0.37757280798309284,0.05844902127276608,0
18,9,AVL,24.32940494556852,19.76393202250021,1.1818181818181819,1.0,-0.5280199058037106,-0.7181731303024543,0
3,2,TOT,29.558225238295133,31.47213595499958,1.7272727272727273,2.0,0.833327482403418,1.1014095160556243,-1
14,7,SUN,24.621657831136485,23.76393202250021,1.2727272727272727,1.0,-0.35438768637213813,-0.4271334215881186,-1
15,8,EVE,25.29225288556796,22.618033988749893,1.0909090909090908,1.0,-0.586245617817062,-0.5105088790794967,-1
19,10,NFO,24.205706784205077,21.201626123751154,0.9090909090909091,0.0,-0.9796726596546199,-1.581261193026148,-2
10,5,BUR,27.56547292306831,29.437694101250948,1.2727272727272727,1.0,-0.08370392030369873,-0.014310905908682586,-3
11,6,LEE,24.943815091931828,26.76393202250021,0.9090909090909091,1.0,-0.9118036086898371,-0.20885364005141188,-3
12,6,NEW,26.28817222511404,26.29179606750063,1.0,1.0,-0.641430414997294,-0.24320621775531873,-4
13,7,FUL,28.078384780455046,25.52786404500042,1.0909090909090908,1.0,-0.3300608200214238,-0.29878985608290415,-4
16,8,WHU,24.72994698681891,23.81966011250105,1.1818181818181819,1.0,-0.49119006941337356,-0.4230786498183033,-4
20,10,WOL,15.209787444658996,13.854101966249685,0.6363636363636364,0.0,-2.2471260554978953,-2.1158665156706844,-9
