team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
MCI,6,"Rodrigo (MID, ?) ==> (8.0, 48.0)","Haaland (FWD, ?) ==> (7.5, 45.0)","Akanji (DEF, ?) ==> (6.5, 39.0)","J.Alvarez (FWD, ?) ==> (6.0, 36.0)","Ederson M. (GKP, ?) ==> (6.0, 36.0)"
AVL,6,"Bailey (MID, ?) ==> (7.5, 45.0)","McGinn (MID, ?) ==> (6.0, 36.0)","Watkins (FWD, ?) ==> (5.0, 30.0)","Diaby (MID, ?) ==> (5.0, 30.0)","Digne (DEF, ?) ==> (4.5, 27.0)"
BRE,5,"Mbeumo (MID, ?) ==> (11.5, 57.5)","Wissa (FWD, ?) ==> (10.0, 50.0)","Henry (DEF, ?) ==> (4.5, 22.5)","Flekken (GKP, ?) ==> (4.0, 20.0)","Pinnock (DEF, ?) ==> (4.0, 20.0)"
TOT,5,"Romero (DEF, ?) ==> (6.5, 32.5)","Maddison (MID, ?) ==> (6.0, 30.0)","Vicario (GKP, ?) ==> (6.0, 30.0)","Sarr (MID, ?) ==> (5.5, 27.5)","Pedro Porro (DEF, ?) ==> (5.0, 25.0)"
BHA,2,"March (MID, ?) ==> (12.0, 24.0)","Estupiñan (DEF, ?) ==> (9.0, 18.0)","Mitoma (MID, ?) ==> (8.5, 17.0)","Adingra (MID, ?) ==> (5.0, 10.0)","Enciso (MID, ?) ==> (4.0, 8.0)"
ARS,2,"Nketiah (FWD, ?) ==> (6.5, 13.0)","Ødegaard (MID, ?) ==> (6.5, 13.0)","Saka (MID, ?) ==> (6.5, 13.0)","Saliba (DEF, ?) ==> (6.5, 13.0)","Martinelli (MID, ?) ==> (4.0, 8.0)"
WHU,1,"Ward-Prowse (MID, ?) ==> (9.0, 9.0)","Areola (GKP, ?) ==> (6.5, 6.5)","Bowen (MID, ?) ==> (5.5, 5.5)","Antonio (FWD, ?) ==> (5.0, 5.0)","Souček (MID, ?) ==> (4.5, 4.5)"
NEW,0,"Isak (FWD, ?) ==> (7.5, 0.0)","Barnes (MID, ?) ==> (5.5, 0.0)","Botman (DEF, ?) ==> (3.5, 0.0)","Tonali (MID, ?) ==> (3.5, 0.0)","J.Murphy (MID, ?) ==> (3.333, 0.0)"
CRY,0,"Andersen (DEF, ?) ==> (5.5, 0.0)","Mitchell (DEF, ?) ==> (5.0, 0.0)","Edouard (FWD, ?) ==> (4.5, 0.0)","Guéhi (DEF, ?) ==> (4.0, 0.0)","Johnstone (GKP, ?) ==> (4.0, 0.0)"
MUN,0,"R.Varane (DEF, ?) ==> (7.5, 0.0)","Wan-Bissaka (DEF, ?) ==> (6.5, 0.0)","Onana (GKP, ?) ==> (5.5, 0.0)","Shaw (DEF, ?) ==> (3.0, 0.0)","Mount (MID, ?) ==> (2.5, 0.0)"
CHE,0,"Disasi (DEF, ?) ==> (5.5, 0.0)","Chilwell (DEF, ?) ==> (4.0, 0.0)","Chukwuemeka (MID, ?) ==> (3.0, 0.0)","Sanchez (GKP, ?) ==> (2.0, 0.0)","Gallagher (MID, ?) ==> (2.0, 0.0)"
EVE,0,"A.Doucoure (MID, ?) ==> (2.0, 0.0)","Garner (MID, ?) ==> (2.0, 0.0)","Onana (MID, ?) ==> (2.0, 0.0)","Iwobi (MID, ?) ==> (1.5, 0.0)","Maupay (FWD, ?) ==> (1.5, 0.0)"
NFO,-1,"Awoniyi (FWD, ?) ==> (7.0, -0.143)","Aurier (DEF, ?) ==> (5.5, -0.182)","Wood (FWD, ?) ==> (4.0, -0.25)","Elanga (MID, ?) ==> (2.5, -0.4)","Turner (GKP, ?) ==> (2.0, -0.5)"
LUT,-2,"Morris (FWD, ?) ==> (8.0, -0.25)","Brown (FWD, ?) ==> (4.0, -0.5)","Kaminski (GKP, ?) ==> (3.0, -0.667)","Nakamba (MID, ?) ==> (2.0, -1.0)","Adebayo (FWD, ?) ==> (2.0, -1.0)"
WOL,-2,"Sarabia (MID, ?) ==> (3.5, -0.571)","Hee Chan (MID, ?) ==> (3.0, -0.667)","Cunha (FWD, ?) ==> (2.0, -1.0)","João Gomes (MID, ?) ==> (1.5, -1.333)","Lemina (MID, ?) ==> (1.5, -1.333)"
FUL,-3,"Leno (GKP, ?) ==> (7.0, -0.429)","Diop (DEF, ?) ==> (4.5, -0.667)","De Cordova-Reid (MID, ?) ==> (4.0, -0.75)","Robinson (DEF, ?) ==> (3.5, -0.857)","Andreas (MID, ?) ==> (3.0, -1.0)"
LIV,-3,"Luis Díaz (MID, ?) ==> (7.5, -0.4)","Diogo J. (MID, ?) ==> (6.5, -0.462)","Salah (MID, ?) ==> (5.0, -0.6)","Szoboszlai (MID, ?) ==> (3.5, -0.857)","A.Becker (GKP, ?) ==> (2.5, -1.2)"
SHU,-4,"Hamer (MID, ?) ==> (6.0, -0.667)","Foderingham (GKP, ?) ==> (2.5, -1.6)","T.Bénie (FWD, ?) ==> (2.0, -2.0)","Basham (DEF, ?) ==> (1.5, -2.667)","Egan (DEF, ?) ==> (1.5, -2.667)"
BOU,-5,"Neto (GKP, ?) ==> (6.0, -0.833)","Solanke (FWD, ?) ==> (6.0, -0.833)","Semenyo (FWD, ?) ==> (5.0, -1.0)","Billing (MID, ?) ==> (2.0, -2.5)","Christie (MID, ?) ==> (2.0, -2.5)"
BUR,-7,"Cullen (MID, ?) ==> (2.0, -3.5)","Foster (FWD, ?) ==> (2.0, -3.5)","Berge (MID, ?) ==> (2.0, -3.5)","Amdouni (FWD, ?) ==> (2.0, -3.5)","Trafford (GKP, ?) ==> (2.0, -3.5)"
