att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
9,2,-7,ARS,1.5,0.5,-0.5,-2,6,-8,2,-4.0,0,3
16,7,-9,FUL,0.5,1.5,-0.16666666666666663,-6,1,-7,2,-3.5,0,3
14,3,-11,CRY,0.5,0.5,-1.5,-2,4,-6,2,-3.0,0,3
15,6,-9,MUN,0.5,1.0,-0.5,-3,2,-5,2,-2.5,0,3
5,1,-4,MCI,2.0,0.0,-inf,2,7,-5,2,-2.5,0,3
17,14,-3,SHU,0.5,1.5,-0.16666666666666663,-4,-1,-3,2,-1.5,1,2
18,17,-1,WOL,0.5,2.5,0.09999999999999998,-4,-1,-3,2,-1.5,1,2
2,4,2,BRE,2.5,1.0,1.5,3,5,-2,2,-1.0,1,2
19,18,-1,EVE,0.0,2.5,-0.4,-1,0,-1,2,-0.5,1,2
20,19,-1,BUR,0.0,3.0,-0.3333333333333333,-6,-7,1,2,0.5,1,2
6,5,-1,TOT,2.0,1.0,1.0,5,4,1,2,0.5,2,1
10,13,3,NFO,1.5,1.5,0.8333333333333334,0,-1,1,2,0.5,2,1
11,15,4,BOU,1.0,2.0,0.5,-3,-5,2,2,1.0,2,1
4,8,4,AVL,2.5,2.5,2.1,6,3,3,2,1.5,2,1
12,16,4,CHE,1.0,2.0,0.5,3,-1,4,2,2.0,2,1
13,20,7,LUT,1.0,4.0,0.75,-1,-5,4,2,2.0,3,0
7,11,4,WHU,2.0,1.0,1.0,4,-1,5,2,2.5,3,0
8,12,4,LIV,2.0,1.0,1.0,1,-4,5,2,2.5,3,0
3,10,7,NEW,2.5,1.0,1.5,4,-3,7,2,3.5,3,0
1,9,8,BHA,4.0,1.0,3.0,4,-3,7,2,3.5,3,0
