team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
MCI,5.0,0,3,"Akanji (DEF, ?) ==> (6.5, 42.25)","Ederson M. (GKP, ?) ==> (6.0, 39.0)","Walker (DEF, ?) ==> (6.0, 39.0)"
AVL,5.0,2,1,"Bailey (MID, ?) ==> (7.5, 45.0)","McGinn (MID, ?) ==> (6.0, 36.0)","Digne (DEF, ?) ==> (4.5, 20.25)"
TOT,4.67,2,1,"Maddison (MID, ?) ==> (6.0, 30.0)","Romero (DEF, ?) ==> (6.5, 29.25)","Sarr (MID, ?) ==> (5.5, 27.5)"
BRE,4.33,1,2,"Mbeumo (MID, ?) ==> (11.5, 46.0)","Henry (DEF, ?) ==> (4.5, 22.5)","Flekken (GKP, ?) ==> (4.0, 20.0)"
ARS,2.0,0,3,"Saliba (DEF, ?) ==> (6.5, 26.0)","Ramsdale (GKP, ?) ==> (4.0, 16.0)","White (DEF, ?) ==> (4.0, 16.0)"
WHU,1.33,3,0,"Ward-Prowse (MID, ?) ==> (9.0, 22.5)","Bowen (MID, ?) ==> (5.5, 13.75)","Antonio (FWD, ?) ==> (5.0, 12.5)"
BHA,1.0,3,0,"March (MID, ?) ==> (12.0, 36.0)","Mitoma (MID, ?) ==> (8.5, 25.5)","Adingra (MID, ?) ==> (5.0, 15.0)"
CRY,0.67,0,3,"Andersen (DEF, ?) ==> (5.5, 11.0)","Mitchell (DEF, ?) ==> (5.0, 10.0)","Guéhi (DEF, ?) ==> (4.0, 8.0)"
CHE,0.67,2,1,"Chukwuemeka (MID, ?) ==> (3.0, 4.5)","Gallagher (MID, ?) ==> (2.0, 3.0)","Disasi (DEF, ?) ==> (5.5, -0.09091)"
NEW,0.33,3,0,"Isak (FWD, ?) ==> (7.5, 15.0)","Barnes (MID, ?) ==> (5.5, 11.0)","Tonali (MID, ?) ==> (3.5, 7.0)"
MUN,-0.33,0,3,"R.Varane (DEF, ?) ==> (7.5, 7.5)","Wan-Bissaka (DEF, ?) ==> (6.5, 6.5)","Onana (GKP, ?) ==> (5.5, 5.5)"
EVE,-0.33,1,2,"Pickford (GKP, ?) ==> (1.0, 0.0)","Tarkowski (DEF, ?) ==> (1.0, 0.0)","A.Doucoure (MID, ?) ==> (2.0, -0.25)"
NFO,-0.67,2,1,"Awoniyi (FWD, ?) ==> (7.0, -0.07143)","Wood (FWD, ?) ==> (4.0, -0.125)","Aurier (DEF, ?) ==> (5.5, -0.18182)"
LIV,-2.0,3,0,"Luis Díaz (MID, ?) ==> (7.5, 3.55)","Diogo J. (MID, ?) ==> (6.5, 3.01923)","Salah (MID, ?) ==> (5.0, 2.2)"
WOL,-2.33,1,2,"Sarabia (MID, ?) ==> (3.5, -0.85714)","José Sá (GKP, ?) ==> (1.5, -1.0)","Bueno (DEF, ?) ==> (1.0, -1.5)"
LUT,-2.67,3,0,"Morris (FWD, ?) ==> (8.0, -0.1875)","Brown (FWD, ?) ==> (4.0, -0.375)","Nakamba (MID, ?) ==> (2.0, -0.75)"
FUL,-2.67,0,3,"Leno (GKP, ?) ==> (7.0, 3.28571)","Diop (DEF, ?) ==> (4.5, 1.91667)","Robinson (DEF, ?) ==> (3.5, 1.32143)"
SHU,-3.0,1,2,"Hamer (MID, ?) ==> (6.0, -0.66667)","Foderingham (GKP, ?) ==> (2.5, -1.0)","Basham (DEF, ?) ==> (1.5, -1.66667)"
BOU,-4.33,2,1,"Solanke (FWD, ?) ==> (6.0, -0.66667)","Semenyo (FWD, ?) ==> (5.0, -0.8)","Neto (GKP, ?) ==> (6.0, -0.83333)"
BUR,-6.67,1,2,"Cullen (MID, ?) ==> (2.0, -3.25)","Trafford (GKP, ?) ==> (2.0, -3.5)","Al-Dakhil (DEF, ?) ==> (1.0, -7.0)"
