team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
AVL,6,"Bailey (MID, ?) ==> (7.5, 45.0)","McGinn (MID, ?) ==> (6.0, 36.0)","Watkins (FWD, ?) ==> (5.0, 30.0)","Diaby (MID, ?) ==> (5.0, 30.0)","Douglas Luiz (MID, ?) ==> (4.0, 24.0)"
TOT,5,"Maddison (MID, ?) ==> (6.0, 30.0)","Sarr (MID, ?) ==> (5.5, 27.5)","Bissouma (MID, ?) ==> (2.5, 12.5)","Kulusevski (MID, ?) ==> (2.5, 12.5)","Richarlison (MID, ?) ==> (2.5, 12.5)"
BHA,4,"March (MID, ?) ==> (12.0, 48.0)","Mitoma (MID, ?) ==> (8.5, 34.0)","Adingra (MID, ?) ==> (5.0, 20.0)","Enciso (MID, ?) ==> (4.0, 16.0)","João Pedro (FWD, ?) ==> (3.5, 14.0)"
NEW,4,"Isak (FWD, ?) ==> (7.5, 30.0)","Barnes (MID, ?) ==> (5.5, 22.0)","Tonali (MID, ?) ==> (3.5, 14.0)","J.Murphy (MID, ?) ==> (3.333, 13.332)","Wilson (FWD, ?) ==> (3.0, 12.0)"
WHU,4,"Ward-Prowse (MID, ?) ==> (9.0, 36.0)","Bowen (MID, ?) ==> (5.5, 22.0)","Antonio (FWD, ?) ==> (5.0, 20.0)","Souček (MID, ?) ==> (4.5, 18.0)","L.Paquetá (MID, ?) ==> (3.5, 14.0)"
BRE,3,"Mbeumo (MID, ?) ==> (11.5, 34.5)","Wissa (FWD, ?) ==> (10.0, 30.0)","Jensen (MID, ?) ==> (3.5, 10.5)","Janelt (MID, ?) ==> (2.5, 7.5)","Nørgaard (MID, ?) ==> (2.5, 7.5)"
CHE,3,"Chukwuemeka (MID, ?) ==> (3.0, 9.0)","Gallagher (MID, ?) ==> (2.0, 6.0)","Sterling (MID, ?) ==> (2.0, 6.0)","Mudryk (MID, ?) ==> (1.0, 3.0)","N.Jackson (FWD, ?) ==> (1.0, 3.0)"
MCI,2,"Rodrigo (MID, ?) ==> (8.0, 16.0)","Haaland (FWD, ?) ==> (7.5, 15.0)","J.Alvarez (FWD, ?) ==> (6.0, 12.0)","Foden (MID, ?) ==> (6.0, 12.0)","Kovačić (MID, ?) ==> (3.0, 6.0)"
LIV,1,"Luis Díaz (MID, ?) ==> (7.5, 7.5)","Diogo J. (MID, ?) ==> (6.5, 6.5)","Salah (MID, ?) ==> (5.0, 5.0)","Szoboszlai (MID, ?) ==> (3.5, 3.5)","Gakpo (FWD, ?) ==> (2.0, 2.0)"
NFO,0,"Awoniyi (FWD, ?) ==> (7.0, 0.0)","Wood (FWD, ?) ==> (4.0, 0.0)","Elanga (MID, ?) ==> (2.5, 0.0)","Danilo (MID, ?) ==> (2.0, 0.0)","Gibbs-White (MID, ?) ==> (2.0, 0.0)"
LUT,-1,"Morris (FWD, ?) ==> (8.0, -0.125)","Brown (FWD, ?) ==> (4.0, -0.25)","Nakamba (MID, ?) ==> (2.0, -0.5)","Adebayo (FWD, ?) ==> (2.0, -0.5)","Mpanzu (MID, ?) ==> (2.0, -0.5)"
