fpl_rank,fpl_tier,team,avg_pts/match,form,xPts,fplAdv_nxtGWs
1,1,MCI,59.4,54.300000000000004,58.38,5
2,1,TOT,57.2,58.6,57.48,5
4,1,BHA,51.0,46.2,50.04,5
7,2,CHE,42.0,50.6,43.72,4
8,2,WHU,43.2,42.2,43.0,4
3,1,ARS,50.8,51.3,50.9,3
9,3,BRE,43.4,33.2,41.36,3
12,3,NEW,39.6,37.6,39.2,3
10,3,FUL,40.6,42.1,40.9,2
6,2,AVL,45.8,40.5,44.74,1
15,4,MUN,36.4,33.3,35.78,0
11,3,NFO,39.6,44.3,40.54,-1
5,2,LIV,47.8,54.7,49.18,-2
13,4,CRY,37.8,35.3,37.3,-2
20,5,EVE,22.2,28.2,23.4,-3
16,4,WOL,32.4,41.9,34.3,-4
14,4,BOU,36.0,37.4,36.28,-5
19,5,LUT,25.75,25.3,25.66,-5
18,5,BUR,25.75,28.599999999999998,26.32,-6
17,5,SHU,27.4,29.8,27.88,-7
