home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-1,1,-1,CRY,FUL,1,1,-1
-1,-1,-1,LUT,WOL,1,1,1
2,2,2,MCI,NFO,-2,-2,-2
3,3,2,BRE,EVE,-2,-3,-3
-1,-2,-1,BUR,MUN,1,1,2
-1,0,0,ARS,TOT,0,1,0
2,1,3,BHA,BOU,-3,-2,-1
-1,1,0,CHE,AVL,0,1,-1
3,0,0,LIV,WHU,0,-3,0
-2,-2,-2,SHU,NEW,2,2,2
2,-2,-1,AVL,BHA,1,-2,2
-4,-1,-3,BOU,ARS,3,4,1
0,0,0,EVE,LUT,0,0,0
0,-1,0,MUN,CRY,0,0,1
2,3,2,NEW,BUR,-2,-2,-3
3,0,3,WHU,SHU,-3,-3,0
-3,-3,-3,WOL,MCI,3,3,3
1,0,1,TOT,LIV,-1,-1,0
-1,-1,0,NFO,BRE,0,1,1
-3,2,-1,FUL,CHE,1,3,-2
0,0,0,LUT,BUR,0,0,0
-4,-4,-4,LUT,TOT,4,4,4
-4,-1,-3,BUR,CHE,3,4,1
-2,0,-1,EVE,BOU,1,2,0
1,2,2,FUL,SHU,-2,-1,-2
-1,-2,-1,MUN,BRE,1,1,2
0,0,-1,CRY,NFO,1,0,0
1,-3,1,BHA,LIV,-1,-1,3
0,-1,1,WHU,NEW,-1,0,1
-1,-2,-2,WOL,AVL,2,1,2
-1,0,0,ARS,MCI,0,1,0
