att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,attAdv_nxtGWs
4,1,LIV,2.4,0.8,0.2,6
8,2,BRE,1.6,1.2,0.2,6
1,1,BHA,3.0,1.4,0.0,5
2,1,MCI,2.8,0.6,0.4,5
3,1,TOT,2.6,1.0,0.4,5
9,3,NEW,1.6,1.4,0.2,5
5,2,AVL,2.2,2.0,0.2,3
6,2,WHU,2.0,1.4,0.0,3
12,3,MUN,1.2,2.0,0.2,1
11,3,CRY,1.2,1.4,0.2,0
7,2,ARS,1.8,0.8,0.4,-1
13,4,CHE,1.0,1.0,0.4,-2
10,3,NFO,1.4,1.4,0.2,-3
15,4,FUL,1.0,2.0,0.4,-3
16,4,WOL,1.0,2.2,0.2,-3
14,4,SHU,1.0,1.8,0.0,-4
18,5,BOU,0.8,1.6,0.2,-5
19,5,LUT,0.5,2.5,0.0,-5
20,5,EVE,0.4,1.8,0.0,-5
17,5,BUR,1.0,3.0,0.0,-8
