att_rank,att_tier,team,"avg_CS/match-log(avg_GA/match,MP)",avg_att_pts/match,avg_GF/match,attAdv_nxtGWs
1,1,MCI,0.22045,31.53333,2.4,9
5,3,BHA,-0.21705,30.66667,2.13333,6
10,5,BRE,0.07575,26.8,1.53333,5
4,2,ARS,0.42548,32.46667,2.2,3
8,4,WHU,-0.12196,25.8,1.73333,2
11,6,FUL,0.06356,26.13333,1.4,2
3,2,LIV,0.35881,29.46667,2.26667,1
6,3,NEW,0.35378,29.06667,2.13333,1
12,6,WOL,-0.0553,22.13333,1.33333,1
13,7,MUN,0.266,23.66667,1.2,1
2,1,AVL,0.09377,30.13333,2.26667,0
18,9,BUR,-0.22448,21.0,1.0,0
9,5,CHE,0.02644,25.2,1.73333,-1
16,8,NFO,-0.01705,20.73333,1.06667,-1
7,4,TOT,0.12524,27.8,1.93333,-2
15,8,EVE,0.16044,20.93333,1.2,-2
14,7,BOU,-0.05596,22.73333,1.2,-5
20,10,SHU,-0.37131,14.53333,0.73333,-5
17,9,LUT,-0.25596,18.13333,1.06667,-6
19,10,CRY,0.20908,20.4,0.93333,-9
