team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
MCI,8,"Haaland (FWD, ?) ==> (7.667, 7.241)","J.Alvarez (FWD, ?) ==> (4.5, 4.25)","Foden (MID, ?) ==> (4.4, 4.156)","Bernardo (MID, ?) ==> (4.0, 3.778)","Rodrigo (MID, ?) ==> (3.4, 3.211)"
LIV,7,"Salah (MID, ?) ==> (7.467, 6.637)","Alexander-Arnold (DEF, ?) ==> (7.0, 6.222)","Tsimikas (DEF, ?) ==> (5.067, 4.504)","Virgil (DEF, ?) ==> (4.667, 4.148)","Szoboszlai (MID, ?) ==> (4.133, 3.674)"
BRE,5,"Mbeumo (MID, ?) ==> (5.133, 3.993)","Mee (DEF, ?) ==> (3.567, 2.774)","Maupay (FWD, ?) ==> (2.867, 2.23)","Flekken (GKP, ?) ==> (2.767, 2.152)","Janelt (MID, ?) ==> (2.6, 2.022)"
MUN,3,"McTominay (MID, ?) ==> (4.9, 3.267)","Onana (GKP, ?) ==> (4.367, 2.911)","Dalot (DEF, ?) ==> (4.267, 2.844)","Lindelof (DEF, ?) ==> (4.167, 2.778)","Maguire (DEF, ?) ==> (3.833, 2.556)"
FUL,3,"Willian (MID, ?) ==> (4.6, 3.067)","Iwobi (MID, ?) ==> (4.167, 2.778)","Andreas (MID, ?) ==> (4.067, 2.711)","Raúl (FWD, ?) ==> (3.867, 2.578)","Cairney (MID, ?) ==> (3.033, 2.022)"
ARS,2,"Saka (MID, ?) ==> (6.567, 4.013)","Ødegaard (MID, ?) ==> (5.167, 3.157)","Zinchenko (DEF, ?) ==> (4.867, 2.974)","Saliba (DEF, ?) ==> (4.2, 2.567)","Trossard (MID, ?) ==> (4.067, 2.485)"
NEW,2,"Gordon (MID, ?) ==> (6.133, 3.748)","Trippier (DEF, ?) ==> (4.933, 3.015)","Isak (FWD, ?) ==> (4.4, 2.689)","Pope (GKP, ?) ==> (3.733, 2.281)","Lascelles (DEF, ?) ==> (3.633, 2.22)"
BHA,2,"Gross (MID, ?) ==> (5.2, 3.178)","João Pedro (FWD, ?) ==> (3.8, 2.322)","Adingra (MID, ?) ==> (3.233, 1.976)","Hinshelwood (MID, ?) ==> (3.067, 1.874)","Ferguson (FWD, ?) ==> (3.0, 1.833)"
CHE,1,"Sterling (MID, ?) ==> (4.467, 2.481)","Palmer (MID, ?) ==> (4.4, 2.444)","Sanchez (GKP, ?) ==> (3.733, 2.074)","Enzo (MID, ?) ==> (3.6, 2.0)","N.Jackson (FWD, ?) ==> (3.567, 1.981)"
WOL,1,"Bentley (GKP, ?) ==> (6.267, 3.481)","Hee Chan (MID, ?) ==> (4.933, 2.741)","Cunha (FWD, ?) ==> (4.3, 2.389)","Sarabia (MID, ?) ==> (3.267, 1.815)","Lemina (MID, ?) ==> (2.8, 1.556)"
EVE,-1,"Mykolenko (DEF, ?) ==> (5.167, 2.296)","A.Doucoure (MID, ?) ==> (4.867, 2.163)","McNeil (MID, ?) ==> (4.7, 2.089)","Tarkowski (DEF, ?) ==> (3.667, 1.63)","Pickford (GKP, ?) ==> (3.467, 1.541)"
NFO,-1,"Gibbs-White (MID, ?) ==> (3.8, 1.689)","Elanga (MID, ?) ==> (3.6, 1.6)","Awoniyi (FWD, ?) ==> (3.3, 1.467)","Hudson-Odoi (MID, ?) ==> (2.5, 1.111)","Wood (FWD, ?) ==> (2.233, 0.993)"
AVL,-2,"Watkins (FWD, ?) ==> (6.267, 2.437)","Bailey (MID, ?) ==> (4.533, 1.763)","Douglas Luiz (MID, ?) ==> (4.367, 1.698)","McGinn (MID, ?) ==> (3.867, 1.504)","Pau (DEF, ?) ==> (3.667, 1.426)"
TOT,-2,"Son (MID, ?) ==> (5.6, 2.178)","Kulusevski (MID, ?) ==> (4.133, 1.607)","Lo Celso (MID, ?) ==> (4.133, 1.607)","Pedro Porro (DEF, ?) ==> (3.867, 1.504)","Romero (DEF, ?) ==> (3.667, 1.426)"
BUR,-2,"Brownhill (MID, ?) ==> (3.367, 1.309)","Rodriguez (FWD, ?) ==> (3.333, 1.296)","Amdouni (FWD, ?) ==> (3.267, 1.27)","Koleosho (MID, ?) ==> (3.2, 1.244)","Trafford (GKP, ?) ==> (2.6, 1.011)"
BOU,-3,"Solanke (FWD, ?) ==> (4.867, 1.622)","Neto (GKP, ?) ==> (4.2, 1.4)","Tavernier (MID, ?) ==> (4.033, 1.344)","Semenyo (FWD, ?) ==> (3.3, 1.1)","Senesi (DEF, ?) ==> (3.267, 1.089)"
WHU,-3,"Bowen (MID, ?) ==> (5.4, 1.8)","Ward-Prowse (MID, ?) ==> (4.9, 1.633)","Kudus (MID, ?) ==> (4.367, 1.456)","Souček (MID, ?) ==> (4.067, 1.356)","L.Paquetá (MID, ?) ==> (3.2, 1.067)"
SHU,-5,"Archer (FWD, ?) ==> (2.533, 0.563)","Hamer (MID, ?) ==> (2.4, 0.533)","Foderingham (GKP, ?) ==> (2.333, 0.519)","McAtee (MID, ?) ==> (2.067, 0.459)","Baldock (DEF, ?) ==> (2.0, 0.444)"
CRY,-7,"Edouard (FWD, ?) ==> (4.233, 0.47)","Olise (MID, ?) ==> (3.8, 0.422)","Eze (MID, ?) ==> (3.0, 0.333)","Lerma (MID, ?) ==> (2.733, 0.304)","J.Ayew (MID, ?) ==> (2.533, 0.281)"
LUT,-8,"Morris (FWD, ?) ==> (3.167, 0.176)","Barkley (MID, ?) ==> (2.767, 0.154)","Townsend (MID, ?) ==> (2.733, 0.152)","Brown (FWD, ?) ==> (2.7, 0.15)","Doughty (DEF, ?) ==> (2.6, 0.144)"
