att_rank,def_rank,diff=(def-att)_rank,team,avg_att_pts/match,avg_def_pts/match,avg_(att-def)_pts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
19,6,-13,CRY,20.4,18.06667,2.33333,-9,-1,-8,1,-8.0,0,3
3,2,-1,LIV,29.46667,22.2,7.266670000000001,1,9,-8,1,-8.0,0,3
13,4,-9,MUN,23.66667,19.53333,4.1333400000000005,1,5,-4,1,-4.0,0,3
14,15,1,BOU,22.73333,13.2,9.53333,-5,-1,-4,1,-4.0,0,3
15,7,-8,EVE,20.93333,16.66667,4.266660000000002,-2,1,-3,1,-3.0,0,3
9,12,3,CHE,25.2,15.93333,9.26667,-1,2,-3,1,-3.0,1,2
6,3,-3,NEW,29.06667,21.4,7.66667,1,2,-1,1,-1.0,1,2
7,8,1,TOT,27.8,17.8,10.0,-2,-1,-1,1,-1.0,1,2
16,13,-3,NFO,20.73333,14.93333,5.799999999999999,-1,-1,0,1,0.0,1,2
20,20,0,SHU,14.53333,8.0,6.533329999999999,-5,-5,0,1,0.0,1,2
10,10,0,BRE,26.8,15.0,11.8,5,5,0,1,0.0,2,1
12,14,2,WOL,22.13333,13.4,8.73333,1,1,0,1,0.0,2,1
4,1,-3,ARS,32.46667,21.53333,10.933340000000001,3,0,3,1,3.0,2,1
17,19,2,LUT,18.13333,12.53333,5.600000000000001,-6,-9,3,1,3.0,2,1
1,5,4,MCI,31.53333,18.6,12.933329999999998,9,6,3,1,3.0,2,1
2,9,7,AVL,30.13333,16.66667,13.466660000000001,0,-3,3,1,3.0,3,0
11,11,0,FUL,26.13333,14.66667,11.466660000000001,2,-2,4,1,4.0,3,0
8,16,8,WHU,25.8,12.53333,13.266670000000001,2,-2,4,1,4.0,3,0
18,18,0,BUR,21.0,9.06667,11.93333,0,-6,6,1,6.0,3,0
5,17,12,BHA,30.66667,8.73333,21.93334,6,0,6,1,6.0,3,0
