fpl_rank,fpl_tier,team,form,avg_pts/match,xPts,fplAdv_nxtGWs
4,2,MCI,36.0,50.13333,47.30666,8
2,1,LIV,58.4,51.66667,53.01334,7
10,5,BRE,32.5,41.8,39.94,5
6,3,MUN,50.8,43.2,44.72,3
8,4,FUL,52.9,40.8,43.22,3
1,1,ARS,55.9,54.0,54.38,2
3,2,NEW,40.7,50.46667,48.51334,2
13,7,BHA,35.7,39.4,38.66,2
9,5,CHE,36.6,41.13333,40.22666,1
15,8,WOL,43.0,35.53333,37.02666,1
11,6,EVE,49.3,37.6,39.94,-1
17,9,NFO,27.1,35.66667,33.95334,-1
5,3,AVL,45.3,46.8,46.5,-2
7,4,TOT,34.5,45.6,43.38,-2
18,9,BUR,41.8,30.06667,32.41334,-2
12,6,BOU,54.7,35.93333,39.68666,-3
14,7,WHU,36.6,38.33333,37.98666,-3
20,10,SHU,19.7,22.53333,21.96666,-5
16,8,CRY,28.6,38.46667,36.49334,-7
19,10,LUT,34.0,30.66667,31.33334,-8
