team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
MCI,7.5,2,1,"Kovačić (MID, ?) ==> (5.52254, 11.0)","Gvardiol (DEF, ?) ==> (5.69584, 9.81481)","Doku (MID, ?) ==> (3.4748, 5.66667)"
TOT,6.5,1,2,"Kulusevski (MID, ?) ==> (5.90185, 9.66667)","Van de Ven (DEF, ?) ==> (3.91954, 7.79012)","Romero (DEF, ?) ==> (3.28647, 4.55556)"
BHA,5.5,3,0,"Georginio (MID, ?) ==> (6.42439, 9.55556)","Baleba (MID, ?) ==> (4.64809, 8.95062)","Welbeck (FWD, ?) ==> (6.3015, 8.58025)"
BRE,3.25,3,0,"Mbeumo (MID, ?) ==> (6.44474, 7.77778)","Damsgaard (MID, ?) ==> (4.99734, 7.33333)","Carvalho (MID, ?) ==> (3.58532, 5.44444)"
AVL,2.5,1,2,"Watkins (FWD, ?) ==> (6.66578, 7.92593)","Martinez (GKP, ?) ==> (5.2511, 7.1358)","Digne (DEF, ?) ==> (3.80902, 4.74074)"
NFO,2.5,0,3,"Sels (GKP, ?) ==> (5.06277, 7.01235)","Milenković (DEF, ?) ==> (4.01503, 5.02469)","Murillo (DEF, ?) ==> (3.65075, 4.95062)"
LIV,2.25,2,1,"M.Salah (MID, ?) ==> (8.68347, 9.32099)","Jones (MID, ?) ==> (4.40936, 7.02469)","Konaté (DEF, ?) ==> (4.6985, 5.20988)"
CHE,1.75,3,0,"Palmer (MID, ?) ==> (10.09283, 13.07407)","Madueke (MID, ?) ==> (5.65075, 6.30864)","Sancho (MID, ?) ==> (3.37931, 4.74074)"
MUN,1.0,0,3,"Evans (DEF, ?) ==> (2.63306, 4.17284)","Onana (GKP, ?) ==> (4.2237, 4.01235)","Dalot (DEF, ?) ==> (3.16093, 2.87654)"
FUL,0.25,1,2,"Raúl (FWD, ?) ==> (6.18832, 7.0)","Leno (GKP, ?) ==> (3.66578, 4.07407)","Robinson (DEF, ?) ==> (3.09549, 3.14815)"
EVE,-0.25,1,2,"Pickford (GKP, ?) ==> (6.21838, 7.66667)","McNeil (MID, ?) ==> (6.98231, 7.39506)","Keane (DEF, ?) ==> (5.50485, 6.66667)"
WHU,-1.0,0,3,"Wan-Bissaka (DEF, ?) ==> (1.25376, 1.33333)","Todibo (DEF, ?) ==> (1.11052, 1.33333)","Kilman (DEF, ?) ==> (1.47746, 1.0)"
NEW,-1.75,2,1,"Pope (GKP, ?) ==> (4.09549, 3.7037)","Gordon (MID, ?) ==> (3.95225, 3.44444)","J.Murphy (MID, ?) ==> (2.3015, 2.25926)"
ARS,-2.25,2,1,"Martinelli (MID, ?) ==> (5.79133, 5.7284)","Saka (MID, ?) ==> (6.49249, 4.90123)","Gabriel (DEF, ?) ==> (2.73388, 1.20988)"
BOU,-2.5,2,1,"Evanilson (FWD, ?) ==> (4.34659, 4.65432)","Cook (MID, ?) ==> (4.37931, 4.07407)","Senesi (DEF, ?) ==> (3.18832, 3.07407)"
LEI,-2.5,0,3,"Justin (DEF, ?) ==> (6.17063, 7.17284)","Hermansen (GKP, ?) ==> (3.82405, 4.20988)","Okoli (DEF, ?) ==> (2.42705, 2.7037)"
IPS,-3.25,3,0,"Delap (FWD, ?) ==> (5.69584, 5.87654)","Hutchinson (MID, ?) ==> (2.91954, 2.93827)","J.Clarke (MID, ?) ==> (2.17329, 2.32099)"
WOL,-5.5,3,0,"Strand Larsen (FWD, ?) ==> (5.12555, 4.58025)","Cunha (FWD, ?) ==> (4.20601, 2.95062)","Mario Jr. (MID, ?) ==> (2.47746, 2.0)"
CRY,-6.5,0,3,"Guéhi (DEF, ?) ==> (3.7763, 2.25926)","Lacroix (DEF, ?) ==> (2.31653, 2.07407)","Henderson (GKP, ?) ==> (2.58798, 1.74074)"
SOU,-7.5,1,2,"Archer (FWD, ?) ==> (4.50485, 3.07407)","Ramsdale (GKP, ?) ==> (1.65075, 1.2963)","Manning (DEF, ?) ==> (1.01503, 0.40741)"
