att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
16,2,-14,NFO,20.65383094562,20.509288015,0.1445429306200019,-1,5,-6,1,-6.0,0,3
12,13,1,LEI,24.97281350656,15.03284682828,9.939966678280001,-5,1,-6,1,-6.0,0,3
17,3,-14,MUN,21.13162723547,18.07589914547,3.055728089999999,0,4,-4,1,-4.0,0,3
11,17,6,WHU,26.39193157781,9.14023769891,17.2516938789,-4,0,-4,1,-4.0,0,3
20,10,-10,CRY,13.64952571391,14.84549150281,-1.1959657889000006,-6,-4,-2,1,-2.0,0,3
1,8,7,TOT,34.92840608625,15.82261024109,19.10579584516,4,6,-2,1,-2.0,1,2
13,7,-6,EVE,23.53216927672,20.11576141172,3.416407865,0,1,-1,1,-1.0,1,2
10,14,4,FUL,26.97711873828,12.94562701313,14.031491725150001,-1,0,-1,1,-1.0,1,2
19,18,-1,SOU,16.86837276453,10.40915250469,6.45922025984,-7,-7,0,1,0.0,1,2
7,6,-1,AVL,27.97711873828,17.26891480578,10.708203932500002,2,2,0,1,0.0,1,2
4,5,1,MCI,27.83552593625,17.10013551031,10.73539042594,7,7,0,1,0.0,2,1
9,12,3,BOU,28.70094857219,13.37335554781,15.32759302438,-2,-2,0,1,0.0,2,1
15,4,-11,NEW,21.16742419234,17.10013551031,4.06728868203,0,-1,1,1,1.0,2,1
3,1,-2,LIV,31.49932244844,24.65383094562,6.84549150282,3,2,1,1,1.0,2,1
6,9,3,ARS,28.98708430484,14.93861157515,14.04847272969,-2,-3,1,1,1.0,2,1
2,15,13,CHE,32.94993224484,10.40349216984,22.546440075,1,0,1,1,1.0,3,0
18,19,1,IPS,20.24603354406,8.34911918297,11.896914361090001,-1,-6,5,1,5.0,3,0
8,16,8,BRE,27.45922025984,12.83688103938,14.622339220459999,6,1,5,1,5.0,3,0
14,20,6,WOL,19.69528823734,9.11871154031,10.576576697030001,-1,-7,6,1,6.0,3,0
5,11,6,BHA,31.7453559925,14.00430523172,17.74105076078,7,1,6,1,6.0,3,0
