id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts_dev,avg_pts/fixture,MeanAbsDev(avg_pts/fixture),med_pts,MedAbsDev(pts),std_pts_dev_played,avg_pts/fixture_played,MeanAbsDev(avg_pts/fixture_played),med_pts_played,MedAbsDev(pts_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
528,Konstantinos,Mavropanos,DEF,WHU,?,"Mavropanos (DEF, ?)",15,7,1,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,2.368411915187052,1.875,1.5625,1.0,0.0,2.4159335036125382,2.142857142857143,1.6734693877551017,1.0,0.0,1.12820893026,0,0.6666666666666666,0,0.6666666666666666,0,0.0,0.66666666667,1,0,0,0,?
520,Emerson,Palmieri dos Santos,DEF,WHU,?,"Emerson (DEF, ?)",11,8,0,0.9428090415820634,0.6666666666666666,0.8888888888888888,0.0,0.0,1.8666480653835098,1.375,1.3125,1.0,1.0,1.8666480653835098,1.375,1.3125,1.0,1.0,0.93722592464,0,0.6666666666666666,0,0.6666666666666666,0,0.0,0.66666666667,1,0,0,0,?
511,Edson,Álvarez Velázquez,MID,WHU,?,"Álvarez (MID, ?)",6,6,2,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.6614378277661477,0.75,0.5625,1.0,0.5,0.5773502691896257,1.0,0.3333333333333333,1.0,0.0,0.6984971676,0,0.6666666666666666,0,0.0,-4,0.4691358024691358,0.56790123457,1,0,0,0,?
654,Carlos,Soler,MID,WHU,?,"C.Soler (MID, ?)",2,5,3,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.48989794855663565,0.4,0.48,0.0,0.0,0.50751416198,0,0.6666666666666666,0,0.0,-4,0.4691358024691358,0.56790123457,1,0,0,0,?
523,Danny,Ings,FWD,WHU,?,"Ings (FWD, ?)",10,3,5,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,2.5860201081971503,1.25,1.6875,0.0,0.0,3.2998316455372216,3.3333333333333335,3.111111111111111,1.0,0.0,0.68346884365,0,0.3333333333333333,0,0.0,-4,0.13580246913580246,0.23456790123,1,0,0,0,?
517,Aaron,Cresswell,DEF,WHU,?,"Cresswell (DEF, ?)",3,3,5,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.4841229182759271,0.375,0.46875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3492485838,0,0.3333333333333333,0,0.3333333333333333,0,0.0,0.33333333333,1,0,0,0,?
526,Luis Guilherme,Lira dos Santos,MID,WHU,?,"L.Guilherme (MID, ?)",1,1,7,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.33071891388307384,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25375708099,0,0.3333333333333333,0,0.0,-4,0.13580246913580246,0.23456790123,1,0,0,0,?
516,Vladimír,Coufal,DEF,WHU,?,"Coufal (DEF, ?)",9,4,4,0.0,0.0,0.0,0.0,0.0,1.899835519196333,1.125,1.21875,0.5,0.5,2.165063509461097,2.25,1.875,1.0,0.0,0.42971176266,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
589,Niclas,Füllkrug,FWD,WHU,?,"Füllkrug (FWD, ?)",3,3,5,0.0,0.0,0.0,0.0,0.0,0.4841229182759271,0.375,0.46875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14323725422,0,0.0,0,0.0,-4,0.0,0.0,1,0,0,0,?
521,Łukasz,Fabiański,GKP,WHU,?,"Fabianski (GKP, ?)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.33071891388307384,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
576,Andy,Irving,MID,WHU,?,"Irving (MID, ?)",1,2,6,0.0,0.0,0.0,0.0,0.0,0.33071891388307384,0.125,0.21875,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.04774575141,0,0.0,0,0.0,-4,0.0,0.0,1,0,0,0,?
