team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
BOU,5.0,"Kluivert (MID, ?) ==> (3.0, 2.736)","Tavernier (MID, ?) ==> (2.0, 2.35)","Cook (MID, ?) ==> (2.0, 2.278)","O.Dango (MID, ?) ==> (2.0, 1.955)","Adams (MID, ?) ==> (1.0, 1.104)"
FUL,4.0,"Lukić (MID, ?) ==> (2.0, 2.259)","Iwobi (MID, ?) ==> (2.0, 2.222)","Raúl (FWD, ?) ==> (2.0, 2.049)","Smith Rowe (MID, ?) ==> (2.0, 2.019)","Adama (MID, ?) ==> (2.0, 1.87)"
ARS,4.0,"Rice (MID, ?) ==> (2.0, 2.444)","Ødegaard (MID, ?) ==> (2.0, 2.259)","Trossard (MID, ?) ==> (2.0, 2.162)","Merino (MID, ?) ==> (1.0, 0.933)","Nwaneri (MID, ?) ==> (1.0, 0.846)"
MCI,3.0,"Haaland (FWD, ?) ==> (5.0, 5.0)","Foden (MID, ?) ==> (2.0, 1.958)","Savinho (MID, ?) ==> (2.0, 1.948)","Doku (MID, ?) ==> (1.0, 0.838)","N.Gonzalez (MID, ?) ==> (0.0, 0.0)"
NFO,3.0,"Gibbs-White (MID, ?) ==> (2.5, 2.583)","Hudson-Odoi (MID, ?) ==> (3.0, 2.326)","Elanga (MID, ?) ==> (2.5, 2.085)","Anderson (MID, ?) ==> (2.5, 1.832)","Dominguez (MID, ?) ==> (1.0, 1.242)"
WOL,3.0,"Cunha (FWD, ?) ==> (2.0, 2.667)","J.Gomes (MID, ?) ==> (2.0, 2.298)","André (MID, ?) ==> (2.0, 2.019)","Bellegarde (MID, ?) ==> (1.0, 1.102)","Munetsi (MID, ?) ==> (0.0, 0.0)"
TOT,2.0,"Kulusevski (MID, ?) ==> (2.0, 2.222)","Son (MID, ?) ==> (2.0, 2.183)","Bentancur (MID, ?) ==> (1.0, 1.18)","Bergvall (MID, ?) ==> (1.0, 0.659)","Tel (MID, ?) ==> (0.0, 0.0)"
BRE,2.0,"Mbeumo (MID, ?) ==> (4.0, 2.444)","Wissa (FWD, ?) ==> (2.0, 2.333)","Lewis-Potter (MID, ?) ==> (2.0, 2.222)","Damsgaard (MID, ?) ==> (3.0, 2.14)","Schade (MID, ?) ==> (2.0, 1.768)"
BHA,1.0,"Mitoma (MID, ?) ==> (2.0, 2.087)","Baleba (MID, ?) ==> (2.0, 1.982)","João Pedro (FWD, ?) ==> (2.0, 1.867)","Hinshelwood (MID, ?) ==> (1.0, 0.715)","Minteh (MID, ?) ==> (1.0, 0.699)"
LEI,0.0,"Vardy (FWD, ?) ==> (2.0, 2.0)","B.Soumaré (MID, ?) ==> (1.0, 1.717)","Ndidi (MID, ?) ==> (2.0, 1.645)","El Khannouss (MID, ?) ==> (1.5, 1.452)","De Cordova-Reid (MID, ?) ==> (1.0, 0.414)"
MUN,0.0,"B.Fernandes (MID, ?) ==> (3.0, 2.0)","Højlund (FWD, ?) ==> (1.0, 1.0)","Garnacho (MID, ?) ==> (2.0, 0.966)","Casemiro (MID, ?) ==> (1.0, 0.654)","Zirkzee (FWD, ?) ==> (1.0, 0.609)"
SOU,-2.0,"M.Fernandes (MID, ?) ==> (2.0, 1.889)","Aribo (MID, ?) ==> (2.0, 1.382)","Ugochukwu (MID, ?) ==> (1.0, 0.387)","Kamaldeen (MID, ?) ==> (1.0, 0.169)","Smallbone (MID, ?) ==> (0.0, 0.0)"
CHE,-4.0,"Enzo (MID, ?) ==> (2.0, 1.556)","Palmer (MID, ?) ==> (3.0, 1.333)","Nkunku (MID, ?) ==> (1.0, 0.452)","Sancho (MID, ?) ==> (2.0, 0.449)","Neto (MID, ?) ==> (1.0, 0.41)"
WHU,-4.0,"Souček (MID, ?) ==> (2.0, 1.556)","Kudus (MID, ?) ==> (2.0, 1.45)","Bowen (MID, ?) ==> (2.0, 1.111)","Álvarez (MID, ?) ==> (1.0, 1.017)","Ward-Prowse (MID, ?) ==> (0.0, 0.163)"
EVE,-5.0,"Gana (MID, ?) ==> (2.0, 1.444)","Harrison (MID, ?) ==> (2.0, 0.835)","Lindstrøm (MID, ?) ==> (1.0, 0.213)","Garner (MID, ?) ==> (0.0, 0.0)","Beto (FWD, ?) ==> (1.0, -0.1)"
IPS,-7.0,"Hutchinson (MID, ?) ==> (2.0, 2.0)","Cajuste (MID, ?) ==> (2.0, 1.443)","Delap (FWD, ?) ==> (2.0, 0.982)","J.Clarke (MID, ?) ==> (1.0, 0.489)","Jaden (MID, ?) ==> (1.0, -0.335)"
