att_rank,att_tier,team,att_avg_xPts,att_med_xPts,avg_GF/match,med_GF/match,att_avg_potential,att_med_potential,attAdv_nxtGWs
7,4,BOU,28.816687770848077,26.881966011250103,1.6785714285714286,1.5,0.5377438702133032,0.43874823603643104,5.0
3,2,FUL,25.09690103325857,26.354101966249686,1.4642857142857142,2.0,-0.061364966564753834,1.0593231539127297,4.0
5,3,ARS,27.15685771459755,24.51722092687432,1.8571428571428572,2.0,0.6760349985400229,0.9144694118186164,4.0
4,2,MCI,29.184251916115958,26.04508497187474,1.8928571428571428,2.0,0.8826242288546756,1.034954527395981,3.0
11,6,NFO,25.897777407678376,25.19098300562505,1.6071428571428572,1.0,0.2107090165298068,-0.3568017028383222,3.0
13,7,WOL,22.397777407678376,21.809016994374947,1.3571428571428572,1.0,-0.4245655853821216,-0.6234985775199985,3.0
2,1,TOT,30.374765078258992,29.19098300562505,1.9642857142857142,2.0,1.0785795441308563,1.2830354279385012,2.0
10,5,BRE,29.89636787723233,26.190983005625053,1.7142857142857142,1.0,0.6724596179443056,-0.27794317090666404,2.0
6,3,BHA,32.59032322451036,30.038507163126525,1.6428571428571428,2.0,0.7710976628361772,1.349869938774455,1.0
16,8,LEI,18.0469643458028,18.017220926874316,0.8928571428571429,1.0,-1.4413695551393921,-0.922514048779713,0.0
19,10,MUN,19.713995335044437,19.5,1.2142857142857142,1.0,-0.8394368431082052,-0.8055842679000635,0.0
20,10,SOU,16.53647450843758,15.454915028125262,0.7142857142857143,1.0,-1.8200938825020674,-1.1245737303129524,-2.0
12,6,CHE,26.84063978723149,22.399186938124423,1.8928571428571428,1.0,0.7048875397018395,-0.5769586421663785,-4.0
14,7,WHU,21.147777407678376,20.045084971874736,1.1428571428571428,1.0,-0.8363688043732409,-0.762599667240339,-4.0
17,9,EVE,21.9697867375895,21.982779073125684,1.1071428571428572,1.0,-0.8268627416607922,-0.6097959550849362,-5.0
18,9,IPS,20.904038653705456,20.454915028125264,0.9285714285714286,1.0,-1.1718583961660363,-0.7302810706623009,-7.0
