att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
17,5,-12,EVE,21.982779073125684,13.309016994374948,8.673762078750736,-5.0,4.0,-9.0,1,-9.0,0,3
14,8,-6,WHU,20.045084971874736,17.49342219125179,2.551662780622948,-4.0,5.0,-9.0,1,-9.0,0,3
11,3,-8,NFO,25.19098300562505,16.600813061875577,8.590169943749473,3.0,7.0,-4.0,1,-4.0,0,3
18,18,0,IPS,20.454915028125264,8.381966011250105,12.072949016875159,-7.0,-3.0,-4.0,1,-4.0,0,3
19,15,-4,MUN,19.5,11.454915028125264,8.045084971874736,0.0,0.0,0.0,1,0.0,1,2
5,4,-1,ARS,24.51722092687432,16.482779073125684,8.034441853748636,4.0,4.0,0.0,1,0.0,1,2
12,13,1,CHE,22.399186938124423,15.802439185626735,6.596747752497688,-4.0,-4.0,0.0,1,0.0,1,2
16,19,3,LEI,18.017220926874316,5.618033988749895,12.399186938124421,0.0,0.0,0.0,1,0.0,1,2
20,20,0,SOU,15.454915028125262,7.97213595499958,7.482779073125682,-2.0,-3.0,1.0,1,1.0,2,1
13,16,3,WOL,21.809016994374947,11.190983005625053,10.618033988749893,3.0,2.0,1.0,1,1.0,2,1
4,7,3,MCI,26.04508497187474,14.746711095625894,11.298373876248846,3.0,-1.0,4.0,1,4.0,2,1
6,9,3,BHA,30.038507163126525,14.628677106875998,15.409830056250527,1.0,-3.0,4.0,1,4.0,2,1
3,6,3,FUL,26.354101966249686,11.618033988749895,14.736067977499792,4.0,-2.0,6.0,1,6.0,3,0
2,12,10,TOT,29.19098300562505,11.145898033750315,18.045084971874736,2.0,-4.0,6.0,1,6.0,3,0
10,17,7,BRE,26.190983005625053,12.864745084375787,13.326237921249266,2.0,-5.0,7.0,1,7.0,3,0
7,14,7,BOU,26.881966011250103,8.354101966249685,18.52786404500042,5.0,-2.0,7.0,1,7.0,3,0
