avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
6,3,NFO,4.5,2.5,0.5547487257385748,6.5
1,1,ARS,3.75,2.25,1.0004054335051689,2.5
7,4,BOU,10.25,5.25,0.3447114796261166,2.25
9,5,FUL,6.75,3.75,0.0034347385536164093,2.0
13,7,WOL,16.25,8.25,-0.6255702288304801,1.75
3,2,MCI,4.75,2.5,0.6000876148186578,1.5
11,6,MUN,15.0,8.0,-0.40682342648922665,1.5
10,5,EVE,11.5,6.0,-0.1812904617390092,0.25
12,6,WHU,12.5,6.25,-0.4377669517427637,-0.25
5,3,BHA,7.75,4.0,0.5549864026277217,-1.5
15,8,LEI,18.25,9.5,-1.7430004256524638,-1.5
16,8,SOU,20.0,10.0,-2.058219751062464,-1.75
4,2,TOT,11.5,5.75,0.5844516078876909,-2.0
8,4,BRE,14.25,7.5,0.24048171981375993,-2.25
2,1,CHE,9.25,4.75,0.6770696667705305,-2.5
14,7,IPS,17.5,9.0,-1.3751818009549903,-6.5
