id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
584,Bobby,Clark,MID,LIV,1,?,Clark (MID),1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
289,Caoimhin,Kelleher,GKP,LIV,0,?,Kelleher (GKP),0.0,0.0,0.0,2,0.0,0,0,0,,?
298,Calvin,Ramsay,DEF,LIV,0,?,Ramsay (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
497,Adrián,San Miguel del Castillo,GKP,LIV,0,?,Adrián (GKP),0.0,0.0,0.0,2,0.0,0,0,0,,?
498,Rhys,Williams,DEF,LIV,0,?,R.Williams (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
432,Ben,Davies,DEF,LIV,0,?,Davies (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
500,Sepp,van den Berg,DEF,LIV,0,?,Van den Berg (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
563,Luke,Chambers,DEF,LIV,0,?,Chambers (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
592,Harvey,Davies,GKP,LIV,0,?,H.Davies (GKP),0.0,0.0,0.0,2,0.0,0,0,0,,?
620,Arthur Henrique,Ramos de Oliveira Melo,MID,LIV,0,?,Arthur (MID),0.0,0.0,0.0,2,0.0,0,0,0,,?
305,Jack,Grealish,MID,MCI,105,?,Grealish (MID),4.6,12.0,7.067,1,7.067,7,0,7,0.99052,~
301,Kevin,De Bruyne,MID,MCI,151,?,De Bruyne (MID),5.6,11.0,7.4,1,7.4,8,0,8,1.08108,~
319,Julián,Álvarez,FWD,MCI,72,?,Álvarez (FWD),3.3,7.5,4.7,1,4.7,1,0,1,0.21277,vv
318,Erling,Haaland,FWD,MCI,215,?,Haaland (FWD),8.0,6.0,7.333,1,7.333,12,0,12,1.63644,^^
300,Ilkay,Gündogan,MID,MCI,93,?,Gündogan (MID),3.6,4.5,3.9,1,3.9,0,0,0,0.0,vv
303,Riyad,Mahrez,MID,MCI,89,?,Mahrez (MID),4.2,3.0,3.8,1,3.8,2,0,2,0.52632,v
307,Ederson,Santana de Moraes,GKP,MCI,102,?,Ederson (GKP),3.5,2.0,3.0,1,3.0,3,0,3,1.0,~
308,Nathan,Aké,DEF,MCI,68,?,Aké (DEF),3.0,2.0,2.667,1,2.667,0,0,0,0.0,vv
610,Manuel,Akanji,DEF,MCI,67,?,Akanji (DEF),3.0,2.0,2.667,1,2.667,1,0,1,0.37495,vv
312,Rúben,Gato Alves Dias,DEF,MCI,63,?,Dias (DEF),3.0,2.0,2.667,1,2.667,2,0,2,0.74991,~
315,Rodrigo,Hernandez,MID,MCI,91,?,Rodri (MID),3.2,1.5,2.633,1,2.633,4,0,4,1.51918,^
302,John,Stones,DEF,MCI,65,?,Stones (DEF),3.8,1.0,2.867,1,2.867,8,0,8,2.79037,^^^
311,Bernardo,Veiga de Carvalho e Silva,MID,MCI,96,?,Bernardo (MID),3.6,1.0,2.733,1,2.733,1,0,1,0.3659,vv
299,Kyle,Walker,DEF,MCI,41,?,Walker (DEF),2.3,0.5,1.7,1,1.7,2,0,2,1.17647,~
587,Sergio,Gómez,DEF,MCI,9,?,Sergio Gómez (DEF),1.3,0.5,1.033,1,1.033,1,0,1,0.96805,~
316,Cole,Palmer,MID,MCI,9,?,Palmer (MID),0.9,0.5,0.767,1,0.767,1,0,1,1.30378,~
325,Kalvin,Phillips,MID,MCI,5,?,Phillips (MID),0.8,0.5,0.7,1,0.7,1,0,1,1.42857,^
314,Phil,Foden,MID,MCI,109,?,Foden (MID),4.5,0.0,3.0,1,3.0,0,0,0,0.0,vv
306,João,Cancelo,DEF,MCI,73,?,Cancelo (DEF),4.3,0.0,2.867,1,2.867,0,0,0,0.0,vv
309,Aymeric,Laporte,DEF,MCI,21,?,Laporte (DEF),3.0,0.0,2.0,1,2.0,2,0,2,1.0,~
573,Rico,Lewis,DEF,MCI,17,?,Lewis (DEF),1.7,0.0,1.133,1,1.133,0,0,0,0.0,vv
712,Máximo,Perrone,MID,MCI,1,?,Perrone (MID),1.0,0.0,0.667,1,0.667,0,0,0,0.0,vv
310,Zack,Steffen,GKP,MCI,0,?,Steffen (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
317,James,McAtee,MID,MCI,0,?,McAtee (MID),0.0,0.0,0.0,1,0.0,0,0,0,,?
320,Luke,Mbete-Tabu,DEF,MCI,0,?,Mbete (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
322,Josh,Wilson-Esbrand,DEF,MCI,0,?,Wilson-Esbrand (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
323,Liam,Delap,FWD,MCI,0,?,Delap (FWD),0.0,0.0,0.0,1,0.0,0,0,0,,?
324,Stefan,Ortega Moreno,GKP,MCI,0,?,Ortega (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
502,Scott,Carson,GKP,MCI,0,?,Carson (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
599,Claudio,Gomes,MID,MCI,0,?,Gomes (MID),0.0,0.0,0.0,1,0.0,0,0,0,,?
600,Ben,Knight,MID,MCI,0,?,Knight (MID),0.0,0.0,0.0,1,0.0,0,0,0,,?
335,Marcus,Rashford,MID,MUN,174,?,Rashford (MID),6.0,6.0,6.0,1,6.0,0,0,0,0.0,vv
533,Lisandro,Martínez,DEF,MUN,81,?,Martínez (DEF),3.0,6.0,4.0,1,4.0,0,0,0,0.0,vv
327,David,De Gea Quintana,GKP,MUN,118,?,De Gea (GKP),4.1,4.7,4.3,1,4.3,6,0,6,1.39535,^
338,Scott,McTominay,MID,MUN,34,?,McTominay (MID),1.6,4.7,2.633,1,2.633,0,0,0,0.0,vv
728,Marcel,Sabitzer,MID,MUN,20,?,Sabitzer (MID),2.5,3.7,2.9,1,2.9,0,0,0,0.0,vv
340,Jadon,Sancho,MID,MUN,68,?,Sancho (MID),4.0,3.3,3.767,1,3.767,3,0,3,0.79639,~
504,Tyrell,Malacia,DEF,MUN,53,?,Malacia (DEF),3.1,3.3,3.167,1,3.167,0,0,0,0.0,vv
329,Raphaël,Varane,DEF,MUN,63,?,Varane (DEF),3.0,3.0,3.0,1,3.0,0,0,0,0.0,vv
333,Bruno,Borges Fernandes,MID,MUN,126,?,Fernandes (MID),4.5,2.3,3.767,1,3.767,3,0,3,0.79639,~
342,Diogo,Dalot Teixeira,DEF,MUN,74,?,Dalot (DEF),3.7,2.3,3.233,1,3.233,14,0,14,4.33034,^^^
345,Anthony,Martial,FWD,MUN,39,?,Martial (FWD),3.2,2.3,2.9,1,2.9,5,0,5,1.72414,^^
609,Antony Matheus,dos Santos,MID,MUN,51,?,Antony (MID),3.0,2.3,2.767,1,2.767,14,0,14,5.05963,^^^
341,Aaron,Wan-Bissaka,DEF,MUN,43,?,Wan-Bissaka (DEF),3.6,2.0,3.067,1,3.067,6,0,6,1.95631,^^
330,Harry,Maguire,DEF,MUN,30,?,Maguire (DEF),2.5,2.0,2.333,1,2.333,5,0,5,2.14316,^^^
331,Frederico,Rodrigues de Paula Santos,MID,MUN,48,?,Fred (MID),1.8,1.0,1.533,1,1.533,1,0,1,0.65232,~
701,Wout,Weghorst,FWD,MUN,18,?,Weghorst (FWD),1.8,1.0,1.533,1,1.533,0,0,0,0.0,vv
337,Victor,Lindelöf,DEF,MUN,23,?,Lindelöf (DEF),2.1,0.7,1.633,1,1.633,7,0,7,4.28659,^^^
332,Luke,Shaw,DEF,MUN,95,?,Shaw (DEF),4.0,0.3,2.767,1,2.767,0,0,0,0.0,vv
