home_att_adv,home_def_adv,home_fpl_adv,home_team,away_team,away_fpl_adv,away_def_adv,away_att_adv
-2,0,-1,AVL,NEW,1,2,0
-2,-1,-1,CHE,BHA,1,2,1
-2,-1,-1,EVE,FUL,1,2,1
0,-1,-2,SOU,CRY,2,0,1
3,1,3,TOT,BOU,-3,-3,-1
-2,-1,-1,WOL,BRE,1,2,1
4,1,3,MCI,LEI,-3,-4,-1
-3,-3,-2,WHU,ARS,2,3,3
-4,-2,-4,NFO,MUN,4,4,2
-2,-3,-2,LEE,LIV,2,2,3
4,4,4,ARS,SOU,-4,-4,-4
2,0,0,FUL,LEE,0,-2,0
0,0,-1,BRE,AVL,1,0,0
0,0,2,CRY,EVE,-2,0,0
0,0,0,LEI,WOL,0,0,0
2,4,3,LIV,NFO,-3,-2,-4
0,0,-2,BOU,WHU,2,0,0
1,0,1,NEW,TOT,-1,-1,0
