team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
TOT,7,"Son (MID, ~) ==> (2.0, 3.327)","Kulusevski (MID, ~) ==> (2.0, 2.778)","Gray (MID, 1↑) ==> (1.0, 1.211)","Bergvall (MID, 1↑) ==> (1.0, 1.206)","Richarlison (FWD, 4↑) ==> (0.0, 0.0)"
AVL,5,"Rogers (MID, ~) ==> (2.0, 2.556)","Tielemans (MID, ~) ==> (2.0, 2.556)","Watkins (FWD, 3↑) ==> (2.0, 2.305)","Ramsey (MID, 5↑) ==> (1.0, 1.324)","Kamara (MID, 2↑) ==> (1.0, 1.022)"
LIV,4,"M.Salah (MID, 2↓) ==> (10.0, 19.778)","Mac Allister (MID, ~) ==> (3.0, 4.571)","Gravenberch (MID, ~) ==> (2.0, 4.444)","Szoboszlai (MID, 5↑) ==> (2.0, 3.775)","Gakpo (FWD, 6↑) ==> (2.0, 3.404)"
FUL,3,"Iwobi (MID, ~) ==> (2.0, 2.333)","Lukić (MID, ~) ==> (2.0, 2.148)","Raúl (FWD, ~) ==> (2.0, 1.938)","Smith Rowe (MID, ~) ==> (2.0, 1.898)","Wilson (MID, ~) ==> (1.0, 0.855)"
BRE,3,"Mbeumo (MID, 4↑) ==> (5.0, 3.0)","Wissa (FWD, ~) ==> (2.0, 2.504)","Damsgaard (MID, 4↑) ==> (3.0, 2.46)","Lewis-Potter (MID, ~) ==> (2.0, 2.333)","Schade (MID, 5↑) ==> (2.0, 1.102)"
NEW,1,"Isak (FWD, 3↑) ==> (7.0, 7.556)","Gordon (MID, 3↑) ==> (5.0, 2.193)","Bruno G. (MID, ~) ==> (3.0, 2.111)","Tonali (MID, 5↑) ==> (2.0, 1.676)","J.Murphy (MID, 3↑) ==> (2.0, 1.546)"
CHE,1,"Palmer (MID, ~) ==> (6.0, 3.444)","Enzo (MID, ~) ==> (2.0, 2.111)","N.Jackson (FWD, 3↑) ==> (2.0, 1.95)","Madueke (MID, 5↑) ==> (2.0, 1.696)","Sancho (MID, 1↑) ==> (2.0, 0.879)"
IPS,1,"Hutchinson (MID, ~) ==> (2.0, 2.0)","Morsy (MID, ~) ==> (2.0, 2.0)","Delap (FWD, ~) ==> (2.0, 1.861)","Cajuste (MID, ~) ==> (2.0, 1.51)","Phillips (MID, 2↑) ==> (1.0, 0.585)"
MCI,0,"Haaland (FWD, 5↑) ==> (5.0, 6.0)","Kovačić (MID, ~) ==> (2.0, 1.837)","Foden (MID, 4↑) ==> (2.0, 1.707)","Savinho (MID, 2↓) ==> (1.0, 1.565)","De Bruyne (MID, ~) ==> (1.0, 0.466)"
ARS,0,"Havertz (FWD, ~) ==> (2.0, 2.0)","Thomas (MID, ~) ==> (2.0, 2.0)","Rice (MID, ~) ==> (2.0, 2.0)","Trossard (MID, 1↑) ==> (2.0, 1.489)","Lewis-Skelly (MID, 2↓) ==> (0.0, 0.0)"
NFO,-1,"Wood (FWD, 4↓) ==> (7.0, 6.259)","Hudson-Odoi (MID, 2↓) ==> (3.0, 1.704)","Gibbs-White (MID, ~) ==> (2.0, 1.506)","Anderson (MID, ~) ==> (2.0, 1.454)","Elanga (MID, ~) ==> (2.0, 1.323)"
WHU,-1,"Souček (MID, ~) ==> (2.0, 1.889)","Kudus (MID, ~) ==> (2.0, 1.772)","L.Paquetá (MID, ~) ==> (2.0, 1.575)","Álvarez (MID, 3↑) ==> (1.0, 0.774)","C.Soler (MID, 1↑) ==> (1.0, 0.657)"
SOU,-1,"M.Fernandes (MID, ~) ==> (2.0, 1.889)","Aribo (MID, ~) ==> (1.0, 1.435)","Armstrong (FWD, ~) ==> (1.0, 1.288)","Ugochukwu (MID, 2↑) ==> (0.0, 0.588)","Onuachu (FWD, 2↑) ==> (1.0, 0.274)"
BOU,-2,"Cook (MID, ~) ==> (2.0, 1.778)","Semenyo (MID, 5↑) ==> (3.0, 1.556)","Kluivert (MID, 6↑) ==> (3.0, 1.14)","O.Dango (MID, 7↑) ==> (2.0, 0.546)","Adams (MID, 5↑) ==> (0.0, 0.496)"
WOL,-2,"Strand Larsen (FWD, ~) ==> (2.0, 2.0)","Cunha (FWD, ~) ==> (2.0, 1.778)","J.Gomes (MID, 3↓) ==> (2.0, 1.754)","André (MID, ~) ==> (1.0, 1.304)","Hee Chan (MID, ~) ==> (1.0, 0.481)"
