avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.0,1.0,1.6695163150428332,7.75
13,7,AVL,8.0,4.5,0.012910777696972551,4.25
7,4,NFO,4.5,2.5,0.4022050129106638,2.5
6,3,CHE,10.25,5.25,0.5911079861945314,2.0
5,3,NEW,5.75,3.0,0.7556825387473265,1.0
9,5,TOT,12.25,6.25,0.16782258621279056,1.0
12,6,CRY,10.75,5.5,0.05146511425146476,0.75
2,1,ARS,4.5,2.5,0.992402687454521,0.5
19,10,IPS,18.5,9.5,-1.4826772784110194,0.5
3,2,MCI,5.25,3.0,0.9852078498977122,-0.5
20,10,SOU,19.75,10.0,-1.802731643942872,-0.5
14,7,MUN,11.75,6.25,-0.10845035626059844,-0.75
10,5,FUL,7.25,4.0,0.15573363723168415,-1.0
11,6,BRE,14.0,7.25,0.13908941312384623,-1.0
4,2,BOU,5.75,3.0,0.9496708137286431,-2.0
16,8,WHU,14.0,7.25,-0.8522987013664844,-2.0
18,9,LEI,16.75,8.75,-1.2625164603798376,-2.0
8,4,BHA,9.75,5.0,0.22226078286470738,-2.5
15,8,EVE,13.25,6.75,-0.4484860958236494,-3.75
17,9,WOL,17.0,8.75,-1.1379149791694163,-4.25
