team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,7.75,1,2,"M.Salah (MID, 2↓) ==> (10.0, 20.66667)","A.Becker (GKP, ~) ==> (1.5, 6.58333)","Virgil (DEF, ~) ==> (3.5, 5.63889)"
AVL,4.25,3,0,"Rogers (MID, ~) ==> (2.0, 2.55556)","Tielemans (MID, ~) ==> (2.0, 2.55556)","Watkins (FWD, 3↑) ==> (2.0, 2.30502)"
NFO,2.5,0,3,"Sels (GKP, 2↓) ==> (3.0, 3.27778)","Milenković (DEF, 2↓) ==> (5.0, 2.66667)","Aina (DEF, ~) ==> (2.0, 2.27778)"
CHE,2.0,2,1,"Palmer (MID, ~) ==> (6.0, 3.88889)","Sánchez (GKP, ~) ==> (2.0, 2.72222)","Enzo (MID, ~) ==> (2.0, 2.22222)"
NEW,1.0,3,0,"Isak (FWD, 3↑) ==> (7.0, 8.11111)","Gordon (MID, 3↑) ==> (5.0, 2.52658)","Bruno G. (MID, ~) ==> (3.0, 2.22222)"
TOT,1.0,3,0,"Son (MID, ~) ==> (2.0, 2.54888)","Kulusevski (MID, ~) ==> (2.0, 2.38889)","Gray (MID, 1↑) ==> (1.0, 0.82247)"
CRY,0.75,0,3,"Henderson (GKP, 2↓) ==> (2.0, 2.83333)","Guéhi (DEF, ~) ==> (2.0, 2.16667)","Lacroix (DEF, 2↓) ==> (2.0, 2.16667)"
ARS,0.5,1,2,"Raya (GKP, 4↑) ==> (3.0, 2.27778)","Havertz (FWD, ~) ==> (2.0, 2.11111)","Gabriel (DEF, 4↑) ==> (2.0, 1.61111)"
IPS,0.5,1,2,"Hutchinson (MID, ~) ==> (2.0, 2.0)","Greaves (DEF, 3↑) ==> (0.0, 2.0)","O'Shea (DEF, 1↓) ==> (1.0, 1.55556)"
MCI,-0.5,2,1,"Haaland (FWD, 5↑) ==> (5.0, 5.83333)","Kovačić (MID, ~) ==> (2.0, 1.78181)","Ederson M. (GKP, 4↑) ==> (1.0, 1.77778)"
SOU,-0.5,2,1,"Ramsdale (GKP, 1↓) ==> (1.0, 2.11111)","M.Fernandes (MID, ~) ==> (2.0, 1.94444)","Aribo (MID, ~) ==> (1.0, 1.49019)"
MUN,-0.75,0,3,"Onana (GKP, 4↑) ==> (2.0, 2.33333)","Martinez (DEF, 6↑) ==> (1.0, 1.66667)","Mazraoui (DEF, 4↑) ==> (1.0, 1.66667)"
FUL,-1.0,3,0,"Iwobi (MID, ~) ==> (2.0, 2.0)","Lukić (MID, ~) ==> (2.0, 1.81505)","Raúl (FWD, ~) ==> (2.0, 1.60446)"
BRE,-1.0,3,0,"Mbeumo (MID, 4↑) ==> (5.0, 2.5)","Wissa (FWD, ~) ==> (2.0, 2.1707)","Lewis-Potter (MID, ~) ==> (2.0, 2.16667)"
BOU,-2.0,2,1,"Arrizabalaga (GKP, 4↑) ==> (2.0, 2.22222)","Cook (MID, ~) ==> (2.0, 1.77778)","Semenyo (MID, 5↑) ==> (3.0, 1.55556)"
WHU,-2.0,1,2,"Souček (MID, ~) ==> (2.0, 1.77778)","Wan-Bissaka (DEF, ~) ==> (2.0, 1.27778)","Kilman (DEF, 1↑) ==> (1.0, 1.27778)"
LEI,-2.0,1,2,"Winks (MID, ~) ==> (2.0, 1.85991)","Faes (DEF, ~) ==> (1.0, 1.38889)","Justin (DEF, ~) ==> (1.0, 1.0)"
BHA,-2.5,0,3,"Verbruggen (GKP, 1↓) ==> (2.0, 2.0)","Van Hecke (DEF, ~) ==> (1.0, 1.33333)","Veltman (DEF, ~) ==> (1.0, 1.33333)"
EVE,-3.75,0,3,"Pickford (GKP, 2↑) ==> (2.0, 4.83333)","Branthwaite (DEF, 4↑) ==> (1.0, 3.88889)","Mykolenko (DEF, 4↑) ==> (2.0, 2.83333)"
WOL,-4.25,2,1,"Strand Larsen (FWD, ~) ==> (2.0, 2.0)","Cunha (FWD, ~) ==> (2.0, 1.61111)","José Sá (GKP, 1↑) ==> (1.0, 1.61111)"
