def_rank,def_tier,team,def_avg_xPts,def_med_xPts,avg_GA/match,med_GA/match,def_avg_potential,def_med_potential,defAdv_nxtGWs
1,1,LIV,19.75294629082361,15.309016994374948,0.9545454545454546,1.0,1.303860193335575,0.8369198738202548,11
2,1,CRY,21.6675408190091,19.201626123751154,1.3043478260869565,1.0,0.9757245832982702,1.3237431243765168,6
3,2,NFO,19.006671110080926,13.045084971874736,1.173913043478261,1.0,0.9100425152582908,0.5537846527897788,3
12,6,MUN,16.74905364865506,10.381966011250105,1.391304347826087,1.0,0.3731572094650554,0.2207257234340303,3
5,3,EVE,17.404622701704305,11.927050983124843,1.2727272727272727,1.0,0.6103870188434122,0.4139594295142032,2
11,6,AVL,15.22028990297606,11.52786404500042,1.5217391304347827,1.0,0.03420235165448883,0.36403572118893057,2
10,5,BHA,15.16988337203827,10.809016994374947,1.3478260869565217,1.0,0.28440883556771157,0.2741342062386276,1
13,7,CHE,14.546077973886032,9.76393202250021,1.3043478260869565,1.0,0.28793008661573655,0.14343224100043325,1
18,9,IPS,7.409736754917813,6.663118960624632,2.0434782608695654,2.0,-1.485369153078751,-1.3262816686714516,1
4,2,ARS,17.146797734428898,11.899186938124423,0.9130434782608695,1.0,1.113027158898259,0.41047465503105895,0
7,4,MCI,15.558070643030009,13.909830056250525,1.3043478260869565,1.0,0.38566885232297005,0.6619326838110249,0
19,10,LEI,7.752389203695524,6.381966011250105,2.130434782608696,2.0,-1.579812991766791,-1.3614436354051058,0
8,4,FUL,14.570063312173987,11.23606797749979,1.3478260869565217,1.0,0.22647790969672255,0.32754268904704453,-1
14,7,WHU,11.537870710121808,8.23606797749979,1.9130434782608696,1.0,-0.8953658009101502,-0.04764775600864685,-1
20,10,SOU,10.785481506426283,10.618033988749895,2.3043478260869565,3.0,-1.5419501697334028,-1.9135816575917084,-1
6,3,BOU,18.190533155285763,14.673762078750736,1.1304347826086956,1.0,0.8949881903516195,0.7574726823155649,-2
9,5,NEW,16.96447184290736,10.809016994374947,1.173913043478261,1.0,0.7128058733434293,0.2741342062386276,-3
15,8,TOT,10.179890037159657,7.663118960624632,1.608695652173913,1.0,-0.5801394122014083,-0.11930275488418712,-3
17,9,WOL,10.525878040977831,9.23606797749979,2.260869565217391,2.0,-1.5032541111444058,-1.0044997064241772,-5
16,8,BRE,12.71307564122313,10.954915028125264,1.7391304347826086,2.0,-0.5267891398228123,-0.789534709789917,-7
