att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
17,2,-15,CRY,22.100813061875577,19.201626123751154,2.899186938124423,-3,6,-9,1,-9.0,0,3
13,12,-1,MUN,22.381966011250107,10.381966011250105,12.000000000000002,-6,3,-9,1,-9.0,0,3
20,5,-15,EVE,17.809016994374947,11.927050983124843,5.881966011250103,-9,2,-11,2,-5.5,0,3
11,3,-8,NFO,27.673762078750734,13.045084971874736,14.628677106875998,-1,3,-4,1,-4.0,0,3
9,10,1,BHA,25.76393202250021,10.809016994374947,14.954915028125264,-3,1,-4,1,-4.0,0,3
14,19,5,LEI,20.854101966249686,6.381966011250105,14.472135954999581,-4,0,-4,1,-4.0,1,2
1,1,0,LIV,33.35410196624969,15.309016994374948,18.045084971874736,4,11,-7,2,-3.5,1,2
8,4,-4,ARS,26.427050983124843,11.899186938124423,14.52786404500042,0,0,0,1,0.0,1,2
16,14,-2,WHU,19.47213595499958,8.23606797749979,11.23606797749979,-1,-1,0,1,0.0,1,2
18,18,0,IPS,17.47213595499958,6.663118960624632,10.809016994374947,1,1,0,1,0.0,1,2
19,20,1,SOU,14.190983005625053,10.618033988749895,3.5729490168751585,-1,-1,0,1,0.0,2,1
12,13,1,CHE,24.618033988749893,9.76393202250021,14.854101966249683,1,1,0,1,0.0,2,1
5,6,1,BOU,31.201626123751158,14.673762078750736,16.52786404500042,-2,-2,0,1,0.0,2,1
4,7,3,MCI,32.72949016875158,13.909830056250525,18.819660112501055,0,0,0,1,0.0,2,1
15,17,2,WOL,18.94427190999916,9.23606797749979,9.70820393249937,-2,-5,3,1,3.0,2,1
7,11,4,AVL,26.80901699437495,11.52786404500042,15.28115294937453,5,2,3,1,3.0,3,0
6,9,3,NEW,30.437694101250948,10.809016994374947,19.628677106876,1,-3,4,1,4.0,3,0
3,8,5,FUL,27.809016994374947,11.23606797749979,16.572949016875157,3,-1,4,1,4.0,3,0
10,16,6,BRE,28.33688103937537,10.954915028125264,17.381966011250107,3,-7,10,1,10.0,3,0
2,15,13,TOT,25.94427190999916,7.663118960624632,18.281152949374526,7,-3,10,1,10.0,3,0
