team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
LIV,8,"M.Salah (MID, ?) ==> (3.3, 3.117)","Diogo J. (MID, ?) ==> (2.6, 2.456)","Luis Díaz (MID, ?) ==> (1.9, 1.794)","Darwin (FWD, ?) ==> (1.85, 1.747)","Mac Allister (MID, ?) ==> (1.65, 1.558)"
NEW,8,"Isak (FWD, ?) ==> (2.85, 2.692)","Gordon (MID, ?) ==> (2.6, 2.456)","Bruno G. (MID, ?) ==> (2.05, 1.936)","J.Murphy (MID, ?) ==> (1.95, 1.842)","Wilson (FWD, ?) ==> (1.75, 1.653)"
ARS,7,"Saka (MID, ?) ==> (3.25, 2.889)","Ødegaard (MID, ?) ==> (2.65, 2.356)","Havertz (FWD, ?) ==> (2.45, 2.178)","Rice (MID, ?) ==> (2.15, 1.911)","Trossard (MID, ?) ==> (2.05, 1.822)"
TOT,6,"Son (MID, ?) ==> (3.05, 2.542)","Richarlison (FWD, ?) ==> (2.2, 1.833)","Maddison (MID, ?) ==> (2.1, 1.75)","Johnson (MID, ?) ==> (1.85, 1.542)","Kulusevski (MID, ?) ==> (1.8, 1.5)"
BOU,3,"Solanke (FWD, ?) ==> (2.3, 1.533)","Semenyo (MID, ?) ==> (1.6, 1.067)","Kluivert (MID, ?) ==> (1.55, 1.033)","Tavernier (MID, ?) ==> (1.5, 1.0)","Enes Ünal (FWD, ?) ==> (1.25, 0.833)"
MCI,2,"Haaland (FWD, ?) ==> (3.5, 2.139)","Foden (MID, ?) ==> (3.3, 2.017)","De Bruyne (MID, ?) ==> (2.7, 1.65)","Rodrigo (MID, ?) ==> (2.35, 1.436)","J.Alvarez (FWD, ?) ==> (2.2, 1.344)"
EVE,2,"A.Doucoure (MID, ?) ==> (1.8, 1.1)","McNeil (MID, ?) ==> (1.75, 1.069)","Calvert-Lewin (FWD, ?) ==> (1.6, 0.978)","Harrison (MID, ?) ==> (1.6, 0.978)","Gana (MID, ?) ==> (1.45, 0.886)"
CRY,2,"Eze (MID, ?) ==> (2.5, 1.528)","Mateta (FWD, ?) ==> (2.35, 1.436)","J.Ayew (MID, ?) ==> (1.55, 0.947)","Wharton (MID, ?) ==> (1.55, 0.947)","Edouard (FWD, ?) ==> (1.3, 0.794)"
MUN,2,"B.Fernandes (MID, ?) ==> (2.35, 1.436)","Højlund (FWD, ?) ==> (1.85, 1.131)","Garnacho (MID, ?) ==> (1.8, 1.1)","Rashford (MID, ?) ==> (1.65, 1.008)","Mainoo (MID, ?) ==> (1.6, 0.978)"
AVL,0,"Watkins (FWD, ?) ==> (3.1, 1.55)","Bailey (MID, ?) ==> (2.1, 1.05)","Diaby (MID, ?) ==> (1.85, 0.925)","McGinn (MID, ?) ==> (1.7, 0.85)","Barkley (MID, ?) ==> (1.6, 0.8)"
WHU,0,"Bowen (MID, ?) ==> (2.7, 1.35)","Kudus (MID, ?) ==> (2.1, 1.05)","Ward-Prowse (MID, ?) ==> (1.95, 0.975)","L.Paquetá (MID, ?) ==> (1.6, 0.8)","Souček (MID, ?) ==> (1.55, 0.775)"
CHE,-2,"Palmer (MID, ?) ==> (3.6, 1.4)","N.Jackson (FWD, ?) ==> (2.05, 0.797)","Sterling (MID, ?) ==> (2.0, 0.778)","Gallagher (MID, ?) ==> (1.75, 0.681)","Madueke (MID, ?) ==> (1.65, 0.642)"
BHA,-2,"March (MID, ?) ==> (2.8, 1.089)","Gross (MID, ?) ==> (2.1, 0.817)","Mitoma (MID, ?) ==> (1.95, 0.758)","Hinshelwood (MID, ?) ==> (1.75, 0.681)","João Pedro (FWD, ?) ==> (1.7, 0.661)"
BRE,-2,"Mbeumo (MID, ?) ==> (2.55, 0.992)","Wissa (FWD, ?) ==> (1.95, 0.758)","Toney (FWD, ?) ==> (1.7, 0.661)","Jensen (MID, ?) ==> (1.55, 0.603)","Schade (MID, ?) ==> (1.5, 0.583)"
FUL,-2,"Muniz (FWD, ?) ==> (1.85, 0.719)","Andreas (MID, ?) ==> (1.7, 0.661)","Iwobi (MID, ?) ==> (1.6, 0.622)","Raúl (FWD, ?) ==> (1.5, 0.583)","Wilson (MID, ?) ==> (1.35, 0.525)"
NFO,-3,"Wood (FWD, ?) ==> (2.1, 0.7)","Gibbs-White (MID, ?) ==> (1.9, 0.633)","Hudson-Odoi (MID, ?) ==> (1.9, 0.633)","Awoniyi (FWD, ?) ==> (1.7, 0.567)","Elanga (MID, ?) ==> (1.65, 0.55)"
LEI,-6,"De Cordova-Reid (MID, ?) ==> (1.4, 0.233)","B.Soumaré (MID, ?) ==> (0.0, 0.0)","Cannon (FWD, ?) ==> (0.0, 0.0)","Choudhury (MID, ?) ==> (0.0, 0.0)","Daka (FWD, ?) ==> (0.0, 0.0)"
WOL,-7,"Hee Chan (MID, ?) ==> (2.15, 0.239)","Neto (MID, ?) ==> (2.15, 0.239)","Cunha (FWD, ?) ==> (2.1, 0.233)","Sarabia (MID, ?) ==> (1.65, 0.183)","Mario Jr. (MID, ?) ==> (1.35, 0.15)"
SOU,-8,"Lallana (MID, ?) ==> (0.6, 0.033)","Alcaraz (MID, ?) ==> (0.0, 0.0)","Amo-Ameyaw (MID, ?) ==> (0.0, 0.0)","Aribo (MID, ?) ==> (0.0, 0.0)","Armstrong (FWD, ?) ==> (0.0, 0.0)"
IPS,-8,"Al-Hamadi (FWD, ?) ==> (0.0, 0.0)","Broadhead (MID, ?) ==> (0.0, 0.0)","Burns (MID, ?) ==> (0.0, 0.0)","Chaplin (MID, ?) ==> (0.0, 0.0)","Delap (FWD, ?) ==> (0.0, 0.0)"
