fpl_rank,fpl_tier,team,fpl_pts/match,fpl_form,fpl_xPts,fplAdv_nxtGWs
3,2,LIV,,0.0,,8
4,2,NEW,,0.0,,8
1,1,ARS,,0.0,,7
5,3,TOT,,0.0,,6
12,6,BOU,,0.0,,3
2,1,MCI,,0.0,,2
9,5,EVE,,0.0,,2
10,5,CRY,,0.0,,2
11,6,MUN,,0.0,,2
7,4,AVL,,0.0,,0
8,4,WHU,,0.0,,0
6,3,CHE,,0.0,,-2
13,7,BHA,,0.0,,-2
14,7,BRE,,0.0,,-2
16,8,FUL,,0.0,,-2
17,9,NFO,,0.0,,-3
18,9,LEI,,0.0,,-6
15,8,WOL,,0.0,,-7
19,10,SOU,,0.0,,-8
20,10,IPS,,0.0,,-8
