att_rank,def_rank,diff=(def-att)_rank,team,att_xPts,def_xPts,avg_(att-def)_xPts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
3,3,0,LIV,,,,8,8,0,1,0.0,0,3
4,4,0,NEW,,,,8,8,0,1,0.0,0,3
1,1,0,ARS,,,,7,7,0,1,0.0,0,3
5,5,0,TOT,,,,6,6,0,1,0.0,0,3
12,12,0,BOU,,,,3,3,0,1,0.0,0,3
2,2,0,MCI,,,,2,2,0,1,0.0,1,2
9,9,0,EVE,,,,2,2,0,1,0.0,1,2
10,10,0,CRY,,,,2,2,0,1,0.0,1,2
11,11,0,MUN,,,,2,2,0,1,0.0,1,2
7,7,0,AVL,,,,0,0,0,1,0.0,1,2
8,8,0,WHU,,,,0,0,0,1,0.0,2,1
6,6,0,CHE,,,,-2,-2,0,1,0.0,2,1
13,13,0,BHA,,,,-2,-2,0,1,0.0,2,1
14,14,0,BRE,,,,-2,-2,0,1,0.0,2,1
16,16,0,FUL,,,,-2,-2,0,1,0.0,2,1
17,17,0,NFO,,,,-3,-3,0,1,0.0,3,0
18,18,0,LEI,,,,-6,-6,0,1,0.0,3,0
15,15,0,WOL,,,,-7,-7,0,1,0.0,3,0
19,19,0,SOU,,,,-8,-8,0,1,0.0,3,0
20,20,0,IPS,,,,-8,-8,0,1,0.0,3,0
