id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw4Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
17,Bukayo,Saka,MID,ARS,24,?,"Saka (MID, ?)",8.0,8.0,8.0,4.888888888888889,0.0,4.0,4.44444,2,0,0,1,8.0,7,7,0.875,2↑,2.55556
4,Kai,Havertz,FWD,ARS,22,?,"Havertz (FWD, ?)",7.3,7.3,7.3,4.461111111111111,0.0,3.65,4.05556,2,0,0,1,7.3,2,2,0.27397,2↓,-2.05556
15,David,Raya Martin,GKP,ARS,20,?,"Raya (GKP, ?)",6.7,6.7,6.7,4.094444444444445,4.094444444444445,0.0,4.09444,2,2,0,1,6.7,9,9,1.34328,4↑,4.90556
20,Thomas,Partey,MID,ARS,15,?,"Thomas (MID, ?)",5.0,5.0,5.0,3.055555555555556,0.0,2.5,2.77778,2,0,0,1,5.0,3,3,0.6,~,0.22222000000000008
3,Gabriel,dos Santos Magalhães,DEF,ARS,14,?,"Gabriel (DEF, ?)",4.7,4.7,4.7,2.8722222222222227,2.8722222222222227,0.0,2.87222,2,2,0,1,4.7,15,15,3.19149,6↑,12.12778
18,William,Saliba,DEF,ARS,14,?,"Saliba (DEF, ?)",4.7,4.7,4.7,2.8722222222222227,2.8722222222222227,0.0,2.87222,2,2,0,1,4.7,5,5,1.06383,2↑,2.12778
24,Benjamin,White,DEF,ARS,14,?,"White (DEF, ?)",4.7,4.7,4.7,2.8722222222222227,2.8722222222222227,0.0,2.87222,2,2,0,1,4.7,6,6,1.2766,3↑,3.12778
23,Leandro,Trossard,MID,ARS,9,?,"Trossard (MID, ?)",3.0,3.0,3.0,1.8333333333333333,0.0,1.5,1.66667,2,0,0,1,3.0,3,3,1.0,1↑,1.33333
6,Jurriën,Timber,DEF,ARS,8,?,"J.Timber (DEF, ?)",2.7,2.7,2.7,1.65,1.65,0.0,1.65,2,2,0,1,2.7,5,5,1.85185,3↑,3.35
25,Oleksandr,Zinchenko,DEF,ARS,7,?,"Zinchenko (DEF, ?)",3.5,2.3,2.9,1.7722222222222224,1.7722222222222224,0.0,1.77222,2,2,0,1,2.9,0,0,0.0,2↓,-1.77222
73,Norberto,Murara Neto,GKP,ARS,7,?,"Neto (GKP, ?)",3.5,2.3,2.9,1.7722222222222224,1.7722222222222224,0.0,1.77222,2,2,0,1,2.9,0,0,0.0,2↓,-1.77222
9,Gabriel,Martinelli Silva,MID,ARS,7,?,"Martinelli (MID, ?)",2.3,2.3,2.3,1.4055555555555557,0.0,1.15,1.27778,2,0,0,1,2.3,3,3,1.30435,2↑,1.72222
13,Martin,Ødegaard,MID,ARS,7,?,"Ødegaard (MID, ?)",2.3,2.3,2.3,1.4055555555555557,0.0,1.15,1.27778,2,0,0,1,2.3,0,0,0.0,1↓,-1.27778
16,Declan,Rice,MID,ARS,3,?,"Rice (MID, ?)",1.0,1.0,1.0,0.6111111111111112,0.0,0.5,0.55556,2,0,0,1,1.0,0,0,0.0,~,-0.55556
578,Riccardo,Calafiori,DEF,ARS,2,?,"Calafiori (DEF, ?)",1.0,0.7,0.85,0.5194444444444445,0.5194444444444445,0.0,0.51944,2,2,0,1,0.85,0,0,0.0,~,-0.51944
1,Fábio,Ferreira Vieira,MID,ARS,0,?,"Fábio Vieira (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0,0,,~,0.0
2,Gabriel,Fernando de Jesus,FWD,ARS,0,?,"G.Jesus (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,1,1,inf,~,1.0
5,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0.0,0,0,,~,0.0
7,Jorge Luiz,Frello Filho,MID,ARS,0,?,"Jorginho (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,2,2,inf,2↑,2.0
8,Jakub,Kiwior,DEF,ARS,0,?,"Kiwior (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0.0,0,0,,~,0.0
12,Ethan,Nwaneri,MID,ARS,0,?,"Nwaneri (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,1,1,inf,~,1.0
21,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0.0,0,0,,~,0.0
22,Tomiyasu,Takehiro,DEF,ARS,0,?,"Tomiyasu (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0.0,0,0,,~,0.0
186,Raheem,Sterling,MID,ARS,0,?,"Sterling (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,1,1,inf,~,1.0
597,Myles,Lewis-Skelly,MID,ARS,0,?,"Lewis-Skelly (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0,0,,~,0.0
633,Mikel,Merino,MID,ARS,0,?,"Merino (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0,0,,~,0.0
638,Salah-Eddine,Oulad M'hand,MID,ARS,0,?,"Oulad M'hand (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0.0,0,0,,~,0.0
639,Tommy,Setford,GKP,ARS,0,?,"Setford (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0.0,0,0,,~,0.0
