team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
BHA,6.33,2,1,"Welbeck (FWD, ?) ==> (7.7, 6.63056)","João Pedro (FWD, ?) ==> (6.0, 5.16667)","Veltman (DEF, ?) ==> (4.0, 3.33333)"
NEW,5.33,2,1,"Isak (FWD, ?) ==> (5.3, 4.26944)","Pope (GKP, ?) ==> (5.3, 4.26944)","Barnes (MID, ?) ==> (5.0, 4.02778)"
AVL,4.0,2,1,"Onana (MID, ?) ==> (6.7, 5.025)","Duran (FWD, ?) ==> (4.7, 3.525)","Digne (DEF, ?) ==> (3.7, 2.56944)"
LIV,3.0,1,2,"M.Salah (MID, ?) ==> (13.7, 8.37222)","A.Becker (GKP, ?) ==> (7.0, 5.05556)","Alexander-Arnold (DEF, ?) ==> (6.7, 4.83889)"
MCI,2.67,3,0,"Haaland (FWD, ?) ==> (13.7, 9.51389)","De Bruyne (MID, ?) ==> (5.3, 3.68056)","Bernardo (MID, ?) ==> (5.0, 3.47222)"
MUN,2.0,0,3,"Mazraoui (DEF, ?) ==> (4.3, 2.98611)","Dalot (DEF, ?) ==> (3.0, 2.08333)","Maguire (DEF, ?) ==> (2.7, 1.875)"
LEI,1.67,1,2,"Buonanotte (MID, ?) ==> (4.3, 2.50833)","Faes (DEF, ?) ==> (3.0, 1.83333)","Hermansen (GKP, ?) ==> (2.3, 1.40556)"
ARS,1.33,1,2,"Saka (MID, ?) ==> (8.0, 4.44444)","Raya (GKP, ?) ==> (6.7, 4.09444)","Gabriel (DEF, ?) ==> (4.7, 2.87222)"
WHU,0.67,0,3,"Kilman (DEF, ?) ==> (4.3, 2.62778)","Mavropanos (DEF, ?) ==> (3.3, 2.01667)","Areola (GKP, ?) ==> (2.7, 1.65)"
CHE,0.33,3,0,"Madueke (MID, ?) ==> (9.15, 6.1)","Palmer (MID, ?) ==> (8.3, 5.53333)","N.Jackson (FWD, ?) ==> (6.0, 4.0)"
BOU,-0.33,3,0,"Semenyo (MID, ?) ==> (6.3, 3.85)","Sinisterra (MID, ?) ==> (4.7, 2.87222)","Tavernier (MID, ?) ==> (4.3, 2.62778)"
FUL,-0.67,0,3,"Robinson (DEF, ?) ==> (4.3, 2.15)","Leno (GKP, ?) ==> (3.0, 1.5)","Diop (DEF, ?) ==> (2.0, 1.0)"
TOT,-1.33,1,2,"Son (MID, ?) ==> (7.0, 2.72222)","Romero (DEF, ?) ==> (5.7, 2.53333)","Pedro Porro (DEF, ?) ==> (5.3, 2.35556)"
CRY,-1.67,1,2,"Eze (MID, ?) ==> (4.7, 1.82778)","Henderson (GKP, ?) ==> (2.3, 0.95833)","Muñoz (DEF, ?) ==> (2.0, 0.83333)"
SOU,-2.0,0,3,"Sugawara (DEF, ?) ==> (3.3, 1.55833)","McCarthy (GKP, ?) ==> (2.5, 1.18056)","Walker-Peters (DEF, ?) ==> (1.7, 0.80278)"
BRE,-2.67,3,0,"Mbeumo (MID, ?) ==> (8.0, 3.33333)","Wissa (FWD, ?) ==> (7.0, 2.91667)","Jensen (MID, ?) ==> (3.0, 1.25)"
NFO,-3.0,0,3,"Aina (DEF, ?) ==> (4.0, 1.55556)","Murillo (DEF, ?) ==> (3.7, 1.43889)","Sels (GKP, ?) ==> (3.7, 1.43889)"
EVE,-4.0,3,0,"Calvert-Lewin (FWD, ?) ==> (5.3, 1.61944)","McNeil (MID, ?) ==> (3.3, 1.00833)","Gana (MID, ?) ==> (2.0, 0.61111)"
WOL,-5.33,2,1,"Strand Larsen (FWD, ?) ==> (3.3, 0.64167)","Bellegarde (MID, ?) ==> (3.0, 0.58333)","Johnstone (GKP, ?) ==> (2.0, 0.38889)"
IPS,-6.33,2,1,"Delap (FWD, ?) ==> (3.7, 0.61667)","Szmodics (MID, ?) ==> (3.0, 0.5)","Davis (DEF, ?) ==> (2.7, 0.375)"
