team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
BHA,26,"Minteh (MID, ?) ==> (4.0, 15.778)","Wieffer (MID, ?) ==> (3.0, 15.077)","Ayari (MID, ?) ==> (2.0, 12.889)","Welbeck (FWD, ?) ==> (2.0, 11.854)","Gomez (MID, ?) ==> (1.0, 6.73)"
ARS,22,"Rice (MID, ?) ==> (6.0, 22.333)","Zubimendi (MID, ?) ==> (3.0, 17.444)","Eze (MID, ?) ==> (3.0, 16.085)","Saka (MID, ?) ==> (3.0, 15.062)","Trossard (MID, ?) ==> (3.0, 13.744)"
MCI,18,"Haaland (FWD, ?) ==> (9.0, 53.0)","Foden (MID, ?) ==> (3.0, 14.0)","N.Gonzalez (MID, ?) ==> (2.0, 10.224)","Doku (MID, ?) ==> (2.0, 9.353)","Bernardo (MID, ?) ==> (2.0, 9.353)"
TOT,18,"J.Palhinha (MID, ?) ==> (4.0, 16.0)","P.M.Sarr (MID, ?) ==> (3.0, 12.326)","Kudus (MID, ?) ==> (3.0, 12.0)","Xavi (MID, ?) ==> (2.0, 9.353)","Johnson (MID, ?) ==> (1.0, 2.839)"
LIV,15,"M.Salah (MID, ?) ==> (5.0, 15.0)","Gravenberch (MID, ?) ==> (2.0, 13.333)","Wirtz (MID, ?) ==> (2.0, 10.414)","Ekitiké (FWD, ?) ==> (2.0, 9.59)","Mac Allister (MID, ?) ==> (2.0, 8.663)"
CHE,14,"Caicedo (MID, ?) ==> (4.0, 13.111)","Enzo (MID, ?) ==> (3.0, 11.556)","Neto (MID, ?) ==> (3.0, 10.411)","João Pedro (FWD, ?) ==> (2.0, 10.0)","Garnacho (MID, ?) ==> (1.0, 3.723)"
BOU,11,"Semenyo (MID, ?) ==> (5.0, 13.667)","Adams (MID, ?) ==> (3.0, 11.222)","Tavernier (MID, ?) ==> (3.0, 10.636)","Scott (MID, ?) ==> (3.0, 8.668)","Kroupi.Jr (FWD, ?) ==> (1.0, 3.333)"
MUN,9,"B.Fernandes (MID, ?) ==> (4.0, 12.0)","Amad (MID, ?) ==> (3.0, 12.0)","Mbeumo (MID, ?) ==> (3.0, 11.0)","Cunha (MID, ?) ==> (2.0, 9.965)","Casemiro (MID, ?) ==> (3.0, 9.262)"
BRE,4,"Thiago (FWD, ?) ==> (5.0, 31.333)","Schade (MID, ?) ==> (3.0, 10.889)","Henderson (MID, ?) ==> (2.0, 9.3)","Damsgaard (MID, ?) ==> (2.0, 9.085)","O.Dango (MID, ?) ==> (2.0, 8.668)"
BUR,-5,"Cullen (MID, ?) ==> (4.0, 8.889)","Florentino (MID, ?) ==> (2.0, 8.889)","Anthony (MID, ?) ==> (2.0, 8.744)","Hannibal (MID, ?) ==> (1.0, 1.707)","Flemming (FWD, ?) ==> (1.0, 1.528)"
NEW,-5,"Bruno G. (MID, ?) ==> (3.0, 9.444)","Tonali (MID, ?) ==> (3.0, 9.444)","Joelinton (MID, ?) ==> (2.0, 7.771)","Woltemade (FWD, ?) ==> (2.0, 6.334)","J.Murphy (MID, ?) ==> (3.0, 5.885)"
LEE,-8,"Longstaff (MID, ?) ==> (2.0, 9.111)","Ampadu (MID, ?) ==> (2.0, 9.111)","Calvert-Lewin (FWD, ?) ==> (2.0, 7.633)","Aaronson (MID, ?) ==> (2.0, 7.234)","Okafor (MID, ?) ==> (2.0, 5.668)"
SUN,-11,"Xhaka (MID, ?) ==> (4.0, 8.778)","Sadiki (MID, ?) ==> (2.0, 8.778)","Isidor (FWD, ?) ==> (2.0, 7.002)","E.Le Fée (MID, ?) ==> (2.0, 7.002)","Traoré (MID, ?) ==> (0.0, 2.992)"
CRY,-11,"Mateta (FWD, ?) ==> (2.0, 10.0)","Kamada (MID, ?) ==> (3.0, 7.853)","Wharton (MID, ?) ==> (2.0, 7.002)","Sarr (MID, ?) ==> (3.0, 6.333)","Lerma (MID, ?) ==> (1.0, 2.482)"
AVL,-12,"Watkins (FWD, ?) ==> (2.0, 9.413)","Rogers (MID, ?) ==> (3.0, 8.667)","Kamara (MID, ?) ==> (2.0, 7.631)","McGinn (MID, ?) ==> (3.0, 6.789)","Onana (MID, ?) ==> (1.0, 5.839)"
EVE,-13,"Gana (MID, ?) ==> (2.0, 10.0)","Dewsbury-Hall (MID, ?) ==> (2.0, 10.0)","Garner (MID, ?) ==> (3.0, 8.556)","Grealish (MID, ?) ==> (2.0, 8.556)","Ndiaye (MID, ?) ==> (5.0, 7.111)"
WHU,-13,"Bowen (FWD, ?) ==> (2.0, 10.0)","M.Fernandes (MID, ?) ==> (2.0, 7.09)","Summerville (MID, ?) ==> (2.0, 7.09)","Wilson (FWD, ?) ==> (1.0, 1.299)","Souček (MID, ?) ==> (2.0, 0.0)"
FUL,-15,"Berge (MID, ?) ==> (2.0, 10.0)","Sessegnon (MID, ?) ==> (3.0, 8.333)","Iwobi (MID, ?) ==> (2.0, 7.747)","Raúl (FWD, ?) ==> (1.0, 1.325)","Kevin (MID, ?) ==> (1.0, 0.941)"
NFO,-16,"Gibbs-White (MID, ?) ==> (2.0, 9.762)","Ndoye (MID, ?) ==> (2.0, 6.548)","Anderson (MID, ?) ==> (4.0, 6.444)","Igor Jesus (FWD, ?) ==> (1.0, 2.743)","Yates (MID, ?) ==> (1.0, 2.033)"
WOL,-28,"Strand Larsen (FWD, ?) ==> (2.0, 8.534)","Gomes (MID, ?) ==> (2.0, 6.889)","André (MID, ?) ==> (2.0, 4.428)","Bellegarde (MID, ?) ==> (1.0, 3.841)","Munetsi (MID, ?) ==> (4.0, 3.778)"
