avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
2,1,MCI,2.0,1.25,1.4067333777663746,23.75
1,1,ARS,1.5,1.0,1.6500994952264936,23.5
3,2,CHE,3.75,2.25,1.1908801449679336,16.75
9,5,BHA,7.25,3.75,0.18611616825862576,14.75
10,5,LIV,7.75,4.0,0.1281465635458605,14.5
8,4,MUN,8.0,4.25,0.2728502157699598,14.0
7,4,AVL,9.5,5.0,0.30765211714960783,6.5
11,6,BOU,8.0,4.25,-0.0379258044905159,4.75
4,2,TOT,9.75,5.25,0.8739838136866336,3.0
5,3,CRY,10.25,5.5,0.5186788244139435,2.75
6,3,SUN,7.25,4.0,0.3110428797617014,1.75
14,7,NEW,9.5,5.0,-0.2630495346738722,0.0
12,6,BRE,11.75,6.0,-0.09475458155762537,-4.25
13,7,EVE,13.5,7.0,-0.24503506741763528,-9.25
16,8,BUR,14.5,7.5,-0.6969785237129476,-11.5
15,8,FUL,14.25,7.25,-0.3799139377907348,-12.75
19,10,NFO,19.5,10.0,-1.112911672981277,-20.0
17,9,WHU,17.0,8.5,-0.9418828012703281,-21.25
18,9,LEE,15.5,8.25,-0.9916445118016405,-22.75
20,10,WOL,19.5,10.0,-2.082087164851287,-24.25
