team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
MCI,26,"Haaland (FWD, ?) ==> (9.0, 56.556)","O’Reilly (DEF, ?) ==> (5.0, 20.855)","Donnarumma (GKP, ?) ==> (2.0, 17.444)","Matheus N. (DEF, ?) ==> (2.0, 15.778)","Gvardiol (DEF, ?) ==> (2.0, 15.778)"
LIV,25,"M.Salah (MID, ?) ==> (5.0, 18.333)","Gravenberch (MID, ?) ==> (2.0, 15.556)","Szoboszlai (MID, ?) ==> (2.0, 12.778)","Wirtz (MID, ?) ==> (2.0, 11.525)","Ekitiké (FWD, ?) ==> (2.0, 10.701)"
ARS,24,"Gabriel (DEF, ?) ==> (9.0, 43.0)","J.Timber (DEF, ?) ==> (6.0, 40.667)","Calafiori (DEF, ?) ==> (6.0, 38.89)","Raya (GKP, ?) ==> (6.0, 31.667)","Rice (MID, ?) ==> (6.0, 23.0)"
MUN,22,"B.Fernandes (MID, ?) ==> (4.0, 14.889)","Amad (MID, ?) ==> (3.0, 14.889)","Mbeumo (MID, ?) ==> (3.0, 12.444)","Casemiro (MID, ?) ==> (3.0, 12.151)","Cunha (MID, ?) ==> (2.0, 11.409)"
CHE,20,"Chalobah (DEF, ?) ==> (6.0, 14.444)","Sánchez (GKP, ?) ==> (3.0, 13.611)","Gusto (DEF, ?) ==> (2.0, 12.078)","Cucurella (DEF, ?) ==> (6.0, 11.944)","Neto (MID, ?) ==> (3.0, 11.078)"
AVL,13,"Digne (DEF, ?) ==> (5.0, 13.747)","Martinez (GKP, ?) ==> (2.0, 12.278)","Cash (DEF, ?) ==> (2.0, 10.389)","McGinn (MID, ?) ==> (3.0, 9.567)","Pau (DEF, ?) ==> (1.0, 9.567)"
BHA,11,"Minteh (MID, ?) ==> (4.0, 12.444)","Verbruggen (GKP, ?) ==> (2.0, 12.056)","Wieffer (MID, ?) ==> (3.0, 11.744)","Welbeck (FWD, ?) ==> (2.0, 10.187)","Van Hecke (DEF, ?) ==> (3.0, 9.944)"
SUN,6,"Roefs (GKP, ?) ==> (4.0, 16.167)","Xhaka (MID, ?) ==> (4.0, 10.667)","Sadiki (MID, ?) ==> (2.0, 10.667)","Isidor (FWD, ?) ==> (2.0, 8.89)","E.Le Fée (MID, ?) ==> (2.0, 8.89)"
NEW,1,"Pope (GKP, ?) ==> (4.0, 12.722)","Bruno G. (MID, ?) ==> (3.0, 10.111)","Tonali (MID, ?) ==> (3.0, 10.111)","Trippier (DEF, ?) ==> (1.0, 10.111)","Joelinton (MID, ?) ==> (2.0, 8.437)"
CRY,0,"Henderson (GKP, ?) ==> (3.0, 10.833)","Sarr (MID, ?) ==> (3.0, 10.0)","Lacroix (DEF, ?) ==> (4.0, 7.5)","Richards (DEF, ?) ==> (4.0, 7.5)","Mitchell (DEF, ?) ==> (6.0, 7.5)"
