team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
MCI,19.67,2,1,"Foden (MID, ^^^) ==> (7.0134, 22.01428)","De Bruyne (MID, ~) ==> (6.8876, 21.61941)","Walker (DEF, ~) ==> (3.009, 9.19417)"
LIV,18.33,2,1,"Bradley (DEF, vv) ==> (12.6664, 31.31416)","Diogo J. (MID, vv) ==> (6.8572, 17.33348)","Luis Díaz (MID, ~) ==> (4.7224, 11.93718)"
ARS,15.0,0,3,"Gabriel (DEF, vvv) ==> (4.5168, 10.79013)","Zinchenko (DEF, vv) ==> (4.2674, 10.19434)","Raya (GKP, v) ==> (3.8146, 9.11266)"
AVL,11.67,1,2,"Watkins (FWD, ^^^) ==> (7.2168, 15.23547)","Alex Moreno (DEF, ^^^) ==> (4.7224, 10.23187)","Martinez (GKP, ^^) ==> (4.5168, 9.7864)"
NEW,9.0,1,2,"Trippier (DEF, ^^^) ==> (5.2056, 10.4112)","Gordon (MID, ~) ==> (4.618, 9.236)","Schär (DEF, vv) ==> (4.2696, 8.5392)"
WOL,5.33,0,3,"Kilman (DEF, vv) ==> (3.1348, 5.66006)","José Sá (GKP, vv) ==> (3.1146, 5.62358)","Dawson (DEF, vv) ==> (2.7618, 4.98658)"
BHA,3.67,3,0,"Gross (MID, ^^^) ==> (4.9292, 8.6261)","João Pedro (FWD, ^^^) ==> (3.7528, 6.5674)","Hinshelwood (MID, ^^^) ==> (3.691, 6.45925)"
TOT,2.67,3,0,"Richarlison (MID, ^^^) ==> (7.0336, 8.59662)","Maddison (MID, ~) ==> (5.1124, 6.24849)","Werner (FWD, v) ==> (4.0, 4.88889)"
MUN,2.0,1,2,"Højlund (FWD, ~) ==> (5.7448, 9.25551)","Onana (GKP, ^^^) ==> (3.6382, 5.96261)","Shaw (DEF, ^^^) ==> (3.0, 4.91667)"
EVE,0.0,0,3,"Pickford (GKP, vv) ==> (5.0842, 9.03858)","Branthwaite (DEF, ^^^) ==> (4.3842, 7.79413)","Mykolenko (DEF, vv) ==> (4.3, 7.64444)"
LUT,-0.33,2,1,"Morris (FWD, ^^^) ==> (5.3516, 8.32471)","Adebayo (FWD, ~) ==> (5.2718, 8.20058)","Doughty (DEF, ~) ==> (3.8966, 5.73666)"
CHE,-0.33,3,0,"Palmer (MID, ^) ==> (6.0202, 6.18743)","Sterling (MID, v) ==> (3.918, 4.02683)","Nkunku (FWD, v) ==> (2.9798, 3.06257)"
FUL,-3.67,0,3,"Leno (GKP, vv) ==> (3.6382, 4.95199)","Robinson (DEF, ^^) ==> (3.2494, 4.42279)","Tosin (DEF, vv) ==> (3.1854, 4.33568)"
WHU,-4.33,3,0,"Ward-Prowse (MID, vv) ==> (5.5786, 6.97325)","Bowen (MID, v) ==> (3.9248, 4.906)","Kudus (MID, v) ==> (3.7214, 4.65175)"
CRY,-8.33,0,3,"Andersen (DEF, ^) ==> (2.4742, 2.68038)","Mitchell (DEF, vv) ==> (1.9068, 2.0657)","Guéhi (DEF, vv) ==> (1.8742, 2.03038)"
NFO,-12.0,1,2,"Hudson-Odoi (MID, ^^^) ==> (3.8786, 3.33991)","G.Montiel (DEF, v) ==> (2.009, 1.67417)","Sels (GKP, ^^^) ==> (2.0, 1.66667)"
BRE,-14.0,3,0,"Toney (FWD, vv) ==> (6.7, 8.93333)","Maupay (FWD, ^) ==> (4.2078, 5.6104)","Jensen (MID, v) ==> (3.5652, 4.7536)"
SHU,-14.33,2,1,"Brereton Díaz (MID, vv) ==> (5.3, 3.82778)","McBurnie (FWD, vv) ==> (3.3292, 2.40442)","Foderingham (GKP, v) ==> (1.918, 1.27867)"
BUR,-15.0,1,2,"D.D.Fofana (FWD, ^^^) ==> (6.545, 4.36333)","Assignon (DEF, ^^^) ==> (4.0, 2.66667)","Trafford (GKP, ~) ==> (2.318, 1.54533)"
BOU,-15.0,2,1,"Solanke (FWD, v) ==> (4.618, 3.20694)","Tavernier (MID, vv) ==> (2.7506, 1.91014)","Neto (GKP, ~) ==> (3.1124, 1.90202)"
