att_rank,att_tier,team,att_xPts,avg_GF/match,att_xPts * ^avg_GF/match,attAdv_nxtGWs
1,1,MCI,35.76722,2.45455,35.76722,21
2,1,LIV,31.71609,2.26087,29.21348,20
3,2,ARS,34.61346,2.04348,28.81665,13
4,2,AVL,30.06798,2.13043,26.09754,11
6,3,NEW,25.90644,2.08696,22.02673,9
5,3,TOT,29.50211,2.13043,25.6064,5
7,4,BHA,28.13402,1.82609,20.93062,5
11,6,WOL,24.40336,1.6087,15.99384,5
9,5,CHE,24.12302,1.65217,16.23733,3
8,4,MUN,30.41598,1.34783,16.70187,1
10,5,LUT,27.37269,1.45455,16.22087,0
12,6,WHU,24.97281,1.56522,15.92469,-1
14,7,FUL,23.49013,1.30435,12.48268,-6
17,9,CRY,22.98478,1.13043,10.58552,-10
19,10,EVE,20.00259,1.13043,9.21209,-10
16,8,NFO,22.27744,1.21739,11.049,-12
13,7,BRE,25.09215,1.45455,14.86944,-13
15,8,BOU,21.56871,1.36364,11.98263,-13
20,10,SHU,18.39656,0.82609,6.19145,-13
18,9,BUR,21.89122,1.04348,9.30641,-15
