att_rank,def_rank,diff=(def-att)_rank,team,att_xPts,def_xPts,avg_(att-def)_xPts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
19,3,-16,EVE,20.00259,22.05762,-2.0550299999999986,-10,8,-18,3,-6.0,0,3
14,10,-4,FUL,23.49013,16.27193,7.2181999999999995,-6,-1,-5,3,-1.66667,0,3
17,19,2,CRY,22.98478,9.70315,13.28163,-10,-6,-4,3,-1.33333,0,3
11,8,-3,WOL,24.40336,17.05536,7.347999999999999,5,8,-3,3,-1.0,0,3
3,2,-1,ARS,34.61346,21.02428,13.589180000000002,13,15,-2,3,-0.66667,0,3
4,4,0,AVL,30.06798,20.00776,10.060219999999997,11,13,-2,3,-0.66667,1,2
8,7,-1,MUN,30.41598,16.13435,14.28163,1,2,-1,3,-0.33333,1,2
6,6,0,NEW,25.90644,19.20913,6.697310000000002,9,9,0,3,0.0,1,2
18,18,0,BUR,21.89122,11.47556,10.41566,-15,-15,0,3,0.0,1,2
16,16,0,NFO,22.27744,12.15086,10.126579999999999,-12,-13,1,3,0.33333,1,2
2,1,-1,LIV,31.71609,22.82486,8.89123,20,18,2,3,0.66667,2,1
20,20,0,SHU,18.39656,6.29362,12.10294,-13,-15,2,3,0.66667,2,1
1,5,4,MCI,35.76722,14.80015,20.96707,21,18,3,4,0.75,2,1
15,17,2,BOU,21.56871,11.58553,9.983179999999999,-13,-16,3,3,1.0,2,1
10,12,2,LUT,27.37269,15.94596,11.42673,0,-3,3,3,1.0,2,1
12,14,2,WHU,24.97281,12.45744,12.515369999999999,-1,-4,3,3,1.0,3,0
7,13,6,BHA,28.13402,13.40531,14.72871,5,2,3,3,1.0,3,0
13,15,2,BRE,25.09215,13.30676,11.78539,-13,-18,5,4,1.25,3,0
9,11,2,CHE,24.12302,15.26158,8.86144,3,-2,5,2,2.5,3,0
5,9,4,TOT,29.50211,15.31208,14.190029999999998,5,0,5,2,2.5,3,0
