id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw24Pts,gw25Pts,gw26Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
383,Hannibal,Mejbri,MID,MUN,11,vv,"Hannibal (MID, vv)",2.2,0.0,1.3596,2.266,0.0,2.114933333333333,2.19047,3,0,1,3,4.0788,0,0,0,0,0.0,vv
390,Anthony,Martial,FWD,MUN,25,vv,"Martial (FWD, vv)",1.9,0.0,1.1742,1.957,0.0,1.826533333333333,1.89177,3,0,1,3,3.5226,0,0,0,0,0.0,vv
209,Mason,Mount,MID,MUN,12,vv,"Mount (MID, vv)",1.5,0.0,0.927,1.545,0.0,1.4420000000000002,1.4935,3,0,1,3,2.781,0,0,0,0,0.0,vv
709,Sofyan,Amrabat,MID,MUN,14,vv,"Amrabat (MID, vv)",1.4,0.0,0.8652,1.442,0.0,1.3458666666666668,1.39393,3,0,1,3,2.5956,1,1,0,2,0.77053,~
394,Facundo,Pellistri Rebollo,MID,MUN,13,vv,"Pellistri (MID, vv)",1.4,0.0,0.8652,1.442,0.0,1.3458666666666668,1.39393,3,0,1,3,2.5956,0,0,0,0,0.0,vv
397,Jadon,Sancho,MID,MUN,3,vv,"Sancho (MID, vv)",1.0,0.0,0.618,1.03,0.0,0.9613333333333334,0.99567,3,0,1,3,1.854,0,0,0,0,0.0,vv
766,Willy,Kambwala,DEF,MUN,2,vv,"Kambwala (DEF, vv)",1.0,0.0,0.618,1.03,0.9956666666666668,0.0,1.01283,3,2,0,3,1.854,0,0,0,0,0.0,vv
371,Amad,Diallo,MID,MUN,1,vv,"Amad (MID, vv)",1.0,0.0,0.618,1.03,0.0,0.9613333333333334,0.99567,3,0,1,3,1.854,0,0,1,1,0.53937,v
400,Donny,van de Beek,MID,MUN,1,vv,"Van de Beek (MID, vv)",1.0,0.0,0.618,1.03,0.0,0.9613333333333334,0.99567,3,0,1,3,1.854,0,0,0,0,0.0,vv
685,Daniel,Gore,MID,MUN,1,vv,"Gore (MID, vv)",1.0,0.0,0.618,1.03,0.0,0.9613333333333334,0.99567,3,0,1,3,1.854,0,0,0,0,0.0,vv
370,Alex,Telles,DEF,MUN,0,?,"Alex Telles (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
374,Brandon,Williams,DEF,MUN,0,?,"B.Williams (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
375,Eric,Bailly,DEF,MUN,0,?,"Bailly (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
380,Álvaro,Fernández Carreras,DEF,MUN,0,?,"Fernandez (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
381,Frederico,Rodrigues de Paula Santos,MID,MUN,0,?,"Fred (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0.0,0,0,0,0,,?
384,Tom,Heaton,GKP,MUN,0,?,"Heaton (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
389,Tyrell,Malacia,DEF,MUN,0,?,"Malacia (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
399,Shola,Shoretire,FWD,MUN,0,?,"Shoretire (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0.0,0,0,0,0,,?
669,Radek,Vítek,GKP,MUN,0,?,"Vítek (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
695,Altay,Bayindir,GKP,MUN,0,?,"Altay (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
748,Joe,Hugill,FWD,MUN,0,?,"Hugill (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0.0,0,0,0,0,,?
768,Rhys,Bennett,DEF,MUN,0,?,"Bennett (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,3,0.0,0,0,0,0,,?
427,Fabian,Schär,DEF,NEW,74,vv,"Schär (DEF, vv)",3.2,6.0,4.2696,8.5392,8.5392,0.0,8.5392,9,9,0,3,12.8088,7,3,0,10,0.78071,~
430,Kieran,Trippier,DEF,NEW,102,^^^,"Trippier (DEF, ^^^)",4.9,5.7,5.2056,10.4112,10.4112,0.0,10.4112,9,9,0,3,15.6168,4,1,0,5,0.32017,vv
421,Sean,Longstaff,MID,NEW,66,^^^,"Longstaff (MID, ^^^)",3.3,5.7,4.2168,8.4336,0.0,8.4336,8.4336,9,0,9,3,12.6504,2,2,2,6,0.47429,v
412,Anthony,Gordon,MID,NEW,109,~,"Gordon (MID, ~)",5.0,4.0,4.618,9.236,0.0,9.236,9.236,9,0,9,3,13.854,2,8,2,12,0.86618,~
406,Bruno,Guimarães Rodriguez Moura,MID,NEW,63,^^,"Bruno G. (MID, ^^)",2.9,3.7,3.2056,6.4112,0.0,6.4112,6.4112,9,0,9,3,9.6168,15,2,2,19,1.97571,^^
635,Lewis,Miley,MID,NEW,33,^^^,"Miley (MID, ^^^)",2.8,3.0,2.8764,5.7528,0.0,5.7528,5.7528,9,0,9,3,8.6292,2,2,2,6,0.69531,~
415,Alexander,Isak,FWD,NEW,79,vv,"Isak (FWD, vv)",4.6,2.3,3.7214,7.4428,0.0,7.4428,7.4428,9,0,9,3,11.1642,0,0,2,2,0.17914,vv
409,Martin,Dubravka,GKP,NEW,32,vv,"Dubravka (GKP, vv)",3.2,2.3,2.8562,5.7124,5.712399999999999,0.0,5.7124,9,9,0,3,8.5686,1,2,0,3,0.35012,vv
423,Jacob,Murphy,MID,NEW,30,vv,"J.Murphy (MID, vv)",4.3,2.0,3.4214,6.8428,0.0,6.8428,6.8428,9,0,9,3,10.2642,0,1,1,2,0.19485,vv
603,Harvey,Barnes,MID,NEW,23,^^^,"Barnes (MID, ^^^)",3.3,2.0,2.8034,5.6068,0.0,5.6068,5.6068,9,0,9,3,8.4102,1,2,1,4,0.47561,v
407,Dan,Burn,DEF,NEW,59,vvv,"Burn (DEF, vvv)",3.3,1.7,2.6888,5.377600000000001,5.377600000000001,0.0,5.3776,9,9,0,3,8.0664,1,1,4,6,0.74383,~
402,Miguel,Almirón Rejala,MID,NEW,65,~,"Almirón (MID, ~)",2.8,1.7,2.3798,4.7596,0.0,4.7596,4.7596,9,0,9,3,7.1394,1,2,2,5,0.70034,~
405,Sven,Botman,DEF,NEW,42,vv,"Botman (DEF, vv)",3.5,1.0,2.545,5.090000000000001,5.09,0.0,5.09,9,9,0,3,7.635,3,1,-2,2,0.26195,vv
633,Tino,Livramento,DEF,NEW,28,~,"Livramento (DEF, ~)",1.8,0.7,1.3798,2.7596,2.7596,0.0,2.7596,9,9,0,3,4.1394,1,1,0,2,0.48316,v
433,Callum,Wilson,FWD,NEW,56,v,"Wilson (FWD, v)",3.7,0.3,2.4012,4.8024,0.0,4.8024,4.8024,9,0,9,3,7.2036,1,0,0,1,0.13882,vv
417,Emil,Krafth,DEF,NEW,11,vv,"Krafth (DEF, vv)",2.2,0.3,1.4742,2.9484,2.9484,0.0,2.9484,9,9,0,3,4.4226,1,0,0,1,0.22611,vv
204,Lewis,Hall,DEF,NEW,7,vv,"Hall (DEF, vv)",0.9,0.3,0.6708,1.3416,1.3416,0.0,1.3416,9,9,0,3,2.0124,0,0,0,0,0.0,vv
424,Nick,Pope,GKP,NEW,56,vv,"Pope (GKP, vv)",4.0,0.0,2.472,4.944,4.944,0.0,4.944,9,9,0,3,7.416,0,0,0,0,0.0,vv
419,Jamaal,Lascelles,DEF,NEW,44,vv,"Lascelles (DEF, vv)",3.1,0.0,1.9158,3.8316,3.8316,0.0,3.8316,9,9,0,3,5.7474,0,0,1,1,0.17399,vv
416,Joelinton Cássio,Apolinário de Lira,MID,NEW,41,vv,"Joelinton (MID, vv)",2.6,0.0,1.6068,3.2136,0.0,3.2136,3.2136,9,0,9,3,4.8204,0,0,0,0,0.0,vv
403,Elliot,Anderson,MID,NEW,19,vv,"Anderson (MID, vv)",2.1,0.0,1.2978,2.595600000000001,0.0,2.595600000000001,2.5956,9,0,9,3,3.8934,0,0,0,0,0.0,vv
