def_rank,def_tier,team,def_xPts,avg_GA/match,def_xPts / ^avg_GA/match,defAdv_nxtGWs
1,1,LIV,22.82486,0.95652,22.82486,18
5,3,MCI,14.80015,1.13636,12.45788,18
2,1,ARS,21.02428,0.95652,21.02428,15
4,2,AVL,20.00776,1.30435,14.67231,13
6,3,NEW,19.20913,1.6087,11.42159,9
3,2,EVE,22.05762,1.30435,16.17553,8
8,4,WOL,17.05536,1.6087,10.14098,8
7,4,MUN,16.13435,1.3913,11.09238,2
13,7,BHA,13.40531,1.65217,7.76097,2
9,5,TOT,15.31208,1.52174,9.62471,0
10,5,FUL,16.27193,1.65217,9.4206,-1
11,6,CHE,15.26158,1.69565,8.60909,-2
12,6,LUT,15.94596,1.90909,7.98948,-3
14,7,WHU,12.45744,1.56522,7.61285,-4
19,10,CRY,9.70315,1.73913,5.33672,-6
16,8,NFO,12.15086,1.78261,6.51996,-13
18,9,BUR,11.47556,2.04348,5.37152,-15
20,10,SHU,6.29362,2.56522,2.34677,-15
17,9,BOU,11.58553,1.86364,5.94632,-16
15,8,BRE,13.30676,1.77273,7.17999,-18
