home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
1,7,3,MCI,EVE,-3,-1,-7
2,3,3,FUL,BOU,-3,-2,-3
8,8,8,LIV,BUR,-8,-8,-8
5,4,6,LUT,SHU,-6,-5,-4
4,-1,1,TOT,BHA,-1,-4,1
2,3,1,WOL,BRE,-1,-2,-3
-5,-5,-5,NFO,NEW,5,5,5
-5,-5,-7,WHU,ARS,7,5,5
2,2,1,AVL,MUN,-1,-2,-2
-3,-5,-3,CRY,CHE,3,3,5
-6,-7,-6,BRE,LIV,6,6,7
-8,-7,-8,BUR,ARS,8,8,7
-5,-3,-4,FUL,AVL,4,5,3
6,5,6,NEW,BOU,-6,-6,-5
-1,-2,0,NFO,WHU,0,1,2
1,1,2,TOT,WOL,-2,-1,-1
5,2,5,MCI,CHE,-5,-5,-2
-3,-6,-5,SHU,BHA,5,3,6
-1,-2,-1,LUT,MUN,1,1,2
0,7,5,EVE,CRY,-5,0,-7
7,4,5,MCI,BRE,-5,-7,-4
5,4,3,LIV,LUT,-3,-5,-4
6,6,6,AVL,NFO,-6,-6,-6
-2,3,0,BHA,EVE,0,2,-3
0,-1,-1,CRY,BUR,1,0,1
1,3,3,MUN,FUL,-3,-1,-3
-5,-8,-7,BOU,MCI,7,5,8
1,2,2,ARS,NEW,-2,-1,-2
4,6,4,WOL,SHU,-4,-4,-6
2,0,-1,WHU,BRE,1,-2,0
