id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,pts/match,form,xPts,avgPtsDev,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw7Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
217,Abdoulaye,Doucouré,MID,EVE,1↑,"A.Doucoure (MID, 1↑)",8,1.33333333333,1.3,1.32060113296,0.66666666667,-3,0.4402003776533333,0,0.0,-1,0.5869338368711111,0.51356710726,1,3,3,2.48643289274,2↑
223,James,Garner,MID,EVE,~,"Garner (MID, ~)",4,0.66666666667,1.3,0.90857847379,0.66666666667,-3,0.3028594912633333,0,0.0,-1,0.4038126550177777,0.35333607314,1,3,3,2.64666392686,3↑
222,Idrissa,Gueye,MID,EVE,~,"Gana (MID, ~)",9,1.5,1.0,1.30901699437,0.66666666667,-3,0.4363389981233333,0,0.0,-1,0.5817853308311111,0.50906216448,1,1,1,0.49093783552000003,~
231,Vitalii,Mykolenko,DEF,EVE,2↑,"Mykolenko (DEF, 2↑)",5,0.83333333333,1.0,0.89699433521,0.55555555556,-3,0.2989981117366667,-4,0.2491650931138889,0,0.0,0.27408160243,1,0,0,-0.27408160243,~
228,Michael,Keane,DEF,EVE,~,"Keane (DEF, ~)",9,1.5,0.7,1.194427191,1.5,-3,0.398142397,-4,0.3317853308333333,0,0.0,0.36496386392,1,6,6,5.63503613608,4↑
226,Tim,Iroegbunam,MID,EVE,~,"Iroegbunam (MID, ~)",7,1.16666666667,0.7,0.98841586142,0.55555555556,-3,0.3294719538066666,0,0.0,-1,0.4392959384088888,0.38438394611,1,1,1,0.61561605389,~
219,Jarrad,Branthwaite,DEF,EVE,2↑,"Branthwaite (DEF, 2↑)",2,0.33333333333,0.7,0.47338753746,0.55555555556,-3,0.15779584582,-4,0.1314965381833333,0,0.0,0.144646192,1,0,0,-0.144646192,~
218,Norberto Bercique,Gomes Betuncal,FWD,EVE,~,"Beto (FWD, ~)",4,0.66666666667,0.3,0.52661246254,0.44444444444,-3,0.1755374875133333,0,0.0,-1,0.2340499833511111,0.20479373543,1,0,0,-0.20479373543,~
221,Séamus,Coleman,DEF,EVE,~,"Coleman (DEF, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,-3,0.0343352215966666,-4,0.0286126846638888,0,0.0,0.03147395313,1,0,0,-0.03147395313,~
225,Mason,Holgate,DEF,EVE,~,"Holgate (DEF, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,-3,0.0343352215966666,-4,0.0286126846638888,0,0.0,0.03147395313,1,0,0,-0.03147395313,~
603,Harrison,Armstrong,MID,EVE,~,"Armstrong (MID, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,-3,0.0343352215966666,0,0.0,-1,0.0457802954622222,0.04005775853,1,0,0,-0.04005775853,~
156,Armando,Broja,FWD,EVE,~,"Broja (FWD, ~)",0,0.0,0.0,0.0,0.0,-3,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
227,João,Neves Virgínia,GKP,EVE,~,"J.Virginia (GKP, ~)",0,0.0,0.0,0.0,0.0,-3,0.0,-4,0.0,0,0.0,0.0,1,0,0,0.0,~
229,Neal,Maupay,FWD,EVE,~,"Maupay (FWD, ~)",0,0.0,0.0,0.0,0.0,-3,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
234,Nathan,Patterson,DEF,EVE,~,"Patterson (DEF, ~)",0,0.0,0.0,0.0,0.0,-3,0.0,-4,0.0,0,0.0,0.0,1,0,0,0.0,~
