home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
2,2,2,MUN,FUL,-2,-2,-2
-8,-8,-8,IPS,LIV,8,8,8
7,7,7,ARS,WOL,-7,-7,-7
2,2,2,EVE,BHA,-2,-2,-2
8,8,8,NEW,SOU,-8,-8,-8
-3,-3,-3,NFO,BOU,3,3,3
0,0,0,WHU,AVL,0,0,0
-2,-2,-2,BRE,CRY,2,2,2
-2,-2,-2,CHE,MCI,2,2,2
-6,-6,-6,LEI,TOT,6,6,6
-1,-1,-1,BHA,MUN,1,1,1
-1,-1,-1,CRY,WHU,1,1,1
1,1,1,FUL,LEI,-1,-1,-1
9,9,9,MCI,IPS,-9,-9,-9
-1,-1,-1,SOU,NFO,1,1,1
2,2,2,TOT,EVE,-2,-2,-2
-3,-3,-3,AVL,ARS,3,3,3
-4,-4,-4,BOU,NEW,4,4,4
-5,-5,-5,WOL,CHE,5,5,5
5,5,5,LIV,BRE,-5,-5,-5
