att_rank,att_tier,team,att_avg_xPts,att_med_xPts,avg_GF/match,med_GF/match,att_avg_potential,att_med_potential,attAdv_nxtGWs
1,1,LIV,37.84458247200067,38.128677106876,2.4,2.0,2.0444043410673003,1.5431567369499306,8
4,2,FUL,26.864746417869036,27.618033988749893,1.5238095238095237,2.0,0.1169258307630297,0.8754581615564562,8
6,3,MCI,29.82153948642911,31.201626123751158,1.8095238095238095,2.0,0.7035681037931616,1.1031092516420313,5
11,6,CHE,27.17470443270126,23.70820393249937,1.9523809523809523,1.0,0.7198179077822703,-0.4255299708993605,4
7,4,ARS,31.986223258500548,27.763932022500214,1.9523809523809523,2.0,1.0429837480676332,0.8847264725655071,3
12,6,NFO,28.0331862708101,26.909830056250527,1.4285714285714286,1.0,0.06605441780901578,-0.22214363404578352,3
8,4,BHA,26.31872309252352,24.854101966249686,1.5238095238095237,2.0,0.08025215387702184,0.6998767577223924,2
2,1,AVL,25.522855048178755,29.0,1.4761904761904763,2.0,-0.03787721231670897,0.963248863475398,1
3,2,TOT,28.214152616285066,27.090169943749473,2.0476190476190474,2.0,0.9189822025607719,0.8419250973230465,1
5,3,NEW,34.41890836292983,33.49342219125179,1.7619047619047619,2.0,0.9476756952970861,1.248697771026381,1
10,5,BOU,27.793988670416702,26.0,1.5238095238095237,1.0,0.17933842110072135,-0.279941451515011,-2
13,7,MUN,21.737634122439843,19.41640786499874,1.2380952380952381,1.0,-0.6154860135804399,-0.6981703876614167,-2
15,8,WOL,24.246712429119142,22.0,1.4761904761904763,1.0,-0.12358937862710481,-0.5340452462627852,-2
17,9,CRY,19.428302565583635,19.76393202250021,1.0952380952380953,1.0,-0.9646169316884361,-0.6760935858634392,-2
20,10,EVE,17.428366544874486,15.781152949374528,0.75,0.0,-1.5678354400023047,-1.9817158738176008,-2
9,5,BRE,29.92360679774998,25.854101966249686,1.9047619047619047,1.0,0.8397731775323345,-0.2892097625202422,-3
16,8,LEI,20.478397867773282,19.70820393249937,1.0952380952380953,1.0,-0.8940872417938563,-0.6796337656471347,-4
18,9,IPS,20.54727624129756,17.47213595499958,0.9523809523809523,1.0,-1.0834856017734982,-0.8216821052477887,-4
14,7,WHU,22.753287570880858,22.381966011250107,1.2857142857142858,1.0,-0.48259475257324486,-0.5097804930307871,-6
19,10,SOU,15.276769077035633,14.0,0.6190476190476191,1.0,-1.8902034272985722,-1.0422528357583336,-9
