avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
4,2,NFO,4.25,2.25,0.949507732752535,7.5
1,1,LIV,1.5,1.25,1.6149861128250613,6.25
11,6,FUL,6.75,3.5,0.0895347437630091,6.0
7,4,MCI,7.0,3.5,0.4742125996567207,5.25
5,3,CHE,9.25,5.0,0.5494955683883903,4.0
2,1,NEW,4.75,2.5,1.1522408685327563,2.25
8,4,BHA,8.75,4.75,0.2557640953522246,1.5
3,2,ARS,4.25,2.5,1.1436271598425998,1.0
13,7,CRY,11.25,6.0,-0.24360060880696346,0.5
9,5,TOT,12.5,6.5,0.2530223000375309,0.25
16,8,EVE,13.25,6.75,-0.7348861788314307,-0.25
17,9,WHU,13.0,6.5,-0.752260237095209,-0.5
12,6,AVL,6.25,3.5,-0.07317897133168763,-1.0
14,7,MUN,11.5,6.25,-0.3947694942517586,-1.5
6,3,BOU,9.5,4.75,0.5140126632987575,-2.25
15,8,WOL,17.5,9.0,-0.7139077808117422,-4.0
18,9,IPS,17.0,8.75,-1.0087369606328336,-5.25
19,10,LEI,18.5,9.5,-1.4086040039472498,-6.0
10,5,BRE,14.0,7.5,0.09576444596727289,-6.25
20,10,SOU,19.25,9.75,-1.762224054709303,-7.5
