att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
17,2,-15,CRY,19.76393202250021,13.854101966249685,5.9098300562505255,-2,6,-8,1,-8.0,0,3
14,14,0,WHU,22.381966011250107,9.0,13.381966011250107,-6,2,-8,1,-8.0,0,3
12,1,-11,NFO,26.909830056250527,22.639320225002102,4.270509831248425,3,9,-6,1,-6.0,0,3
19,18,-1,SOU,14.0,9.618033988749895,4.381966011250105,-9,-3,-6,1,-6.0,0,3
20,5,-15,EVE,15.781152949374528,12.309016994374947,3.4721359549995814,-2,-1,-1,1,-1.0,0,3
10,8,-2,BOU,26.0,19.785218258752415,6.2147817412475845,-2,-1,-1,1,-1.0,1,2
5,6,1,NEW,33.49342219125179,19.639320225002102,13.854101966249686,1,2,-1,1,-1.0,1,2
3,15,12,TOT,27.090169943749473,7.47213595499958,19.618033988749893,1,2,-1,1,-1.0,1,2
13,11,-2,MUN,19.41640786499874,8.47213595499958,10.94427190999916,-2,-2,0,1,0.0,1,2
8,9,1,BHA,24.854101966249686,11.76393202250021,13.090169943749476,2,2,0,1,0.0,1,2
18,16,-2,IPS,17.47213595499958,7.47213595499958,10.0,-4,-5,1,1,1.0,2,1
6,10,4,MCI,31.201626123751158,11.0,20.201626123751158,5,4,1,1,1.0,2,1
11,12,1,CHE,23.70820393249937,9.381966011250105,14.326237921249264,4,2,2,1,2.0,2,1
15,19,4,WOL,22.0,12.201626123751156,9.798373876248844,-2,-4,2,1,2.0,2,1
7,4,-3,ARS,27.763932022500214,12.090169943749475,15.67376207875074,3,-1,4,1,4.0,2,1
4,7,3,FUL,27.618033988749893,11.23606797749979,16.381966011250103,8,4,4,1,4.0,3,0
16,20,4,LEI,19.70820393249937,6.0,13.70820393249937,-4,-8,4,1,4.0,3,0
2,13,11,AVL,29.0,9.0,20.0,1,-3,4,1,4.0,3,0
1,3,2,LIV,38.128677106876,12.399186938124421,25.729490168751575,8,3,5,1,5.0,3,0
9,17,8,BRE,25.854101966249686,10.0,15.854101966249686,-3,-8,5,1,5.0,3,0
